date,AORROMO
2025-10-10,21072.0
2025-10-13,21078.0
2025-10-14,21080.0
2025-10-15,19408.0
2025-10-16,19410.0
2025-10-17,19412.0
2025-10-20,19417.0
2025-10-21,19419.0
2025-10-22,17737.0
2025-10-23,17741.0
2025-10-24,17741.0
2025-10-27,17748.0
2025-10-28,17748.0
2025-10-29,20267.0
2025-10-30,20269.0
2025-10-31,20271.0
2025-11-03,20277.0
2025-11-04,20279.0
2025-11-05,20076.0
2025-11-06,20078.0
2025-11-07,20080.0
2025-11-10,20087.0
2025-11-11,20088.0
2025-11-12,20269.0
2025-11-13,20272.0
2025-11-14,20274.0
2025-11-17,20280.0
2025-11-18,20282.0
2025-11-19,21066.0
2025-11-20,21068.0
2025-11-21,21070.0
2025-11-24,21078.0
2025-11-25,21079.0
2025-11-26,20017.0
2025-11-27,20019.0
2025-11-28,20020.0
2025-12-01,20026.0
2025-12-02,20029.0
2025-12-03,20267.0
2025-12-04,20269.0
2025-12-05,20271.0
2025-12-08,20277.0
2025-12-09,20279.0
2025-12-10,21917.0
2025-12-11,21920.0
2025-12-12,21922.0
2025-12-15,21929.0
2025-12-16,21931.0
2025-12-17,22901.0
2025-12-18,22903.0
2025-12-19,22906.0
2025-12-22,22913.0
2025-12-23,22915.0
2025-12-24,24266.0
2025-12-29,24279.0
2025-12-30,24281.0
2025-12-31,22432.0
2026-01-02,22437.0
2026-01-05,22444.0
2026-01-06,22446.0
2026-01-07,20133.0
2026-01-08,20135.0
2026-01-09,20137.0
2026-01-12,20143.0
2026-01-13,20145.0
2026-01-14,19706.0
2026-01-15,19708.0
2026-01-16,19710.0
2026-01-19,19716.0
2026-01-20,19719.0
2026-01-21,17148.0
2026-01-22,17150.0
2026-01-23,17151.0
2026-01-27,17158.0
2026-01-28,15806.0
2026-01-29,15807.0
2026-01-30,15809.0
2026-02-02,15814.0
2026-02-03,15815.0
2026-02-04,16860.0
2026-02-05,16862.0
2026-02-06,16864.0
2026-02-09,16870.0
2026-02-10,16871.0
2026-02-11,15881.0
2026-02-12,15882.0
2026-02-13,15884.0
2026-02-16,15889.0
2026-02-17,15891.0
2026-02-18,16484.0
2026-02-19,16486.0
2026-02-20,16488.0
2026-02-23,16493.0
2026-02-24,16495.0
2026-02-25,17434.0
2026-02-26,17437.0
2026-02-27,17438.0
2026-03-02,17444.0
2026-03-03,17446.0
2026-03-04,17505.0
2026-03-05,17507.0
2026-03-06,17509.0
2026-03-09,17515.0
2026-03-10,17516.0
2026-03-11,16533.0
2026-03-12,16534.0
2026-03-13,16536.0
2026-03-16,16541.0
2026-03-17,16543.0
2026-03-18,17606.0
2026-03-19,17608.0
2026-03-20,17610.0
2026-03-23,17616.0
2026-03-24,17618.0
2026-03-25,19969.0
2026-03-26,19973.0
2026-03-27,19974.0
2026-03-30,19981.0
2026-03-31,19983.0
2026-04-01,21090.0
2026-04-02,21092.0
2026-04-07,21104.0
2026-04-08,21081.0
2026-04-09,21083.0
2026-04-10,21086.0
2026-04-13,21093.0
2026-04-14,21095.0
2026-04-15,20477.0
2026-04-16,20479.0
2026-04-17,20481.0
2026-04-20,20488.0
2026-04-21,20491.0
2026-04-22,19290.0
2026-04-23,19293.0
2026-04-24,19295.0
2026-04-27,19301.0
2026-04-28,19304.0
2026-04-29,20916.0
2026-04-30,20919.0
2026-05-01,20921.0
2026-05-04,20928.0
2026-05-05,20931.0
2026-05-06,20898.0
2026-05-07,20901.0
2026-05-08,20903.0
2026-05-11,20911.0
2026-05-12,20914.0
2026-05-13,21177.0
2026-05-14,21180.0
2026-05-15,21185.0
2026-05-18,21191.0
2026-05-19,21193.0
2026-05-20,21919.0
2026-05-21,21923.0
2026-05-22,21925.0
2026-05-25,21935.0
2026-05-26,21935.0
2026-05-27,20831.0
2026-05-28,20834.0
2026-05-29,20837.0
2026-06-01,20845.0
2026-06-02,20847.0
2026-06-03,21984.0
2026-06-04,21987.0
2026-06-05,21997.0
2026-06-09,22000.0
2026-06-10,23668.0
2026-06-11,23671.0
2026-06-12,23674.0
2026-06-15,23683.0
2026-06-16,23687.0
2026-06-17,25098.0
2026-06-18,25101.0
2026-06-19,25104.0
2026-06-22,25114.0
2026-06-23,25118.0
2026-06-24,28046.0
2026-06-25,28049.0
2026-06-26,28052.0
2026-06-29,28063.0
2026-06-30,28066.0
2026-07-01,28465.0
2026-07-02,28469.0
2026-07-03,28472.0
2026-07-06,28484.0
2026-07-07,28486.0
2026-07-08,28085.0
2026-07-09,28088.0
2026-07-10,28092.0
2026-07-13,28102.0
2026-07-14,28106.0
2026-07-15,27364.0
2026-07-16,27368.0
2026-07-17,27370.0
2026-07-20,27380.0
2026-07-21,27384.0
2026-07-22,27887.0
2026-07-23,27891.0
2026-07-24,27894.0
2026-07-27,27905.0
2026-07-28,27908.0
2026-07-29,31408.0
2026-07-30,31411.0
2026-07-31,31415.0
2026-08-03,31427.0
2026-08-04,31431.0
2026-08-05,30564.0
2026-08-06,30568.0
2026-08-07,30571.0
2026-08-10,30582.0
2026-08-11,30586.0
2026-08-12,30090.0
2026-08-13,30092.0
2026-08-14,30096.0
2026-08-17,30107.0
2026-08-18,30111.0
2026-08-19,28737.0
2026-08-20,28741.0
2026-08-21,28744.0
2026-08-24,28754.0
2026-08-25,28758.0
2026-08-26,27992.0
2026-08-27,27997.0
2026-08-28,27999.0
2026-08-31,28009.0
2026-09-01,28012.0
2026-09-02,27663.0
2026-09-03,27666.0
2026-09-04,27669.0
2026-09-07,27679.0
2026-09-08,27684.0
