date,cb_score_lw,cb_regime,fi_score_lw,fi_regime,general
2025-09-03,0.3,INJECTION,1.22,INJECTION,LIQUIDITY_INJECTION
2025-09-10,-0.75,NEUTRAL,1.21,INJECTION,NEUTRAL_PARTIAL
2025-09-17,0.0,NEUTRAL,0.7,NEUTRAL,NEUTRAL_PARTIAL
2025-09-24,-0.67,NEUTRAL,1.3,NEUTRAL,NEUTRAL_PARTIAL
2025-10-01,-0.6,DRAIN,1.61,INJECTION,NEUTRAL_CONFLICT
2025-10-08,-0.6,DRAIN,1.27,INJECTION,NEUTRAL_CONFLICT
2025-10-15,0.0,DRAIN,1.27,INJECTION,NEUTRAL_CONFLICT
2025-10-22,-1.67,DRAIN,1.06,INJECTION,NEUTRAL_CONFLICT
2025-10-29,-1.2,DRAIN,-0.07,DRAIN,LIQUIDITY_DRAIN
2025-11-05,-0.8,DRAIN,0.53,DRAIN,LIQUIDITY_DRAIN
2025-11-12,-0.8,DRAIN,0.87,DRAIN,LIQUIDITY_DRAIN
2025-11-19,-0.8,DRAIN,0.89,NEUTRAL,NEUTRAL_PARTIAL
2025-11-26,-1.33,DRAIN,0.82,NEUTRAL,NEUTRAL_PARTIAL
2025-12-03,-0.8,DRAIN,0.81,NEUTRAL,NEUTRAL_PARTIAL
2025-12-10,-0.2,DRAIN,0.93,NEUTRAL,NEUTRAL_PARTIAL
2025-12-17,-0.6,DRAIN,1.04,NEUTRAL,NEUTRAL_PARTIAL
2025-12-24,-0.5,DRAIN,0.97,NEUTRAL,NEUTRAL_PARTIAL
2025-12-31,-0.3,DRAIN,1.22,NEUTRAL,NEUTRAL_PARTIAL
2026-01-07,-0.1,NEUTRAL,0.48,NEUTRAL,NEUTRAL_PARTIAL
2026-01-14,0.1,NEUTRAL,0.21,DRAIN,NEUTRAL_PARTIAL
2026-01-21,-0.9,NEUTRAL,0.54,DRAIN,NEUTRAL_PARTIAL
2026-01-28,-1.25,DRAIN,0.44,DRAIN,LIQUIDITY_DRAIN
2026-02-04,-0.7,DRAIN,0.57,DRAIN,LIQUIDITY_DRAIN
2026-02-11,-0.7,DRAIN,1.02,DRAIN,LIQUIDITY_DRAIN
2026-02-18,-0.5,DRAIN,1.06,NEUTRAL,NEUTRAL_PARTIAL
2026-02-25,-0.3,DRAIN,1.41,INJECTION,NEUTRAL_CONFLICT
2026-03-04,0.7,INJECTION,0.7,NEUTRAL,NEUTRAL_PARTIAL
2026-03-11,0.3,INJECTION,1.09,NEUTRAL,NEUTRAL_PARTIAL
2026-03-18,0.3,INJECTION,1.16,NEUTRAL,NEUTRAL_PARTIAL
2026-03-25,-0.3,INJECTION,1.19,NEUTRAL,NEUTRAL_PARTIAL
2026-04-01,0.1,NEUTRAL,1.63,INJECTION,NEUTRAL_PARTIAL
2026-04-08,1.0,INJECTION,1.23,INJECTION,LIQUIDITY_INJECTION
2026-04-15,0.3,INJECTION,-0.48,DRAIN,NEUTRAL_CONFLICT
