"nid","list_date","title","plazo","denominacion","auction","maturity","settlement","nominal_bid","nominal_alloc","nominal_2nd","cash_alloc","cash_2nd","btc","avg_yield","marginal_yield"
"35150","2023-06-06","Subasta de Letras a 12 meses","12 MESES","","2023-06-06","2024-06-07","2023-06-09","6075.57","3985.50","192.25","3850.98","185.74","1.52","3.445","3.468"
"35170","2023-06-13","Subasta de Letras a 3 meses","3 MESES","","2023-06-13","2023-09-08","2023-06-16","2112.02","529.74","0.00","525.75","0.00","3.99","3.255","3.263"
"35171","2023-06-13","Subasta de Letras a 9 meses","9 MESES","","2023-06-13","2024-03-08","2023-06-16","3231.25","1540.22","0.00","1501.71","0.00","2.10","3.462","3.490"
"35239","2023-06-15","Subasta de Bonos a 3 años","3 AÑOS","B 2,80%","2023-06-15","2026-05-31","2023-06-20","4022.36","2032.31","0.00","2009.89","0.00","1.98","3.246","3.260"
"35240","2023-06-15","Subasta de Bonos a 5 años","5 AÑOS","O 5,15% (VR 5a 4m)","2023-06-15","2028-10-31","2023-06-20","2517.60","1337.55","285.41","1508.65","321.77","1.88","3.184","3.197"
"35243","2023-06-15","Subasta de Obligaciones a 15 años","15 AÑOS","O 3,90%","2023-06-15","2039-07-30","2023-06-20","2891.41","1581.11","332.98","1610.42","339.00","1.83","3.842","3.847"
"35390","2023-07-04","Subasta de Letras a 6 meses","6 MESES","","2023-07-04","2024-01-12","2023-07-07","2615.94","1030.73","0.00","1011.58","0.00","2.54","3.599","3.629"
"35391","2023-07-04","Subasta de Letras a 12 meses","12 MESES","","2023-07-04","2024-07-05","2023-07-07","5512.93","4237.78","595.14","4081.62","573.10","1.30","3.775","3.804"
"35396","2023-07-06","Subasta de Obligaciones €i a 5 años","","O€i 0,65% (VR 4a 5m)","2023-07-06","2027-11-30","2023-07-11","860.78","525.76","0.00","632.49","0.00","1.64","1.092","1.111"
"35398","2023-07-06","Subasta de Obligaciones a 10 años","10 AÑOS","O 3,55%","2023-07-06","2033-10-31","2023-07-11","4115.59","2790.46","0.00","2796.37","0.00","1.47","3.554","3.562"
"35399","2023-07-06","Subasta de Obligaciones a 50 años","50 AÑOS","O 1,45%","2023-07-06","2071-10-31","2023-07-11","1990.98","1585.98","0.00","766.22","0.00","1.26","3.874","3.904"
"35402","2023-07-06","Subasta de Bonos a 5 años","5 AÑOS","O 0,80% (7A)","2023-07-06","2029-07-30","2023-07-11","3051.39","2126.38","0.00","1851.64","0.00","1.44","3.330","3.343"
"35484","2023-07-11","Subasta de Letras a 3 meses","3 MESES","","2023-07-11","2023-10-06","2023-07-14","1855.42","459.32","0.00","455.59","0.00","4.04","3.500","3.531"
"35485","2023-07-11","Subasta de Letras a 9 meses","9 MESES","","2023-07-11","2024-04-12","2023-07-14","2876.15","1521.07","204.38","1478.52","198.64","1.89","3.788","3.810"
"35503","2023-07-20","Subasta de Bonos a 3 años","3 AÑOS","B 2,80%","2023-07-20","2026-05-31","2023-07-25","3635.98","1685.83","339.11","1669.84","335.86","2.16","3.303","3.310"
"35504","2023-07-20","Subasta de Bonos a 5 años","5 AÑOS","O 1,40% (VR 4a 9m)","2023-07-20","2028-04-30","2023-07-25","2661.54","1676.53","330.59","1554.34","306.36","1.59","3.137","3.151"
