auctionDate,securityType,securityTerm,cusip,bidToCoverRatio,highYield,highDiscountRate,averageMedianYield,averageMedianDiscountRate,lowYield,lowDiscountRate,offeringAmount,totalAccepted,totalTendered,primaryDealerAccepted,directBidderAccepted,indirectBidderAccepted,somaAccepted,reopening,cashManagementBillCMB,tips,floatingRate
2005-04-11,Bill,13-Week,912795VG3,2.770000,,2.710000,,2.700000,,2.700000,1700000000,2333090100,5346248500,,,,,Yes,No,No,No
2005-04-11,Bill,26-Week,912795VV0,2.250000,,3.065000,,3.055000,,3.030000,1500000000,2051088400,3932692100,,,,,No,No,No,No
2005-04-06,Bill,8-Day,912795TK7,2.890000,,2.660000,,2.640000,,2.620000,1500000000,1500053200,4333701900,,,,,Yes,Yes,No,No
2005-04-05,Bill,4-Week,912795SM4,2.990000,,2.585000,,2.575000,,2.550000,1500000000,1829673700,4811495700,,,,,Yes,No,No,No
2005-04-04,Bill,13-Week,912795VF5,2.420000,,2.735000,,2.725000,,2.710000,1800000000,2459629800,5019184200,,,,,Yes,No,No,No
2005-04-04,Bill,26-Week,912795VU2,2.240000,,3.035000,,3.030000,,2.940000,1600000000,2183784600,4171342100,,,,,No,No,No,No
2005-03-30,Bill,14-Day,912795TK7,2.340000,,2.720000,,2.705000,,2.680000,2500000000,2500040000,5856700000,,,,,No,Yes,No,No
2005-03-30,Note,2-Year,912828DQ0,2.030000,3.8600,,3.839000,,3.750000,,2400000000,3200005100,5676949600,,,,,No,No,No,No
2005-03-29,Bill,4-Week,912795SL6,2.410000,,2.650000,,2.640000,,2.610000,1700000000,1986927400,4380783400,,,,,Yes,No,No,No
2005-03-28,Bill,13-Week,912795SV4,2.500000,,2.780000,,2.770000,,2.760000,1900000000,2572840400,5418658600,,,,,Yes,No,No,No
2005-03-28,Bill,26-Week,912795VT5,1.990000,,3.090000,,3.075000,,3.060000,1700000000,2301151200,3991624700,,,,,No,No,No,No
2005-03-22,Bill,4-Week,912795SK8,1.770000,,2.700000,,2.680000,,2.660000,2400000000,2599650800,4456838800,,,,,Yes,No,No,No
2005-03-21,Bill,13-Week,912795SU6,1.800000,,2.800000,,2.775000,,2.750000,2000000000,2695266400,4294773400,,,,,Yes,No,No,No
2005-03-21,Bill,26-Week,912795VS7,2.210000,,3.035000,,3.030000,,3.000000,1800000000,2426753200,4609829200,,,,,No,No,No,No
2005-03-15,Bill,4-Week,912795SJ1,1.750000,,2.645000,,2.630000,,2.615000,2400000000,2648354300,4460138300,,,,,Yes,No,No,No
2005-03-14,Bill,13-Week,912795ST9,1.970000,,2.735000,,2.725000,,2.705000,2000000000,2707411500,4654987500,,,,,Yes,No,No,No
2005-03-14,Bill,26-Week,912795VR9,1.800000,,3.000000,,2.985000,,2.970000,1800000000,2420475600,3861756800,,,,,No,No,No,No
2005-03-10,Note,9-Year 11-,912828DM9,2.350000,4.5040,,4.470000,,4.410000,,9000000000,9000012000,2117202700,,,,,Yes,No,No,No
2005-03-09,Note,5-Year,912828DP2,2.580000,4.0800,,4.040000,,4.000000,,1500000000,1500015700,3876678100,,,,,No,No,No,No
2005-03-08,Bill,4-Week,912795SH5,2.230000,,2.565000,,2.560000,,2.550000,2400000000,2683126900,5646580900,,,,,Yes,No,No,No
2005-03-07,Bill,13-Week,912795SS1,2.670000,,2.710000,,2.700000,,2.680000,2000000000,2690076500,6036572500,,,,,Yes,No,No,No
2005-03-07,Bill,26-Week,912795VQ1,2.330000,,2.935000,,2.925000,,2.920000,1800000000,2436039200,4835635900,,,,,No,No,No,No
