record_date,type,today,mtd,fytd
2023-09-21,D,213146,1750569,25012813
2023-09-21,W,192360,1609909,24966304
2023-09-22,D,18215,1768783,25031028
2023-09-22,W,26560,1636468,24992864
2023-09-25,D,32732,1801516,25063760
2023-09-25,W,16891,1653359,25009755
2023-09-26,D,216065,2017580,25279825
2023-09-26,W,205183,1858543,25214938
2023-09-27,D,17461,2035041,25297286
2023-09-27,W,46200,1904742,25261138
2023-09-28,D,204916,2239958,25502202
2023-09-28,W,203885,2108627,25465022
2023-09-29,D,76574,2316532,25578777
2023-09-29,W,92859,2201486,25557881
2023-10-02,D,199672,199672,199672
2023-10-02,W,178626,178626,178626
2023-10-03,D,225432,425105,425105
2023-10-03,W,228043,406670,406670
2023-10-04,D,19915,445020,445020
2023-10-04,W,16281,422950,422950
2023-10-05,D,263620,708640,708640
2023-10-05,W,242397,665348,665348
2023-10-06,D,16050,724690,724690
2023-10-06,W,14497,679845,679845
2023-10-10,D,255806,980496,980496
2023-10-10,W,213546,893390,893390
2023-10-11,D,16677,997174,997174
2023-10-11,W,47673,941063,941063
2023-10-12,D,239937,1237111,1237111
2023-10-12,W,255924,1196987,1196987
2023-10-13,D,30421,1267532,1267532
2023-10-13,W,24916,1221903,1221903
2023-10-16,D,188042,1455574,1455574
2023-10-16,W,74581,1296484,1296484
2023-10-17,D,256208,1711782,1711782
2023-10-17,W,214692,1511176,1511176
2023-10-18,D,22481,1734263,1734263
2023-10-18,W,38874,1550050,1550050
2023-10-19,D,236119,1970383,1970383
2023-10-19,W,248670,1798720,1798720
2023-10-20,D,14343,1984726,1984726
2023-10-20,W,23055,1821774,1821774
2023-10-23,D,29155,2013880,2013880
2023-10-23,W,14237,1836011,1836011
2023-10-24,D,252656,2266536,2266536
2023-10-24,W,217036,2053047,2053047
2023-10-25,D,20023,2286559,2286559
2023-10-25,W,42684,2095732,2095732
2023-10-26,D,234988,2521548,2521548
2023-10-26,W,247625,2343356,2343356
2023-10-27,D,15280,2536827,2536827
2023-10-27,W,22048,2365404,2365404
2023-10-30,D,28120,2564947,2564947
2023-10-30,W,18464,2383868,2383868
2023-10-31,D,454211,3019158,3019158
2023-10-31,W,459768,2843635,2843635
2023-11-01,D,36466,36466,3055625
2023-11-01,W,115871,115871,2959506
2023-11-02,D,290379,326845,3346004
2023-11-02,W,255259,371130,3214765
2023-11-03,D,14449,341294,3360453
2023-11-03,W,39199,410329,3253965
2023-11-06,D,24573,365868,3385026
2023-11-06,W,13780,424110,3267745
2023-11-07,D,246586,612454,3631612
2023-11-07,W,227841,651950,3495585
2023-11-08,D,16181,628635,3647793
2023-11-08,W,45638,697588,3541223
2023-11-09,D,236604,865238,3884397
2023-11-09,W,257201,954789,3798425
2023-11-10,D,10369,875608,3894766
2023-11-10,W,10396,965185,3808821
2023-11-13,D,29976,905583,3924741
2023-11-13,W,15951,981137,3824772
2023-11-14,D,250280,1155863,4175022
2023-11-14,W,235404,1216540,4060176
2023-11-15,D,137685,1293548,4312706
2023-11-15,W,239444,1455984,4299619
2023-11-16,D,251278,1544826,4563985
2023-11-16,W,221994,1677978,4521613
2023-11-17,D,16317,1561144,4580302
2023-11-17,W,12952,1690929,4534565
2023-11-20,D,26042,1587186,4606344
2023-11-20,W,14898,1705827,4549463
2023-11-21,D,248491,1835676,4854834
2023-11-21,W,234061,1939889,4783524
2023-11-22,D,20346,1856022,4875180
2023-11-22,W,55539,1995427,4839063
2023-11-24,D,274448,2130471,5149629
2023-11-24,W,226231,2221658,5065294
2023-11-27,D,25939,2156409,5175568
2023-11-27,W,13677,2235336,5078971
2023-11-28,D,233119,2389529,5408687
2023-11-28,W,235881,2471217,5314852
2023-11-29,D,18419,2407948,5427106
2023-11-29,W,15574,2486790,5330426
2023-11-30,D,459410,2867358,5886516
2023-11-30,W,454128,2940919,5784554
2023-12-01,D,33064,33064,5919580
2023-12-01,W,123717,123717,5908271
2023-12-04,D,28785,61849,5948365
2023-12-04,W,15291,139008,5923562
2023-12-05,D,227123,288972,6175488
2023-12-05,W,244074,383081,6167635
2023-12-06,D,18415,307387,6193903
2023-12-06,W,15478,398560,6183114
2023-12-07,D,222297,529684,6416200
2023-12-07,W,221778,620337,6404891
2023-12-08,D,14850,544534,6431050
2023-12-08,W,19726,640063,6424617
2023-12-11,D,30148,574682,6461198
2023-12-11,W,20736,660799,6445353
2023-12-12,D,229050,803732,6690248
2023-12-12,W,254224,915023,6699577
2023-12-13,D,26310,830042,6716558
2023-12-13,W,43252,958276,6742830
2023-12-14,D,246969,1077011,6963527
2023-12-14,W,229538,1187814,6972368
2023-12-15,D,179534,1256545,7143061
2023-12-15,W,87474,1275288,7059842
2023-12-18,D,48479,1305024,7191540
2023-12-18,W,15398,1290686,7075240
2023-12-19,D,228920,1533944,7420460
2023-12-19,W,251020,1541706,7326260
2023-12-20,D,23819,1557763,7444279
2023-12-20,W,42187,1583893,7368447
2023-12-21,D,229634,1787397,7673913
2023-12-21,W,228196,1812089,7596643
2023-12-22,D,23777,1811173,7697689
2023-12-22,W,25624,1837713,7622267
2023-12-26,D,255082,2066256,7952772
2023-12-26,W,244029,2081742,7866296
2023-12-27,D,13156,2079411,7965927
2023-12-27,W,43456,2125198,7909752
2023-12-28,D,281556,2360967,8247483
2023-12-28,W,269648,2394846,8179400
2023-12-29,D,85588,2446555,8333071
2023-12-29,W,41970,2436816,8221370
2024-01-02,D,449299,449299,8782370
2024-01-02,W,451549,451549,8672919
2024-01-03,D,16419,465718,8798789
2024-01-03,W,39295,490844,8712214
2024-01-04,D,242791,708509,9041580
2024-01-04,W,233076,723920,8945290
2024-01-05,D,14713,723221,9056292
2024-01-05,W,19909,743829,8965200
2024-01-08,D,30561,753782,9086854
2024-01-08,W,19977,763807,8985177
2024-01-09,D,228702,982484,9315555
2024-01-09,W,237861,1001667,9223038
2024-01-10,D,20645,1003128,9336200
2024-01-10,W,42195,1043863,9265233
2024-01-11,D,275223,1278351,9611422
2024-01-11,W,272773,1316636,9538006
2024-01-12,D,29805,1308156,9641227
2024-01-12,W,24354,1340990,9562360
2024-01-16,D,419967,1728123,10061194
2024-01-16,W,360419,1701409,9922779
2024-01-17,D,20978,1749101,10082172
2024-01-17,W,42738,1744147,9965518
2024-01-18,D,247257,1996357,10329429
2024-01-18,W,231109,1975256,10196626
2024-01-19,D,19693,2016050,10349121
2024-01-19,W,19366,1994622,10215993
2024-01-22,D,36608,2052658,10385729
2024-01-22,W,24081,2018703,10240074
2024-01-23,D,246063,2298721,10631792
2024-01-23,W,230549,2249252,10470623
2024-01-24,D,37020,2335741,10668812
2024-01-24,W,39919,2289172,10510542
2024-01-25,D,286228,2621968,10955040
2024-01-25,W,271327,2560499,10781869
2024-01-26,D,16042,2638011,10971082
2024-01-26,W,16695,2577194,10798565
2024-01-29,D,32002,2670013,11003084
2024-01-29,W,17597,2594791,10816162
2024-01-30,D,251686,2921699,11254770
2024-01-30,W,232220,2827012,11048382
2024-01-31,D,245337,3167036,11500107
2024-01-31,W,243133,3070145,11291515
2024-02-01,D,275490,275490,11775598
2024-02-01,W,327315,327315,11618830
2024-02-02,D,16721,292211,11792318
2024-02-02,W,44198,371513,11663029
2024-02-05,D,31533,323744,11823851
2024-02-05,W,17414,388927,11680442
2024-02-06,D,257196,580939,12081047
2024-02-06,W,236613,625540,11917055
2024-02-07,D,17842,598781,12098888
2024-02-07,W,17147,642687,11934202
2024-02-08,D,247101,845882,12345989
2024-02-08,W,235701,878387,12169903
2024-02-09,D,12623,858505,12358612
2024-02-09,W,13659,892047,12183562
2024-02-12,D,29392,887897,12388004
2024-02-12,W,16327,908374,12199889
2024-02-13,D,255611,1143508,12643615
2024-02-13,W,240259,1148633,12440148
2024-02-14,D,18098,1161605,12661713
2024-02-14,W,46574,1195207,12486722
2024-02-15,D,388098,1549703,13049811
2024-02-15,W,451094,1646301,12937816
2024-02-16,D,31132,1580836,13080943
2024-02-16,W,20271,1666571,12958087
2024-02-20,D,287661,1868497,13368604
2024-02-20,W,245778,1912349,13203864
2024-02-21,D,13118,1881615,13381722
2024-02-21,W,45988,1958336,13249852
2024-02-22,D,302642,2184257,13684364
2024-02-22,W,331846,2290182,13581698
2024-02-23,D,48233,2232490,13732597
2024-02-23,W,20306,2310489,13602004
2024-02-26,D,32365,2264855,13764962
2024-02-26,W,17429,2327917,13619433
2024-02-27,D,257792,2522647,14022754
2024-02-27,W,251555,2579473,13870988
2024-02-28,D,16633,2539279,14039387
2024-02-28,W,57616,2637089,13928604
2024-02-29,D,456171,2995450,14495557
2024-02-29,W,386743,3023832,14315347
2024-03-01,D,42885,42885,14538443
2024-03-01,W,131844,131844,14447191
2024-03-04,D,37655,80541,14576098
2024-03-04,W,20383,152227,14467574
2024-03-05,D,258149,338689,14834247
2024-03-05,W,256912,409139,14724486
2024-03-06,D,20665,359354,14854911
2024-03-06,W,26765,435904,14751251
2024-03-07,D,237611,596966,15092523
2024-03-07,W,232187,668091,14983438
2024-03-08,D,16909,613874,15109431
2024-03-08,W,18197,686288,15001635
2024-03-11,D,38011,651885,15147442
2024-03-11,W,16279,702567,15017914
2024-03-12,D,256603,908488,15404045
2024-03-12,W,259275,961842,15277189
2024-03-13,D,17794,926283,15421840
2024-03-13,W,53152,1014994,15330341
2024-03-14,D,242029,1168312,15663869
2024-03-14,W,241205,1256199,15571546
2024-03-15,D,148487,1316799,15812356
2024-03-15,W,93505,1349703,15665051
2024-03-18,D,60175,1376974,15872531
2024-03-18,W,18369,1368072,15683419
2024-03-19,D,258949,1635923,16131480
2024-03-19,W,260268,1628340,15943687
2024-03-20,D,18187,1654110,16149668
2024-03-20,W,50264,1678604,15993951
2024-03-21,D,274146,1928256,16423813
2024-03-21,W,283841,1962445,16277793
2024-03-22,D,19165,1947421,16442978
2024-03-22,W,17033,1979478,16294826
2024-03-25,D,32395,1979817,16475374
2024-03-25,W,15752,1995230,16310578
2024-03-26,D,242502,2222319,16717876
2024-03-26,W,260539,2255769,16571116
2024-03-27,D,21192,2243511,16739068
2024-03-27,W,52581,2308350,16623698
2024-03-28,D,238969,2482481,16978038
2024-03-28,W,240574,2548924,16864272
2024-03-29,D,27931,2510412,17005969
2024-03-29,W,23318,2572243,16887590
2024-04-01,D,267716,267716,17273684
2024-04-01,W,251765,251765,17139355
2024-04-02,D,234645,502361,17508330
2024-04-02,W,265815,517580,17405171
2024-04-03,D,21042,523403,17529372
2024-04-03,W,48262,565843,17453433
2024-04-04,D,223271,746674,17752642
2024-04-04,W,245897,811740,17699330
2024-04-05,D,16826,763499,17769468
2024-04-05,W,16639,828379,17715969
2024-04-08,D,35094,798593,17804561
2024-04-08,W,16415,844793,17732383
2024-04-09,D,224567,1023160,18029129
2024-04-09,W,261811,1106604,17994194
2024-04-10,D,31305,1054464,18060433
2024-04-10,W,50591,1157196,18044786
2024-04-11,D,242724,1297188,18303157
2024-04-11,W,247543,1404739,18292329
2024-04-12,D,78484,1375672,18381641
2024-04-12,W,21175,1425915,18313505
2024-04-15,D,307952,1683624,18689593
2024-04-15,W,135962,1561877,18449467
2024-04-16,D,272152,1955776,18961745
2024-04-16,W,263165,1825042,18712632
2024-04-17,D,73600,2029376,19035345
2024-04-17,W,49671,1874713,18762303
2024-04-18,D,289525,2318902,19324871
2024-04-18,W,288915,2163628,19051218
2024-04-19,D,26044,2344946,19350915
2024-04-19,W,17122,2180750,19068340
2024-04-22,D,42833,2387779,19393748
2024-04-22,W,26311,2207061,19094651
2024-04-23,D,251927,2639706,19645675
2024-04-23,W,252199,2459260,19346850
2024-04-24,D,27759,2667465,19673434
2024-04-24,W,54094,2513354,19400944
2024-04-25,D,233394,2900859,19906828
2024-04-25,W,254809,2768163,19655753
2024-04-26,D,23755,2924614,19930583
2024-04-26,W,21782,2789945,19677535
2024-04-29,D,39437,2964052,19970020
2024-04-29,W,19781,2809726,19697316
2024-04-30,D,496863,3460914,20466883
2024-04-30,W,464028,3273754,20161344
2024-05-01,D,44947,44947,20511830
2024-05-01,W,116933,116933,20278277
2024-05-02,D,236101,281047,20747931
2024-05-02,W,253950,370884,20532228
2024-05-03,D,21932,302979,20769862
2024-05-03,W,41414,412298,20573642
2024-05-06,D,28420,331399,20798282
2024-05-06,W,14667,426964,20588308
2024-05-07,D,218195,549594,21016477
2024-05-07,W,239518,666482,20827826
2024-05-08,D,17503,567098,21033981
2024-05-08,W,46235,712717,20874061
2024-05-09,D,232875,799972,21266855
2024-05-09,W,245438,958155,21119499
2024-05-10,D,13469,813441,21280324
2024-05-10,W,22553,980708,21142052
2024-05-13,D,29774,843215,21310098
2024-05-13,W,16505,997213,21158557
2024-05-14,D,234078,1077293,21544176
2024-05-14,W,236847,1234060,21395404
2024-05-15,D,167060,1244353,21711236
2024-05-15,W,266613,1500673,21662017
2024-05-16,D,296730,1541083,22007966
2024-05-16,W,285963,1786636,21947980
2024-05-17,D,18697,1559780,22026663
2024-05-17,W,10995,1797631,21958975
2024-05-20,D,26191,1585971,22052854
2024-05-20,W,13041,1810673,21972017
2024-05-21,D,232768,1818739,22285622
2024-05-21,W,232083,2042756,22204100
2024-05-22,D,25179,1843918,22310801
2024-05-22,W,52709,2095464,22256808
2024-05-23,D,234124,2078042,22544925
2024-05-23,W,241380,2336844,22498188
2024-05-24,D,13053,2091095,22557978
2024-05-24,W,18726,2355570,22516914
2024-05-28,D,254139,2345234,22812117
2024-05-28,W,233205,2588775,22750119
2024-05-29,D,13972,2359206,22826089
2024-05-29,W,16839,2605614,22766958
2024-05-30,D,229235,2588441,23055324
2024-05-30,W,246195,2851809,23013153
2024-05-31,D,274659,2863099,23329982
2024-05-31,W,254793,3106602,23267946
2024-06-03,D,47681,47681,23377664
2024-06-03,W,54248,54248,23322194
2024-06-04,D,213871,261552,23591534
2024-06-04,W,225578,279826,23547772
2024-06-05,D,19347,280899,23610881
2024-06-05,W,16685,296511,23564457
2024-06-06,D,210105,491004,23820987
2024-06-06,W,232673,529184,23797130
2024-06-07,D,14954,505959,23835941
2024-06-07,W,20192,549376,23817322
2024-06-10,D,32720,538678,23868661
2024-06-10,W,17919,567295,23835241
2024-06-11,D,216622,755300,24085282
2024-06-11,W,239713,807008,24074954
2024-06-12,D,26610,781910,24111892
2024-06-12,W,43616,850624,24118570
2024-06-13,D,269247,1051157,24381139
2024-06-13,W,271433,1122056,24390002
2024-06-14,D,52515,1103672,24433654
2024-06-14,W,24237,1146293,24414239
2024-06-17,D,231457,1335129,24665111
2024-06-17,W,85149,1231443,24499389
2024-06-18,D,222728,1557857,24887840
2024-06-18,W,263182,1494625,24762571
2024-06-20,D,231412,1789269,25119252
2024-06-20,W,241821,1736446,25004392
2024-06-21,D,25349,1814618,25144601
2024-06-21,W,33672,1770118,25038064
2024-06-24,D,39715,1854333,25184316
2024-06-24,W,18708,1788826,25056772
2024-06-25,D,222122,2076456,25406438
2024-06-25,W,239307,2028133,25296079
2024-06-26,D,22165,2098621,25428603
2024-06-26,W,45208,2073341,25341287
2024-06-27,D,212950,2311571,25641554
2024-06-27,W,238538,2311879,25579825
2024-06-28,D,75593,2387164,25717147
2024-06-28,W,16413,2328292,25596238
2024-07-01,D,251003,251003,25968150
2024-07-01,W,265362,265362,25861600
2024-07-02,D,231434,482438,26199584
2024-07-02,W,226320,491682,26087920
2024-07-03,D,19754,502192,26219339
2024-07-03,W,42701,534382,26130620
2024-07-05,D,229133,731325,26448471
2024-07-05,W,242582,776964,26373202
2024-07-08,D,29188,760513,26477660
2024-07-08,W,18179,795143,26391381
2024-07-09,D,236646,997160,26714306
2024-07-09,W,232576,1027720,26623958
2024-07-10,D,16988,1014147,26731294
2024-07-10,W,41898,1069618,26665856
2024-07-11,D,280403,1294551,27011697
2024-07-11,W,271315,1340933,26937171
2024-07-12,D,16942,1311493,27028639
2024-07-12,W,13893,1354826,26951064
2024-07-15,D,181731,1493224,27210370
2024-07-15,W,151658,1506483,27102722
2024-07-16,D,259467,1752691,27469837
2024-07-16,W,228981,1735464,27331702
2024-07-17,D,15105,1767795,27484942
2024-07-17,W,43349,1778814,27375052
2024-07-18,D,230770,1998565,27715712
2024-07-18,W,221770,2000584,27596822
2024-07-19,D,14472,2013037,27730184
2024-07-19,W,19000,2019584,27615822
2024-07-22,D,29608,2042646,27759792
2024-07-22,W,31077,2050661,27646899
2024-07-23,D,253823,2296468,28013615
2024-07-23,W,230139,2280799,27877038
2024-07-24,D,16859,2313327,28030474
2024-07-24,W,42906,2323706,27919944
2024-07-25,D,230463,2543790,28260937
2024-07-25,W,229989,2553694,28149932
2024-07-26,D,13519,2557309,28274456
2024-07-26,W,14885,2568579,28164817
2024-07-29,D,29621,2586930,28304077
2024-07-29,W,14649,2583228,28179466
2024-07-30,D,249799,2836729,28553875
2024-07-30,W,228877,2812105,28408343
2024-07-31,D,281645,3118374,28835521
2024-07-31,W,230066,3042171,28638409
2024-08-01,D,259091,259091,29094611
2024-08-01,W,327997,327997,28966406
2024-08-02,D,17131,276222,29111743
2024-08-02,W,43168,371165,29009574
2024-08-05,D,28007,304229,29139750
2024-08-05,W,17868,389033,29027442
2024-08-06,D,249458,553686,29389207
2024-08-06,W,238834,627867,29266276
2024-08-07,D,19488,573175,29408695
2024-08-07,W,14076,641942,29280352
2024-08-08,D,286510,859684,29695205
2024-08-08,W,279447,921389,29559799
2024-08-09,D,12100,871785,29707306
2024-08-09,W,16038,937427,29575836
2024-08-12,D,28312,900097,29735618
2024-08-12,W,16636,954063,29592473
2024-08-13,D,255888,1155986,29991506
2024-08-13,W,243309,1197373,29835782
2024-08-14,D,18340,1174325,30009846
2024-08-14,W,42130,1239503,29877912
2024-08-15,D,395176,1569501,30405022
2024-08-15,W,458090,1697593,30336002
2024-08-16,D,26829,1596331,30431851
2024-08-16,W,21802,1719395,30357804
2024-08-19,D,31270,1627601,30463122
2024-08-19,W,19174,1738568,30376978
2024-08-20,D,257391,1884992,30720512
2024-08-20,W,241444,1980013,30618422
2024-08-21,D,18675,1903667,30739187
2024-08-21,W,42928,2022940,30661350
2024-08-22,D,244850,2148516,30984037
2024-08-22,W,244844,2267784,30906193
2024-08-23,D,13342,2161858,30997379
2024-08-23,W,13841,2281625,30920035
2024-08-26,D,27120,2188978,31024499
2024-08-26,W,21134,2302760,30941169
2024-08-27,D,293029,2482007,31317528
2024-08-27,W,247021,2549780,31188189
2024-08-28,D,16755,2498762,31334283
2024-08-28,W,45906,2595686,31234095
2024-08-29,D,241533,2740295,31575816
2024-08-29,W,244130,2839816,31478226
2024-08-30,D,57246,2797541,31633062
2024-08-30,W,102213,2942029,31580439
2024-09-03,D,499262,499262,32132324
2024-09-03,W,434640,434640,32015078
2024-09-04,D,13832,513094,32146156
2024-09-04,W,16920,451560,32031998
2024-09-05,D,276270,789364,32422426
2024-09-05,W,278196,729755,32310194
2024-09-06,D,14178,803542,32436604
2024-09-06,W,23464,753219,32333658
2024-09-09,D,28015,831558,32464620
2024-09-09,W,16446,769665,32350104
2024-09-10,D,242198,1073756,32706818
2024-09-10,W,267508,1037173,32617612
2024-09-11,D,25886,1099642,32732704
2024-09-11,W,46404,1083577,32664016
2024-09-12,D,230378,1330020,32963082
2024-09-12,W,267601,1351179,32931617
2024-09-13,D,57234,1387254,33020316
2024-09-13,W,31658,1382836,32963275
2024-09-16,D,249122,1636376,33269438
2024-09-16,W,87949,1470785,33051224
2024-09-17,D,242848,1879224,33512286
2024-09-17,W,264236,1735021,33315460
2024-09-18,D,30779,1910002,33543064
2024-09-18,W,45096,1780117,33360556
2024-09-19,D,221389,2131391,33764453
2024-09-19,W,235536,2015654,33596092
2024-09-20,D,18215,2149606,33782668
2024-09-20,W,38726,2054380,33634818
2024-09-23,D,37018,2186624,33819686
2024-09-23,W,17432,2071811,33652250
2024-09-24,D,243490,2430115,34063176
2024-09-24,W,263120,2334931,33915370
2024-09-25,D,25628,2455743,34088805
2024-09-25,W,51414,2386345,33966784
2024-09-26,D,218246,2673989,34307051
2024-09-26,W,250457,2636803,34217241
2024-09-27,D,47584,2721573,34354634
2024-09-27,W,21579,2658381,34238820
2024-09-30,D,265951,2987524,34620586
2024-09-30,W,152930,2811311,34391750
2024-10-01,D,271176,271176,271176
2024-10-01,W,342908,342908,342908
2024-10-02,D,21944,293120,293120
2024-10-02,W,12526,355433,355433
2024-10-03,D,288497,581618,581618
2024-10-03,W,315962,671396,671396
2024-10-04,D,15877,597495,597495
2024-10-04,W,11574,682970,682970
2024-10-07,D,26297,623791,623791
2024-10-07,W,16030,698999,698999
2024-10-08,D,263894,887685,887685
2024-10-08,W,254219,953219,953219
2024-10-09,D,17130,904814,904814
2024-10-09,W,49926,1003145,1003145
2024-10-10,D,249358,1154173,1154173
2024-10-10,W,253409,1256553,1256553
2024-10-11,D,18107,1172279,1172279
2024-10-11,W,21753,1278306,1278306
2024-10-15,D,422370,1594649,1594649
2024-10-15,W,376416,1654722,1654722
2024-10-16,D,32914,1627564,1627564
2024-10-16,W,43816,1698538,1698538
2024-10-17,D,261109,1888673,1888673
2024-10-17,W,247014,1945552,1945552
2024-10-18,D,15352,1904025,1904025
2024-10-18,W,16401,1961953,1961953
2024-10-21,D,28631,1932656,1932656
2024-10-21,W,14833,1976786,1976786
2024-10-22,D,261347,2194003,2194003
2024-10-22,W,264253,2241039,2241039
2024-10-23,D,25831,2219834,2219834
2024-10-23,W,47111,2288150,2288150
2024-10-24,D,250704,2470538,2470538
2024-10-24,W,233979,2522129,2522129
2024-10-25,D,14753,2485291,2485291
2024-10-25,W,21409,2543539,2543539
2024-10-28,D,31479,2516770,2516770
2024-10-28,W,23063,2566602,2566602
2024-10-29,D,263002,2779772,2779772
2024-10-29,W,251833,2818435,2818435
2024-10-30,D,20069,2799841,2799841
2024-10-30,W,19995,2838429,2838429
2024-10-31,D,571150,3370991,3370991
2024-10-31,W,497245,3335675,3335675
2024-11-01,D,33529,33529,3404520
2024-11-01,W,135341,135341,3471016
2024-11-04,D,34144,67673,3438664
2024-11-04,W,16771,152112,3487787
2024-11-05,D,262880,330553,3701544
2024-11-05,W,260683,412795,3748470
2024-11-06,D,19212,349765,3720756
2024-11-06,W,17784,430579,3766254
2024-11-07,D,251513,601278,3972269
2024-11-07,W,251777,682357,4018031
2024-11-08,D,14618,615896,3986887
2024-11-08,W,23303,705660,4041335
2024-11-12,D,283031,898926,4269917
2024-11-12,W,262937,968597,4304272
2024-11-13,D,12881,911808,4282799
2024-11-13,W,55395,1023992,4359667
2024-11-14,D,265294,1177101,4548092
2024-11-14,W,258458,1282450,4618124
2024-11-15,D,173369,1350470,4721461
2024-11-15,W,258151,1540601,4876276
2024-11-18,D,39549,1390019,4761010
2024-11-18,W,16327,1556928,4892602
2024-11-19,D,266973,1656992,5027983
2024-11-19,W,258389,1815317,5150992
2024-11-20,D,18925,1675917,5046908
2024-11-20,W,43808,1859125,5194800
2024-11-21,D,301989,1977906,5348897
2024-11-21,W,260126,2119251,5454926
2024-11-22,D,13743,1991649,5362640
2024-11-22,W,34776,2154027,5489702
2024-11-25,D,37018,2028667,5399658
2024-11-25,W,18566,2172593,5508268
2024-11-26,D,301729,2330396,5701387
2024-11-26,W,267602,2440195,5775870
2024-11-27,D,21167,2351563,5722554
2024-11-27,W,49705,2489901,5825575
2024-11-29,D,357270,2708833,6079824
2024-11-29,W,383096,2872997,6208671
2024-12-02,D,256354,256354,6336178
2024-12-02,W,170451,170451,6379122
2024-12-03,D,264694,521048,6600872
2024-12-03,W,291993,462444,6671116
2024-12-04,D,19026,540074,6619898
2024-12-04,W,19497,481941,6690613
2024-12-05,D,236415,776489,6856313
2024-12-05,W,252772,734713,6943385
2024-12-06,D,14784,791273,6871097
2024-12-06,W,24683,759397,6968068
2024-12-09,D,31082,822355,6902179
2024-12-09,W,18946,778343,6987014
2024-12-10,D,243222,1065576,7145401
2024-12-10,W,295803,1074146,7282817
2024-12-11,D,20665,1086241,7166065
2024-12-11,W,57620,1131765,7340436
2024-12-12,D,241716,1327957,7407781
2024-12-12,W,249394,1381159,7589830
2024-12-13,D,40872,1368829,7448653
2024-12-13,W,19224,1400383,7609054
2024-12-16,D,220522,1589351,7669176
2024-12-16,W,84630,1485013,7693684
2024-12-17,D,238311,1827663,7907487
2024-12-17,W,268847,1753860,7962532
2024-12-18,D,21687,1849350,7929174
2024-12-18,W,48393,1802254,8010925
2024-12-19,D,230718,2080068,8159892
2024-12-19,W,246710,2048964,8257635
2024-12-20,D,19956,2100024,8179848
2024-12-20,W,40448,2089412,8298084
2024-12-23,D,47154,2147178,8227002
2024-12-23,W,21779,2111192,8319863
2024-12-24,D,236416,2383593,8463417
2024-12-24,W,294240,2405432,8614103
2024-12-26,D,287164,2670757,8750582
2024-12-26,W,333505,2738937,8947608
2024-12-27,D,51473,2722231,8802055
2024-12-27,W,19772,2758708,8967380
2024-12-30,D,44060,2766291,8846115
2024-12-30,W,19033,2777741,8986413
2024-12-31,D,456284,3222575,9302399
2024-12-31,W,479819,3257561,9466232
2025-01-02,D,287029,287029,9589428
2025-01-02,W,331876,331876,9798108
2025-01-03,D,19063,306092,9608491
2025-01-03,W,45831,377707,9843939
2025-01-06,D,38384,344476,9646875
2025-01-06,W,20104,397811,9864043
2025-01-07,D,243690,588166,9890565
2025-01-07,W,260759,658570,10124802
2025-01-08,D,17590,605756,9908155
2025-01-08,W,48546,707117,10173349
2025-01-09,D,258241,863997,10166396
2025-01-09,W,255044,962160,10428392
2025-01-10,D,17007,881004,10183403
2025-01-10,W,9152,971312,10437544
2025-01-13,D,38633,919636,10222035
2025-01-13,W,22862,994174,10460406
2025-01-14,D,279196,1198833,10501231
2025-01-14,W,255000,1249174,10715406
2025-01-15,D,209529,1408361,10710760
2025-01-15,W,229892,1479066,10945298
2025-01-16,D,282912,1691273,10993672
2025-01-16,W,256911,1735977,11202209
2025-01-17,D,17481,1708755,11011154
2025-01-17,W,21313,1757291,11223522
2025-01-21,D,287577,1996332,11298731
2025-01-21,W,256060,2013350,11479582
2025-01-22,D,17145,2013477,11315876
2025-01-22,W,56534,2069885,11536116
2025-01-23,D,397101,2410578,11712977
2025-01-23,W,302543,2372427,11838659
2025-01-24,D,25320,2435898,11738297
2025-01-24,W,16379,2388807,11855039
2025-01-27,D,42089,2477987,11780386
2025-01-27,W,13614,2402421,11868653
2025-01-28,D,264123,2742109,12044508
2025-01-28,W,248138,2650559,12116791
2025-01-29,D,24035,2766145,12068543
2025-01-29,W,25928,2676488,12142720
2025-01-30,D,269398,3035543,12337942
2025-01-30,W,254996,2931484,12397716
2025-01-31,D,286444,3321987,12624386
2025-01-31,W,319370,3250854,12717086
2025-02-03,D,66063,66063,12690449
2025-02-03,W,59083,59083,12776169
2025-02-04,D,269809,335872,12960258
2025-02-04,W,253648,312731,13029816
2025-02-05,D,19279,355151,12979537
2025-02-05,W,17493,330224,13047310
2025-02-06,D,261451,616602,13240988
2025-02-06,W,249081,579304,13296390
2025-02-07,D,14412,631014,13255400
2025-02-07,W,18984,598289,13315375
2025-02-10,D,30902,661916,13286302
2025-02-10,W,18848,617137,13334223
2025-02-11,D,263150,925066,13549452
2025-02-11,W,258773,875910,13592996
2025-02-12,D,17488,942554,13566940
2025-02-12,W,50515,926425,13643511
2025-02-13,D,262323,1204877,13829263
2025-02-13,W,262139,1188565,13905650
2025-02-14,D,19115,1223992,13848378
2025-02-14,W,26369,1214934,13932020
2025-02-18,D,461482,1685474,14309860
2025-02-18,W,489740,1704674,14421760
2025-02-19,D,13473,1698947,14323333
2025-02-19,W,48360,1753034,14470120
2025-02-20,D,313241,2012188,14636574
2025-02-20,W,324299,2077333,14794419
2025-02-21,D,15458,2027646,14652032
2025-02-21,W,29697,2107029,14824115
2025-02-24,D,34415,2062060,14686446
2025-02-24,W,40999,2148029,14865114
2025-02-25,D,246553,2308613,14932999
