tr_id,TR_OPERATION_DATE,TR_SETTLEMENT_DATE,TR_TERM_DAYS,TR_MATURITY_DATE,TR_OFFERED_AMOUNT,TR_ALLOCATED_AMOUNT,TR_LOW_RATE,TR_AVERAGE_RATE,TR_HIGH_RATE,TR_TYPE
TR_HIST_265,2020-09-08,2020-09-10,728,2022-09-08,6000,0,,,,Regular
TR_HIST_266,2020-09-15,2020-09-17,168,2021-03-04,3000,265,,0.250,,Regular
TR_HIST_267,2020-09-15,2020-09-17,546,2022-03-17,6000,0,,,,Regular
TR_HIST_268,2020-09-22,2020-09-24,364,2021-09-23,3000,0,,,,Regular
TR_HIST_269,2020-09-22,2020-09-24,728,2022-09-22,6000,0,,,,Regular
TR_HIST_270,2020-09-29,2020-10-01,168,2021-03-18,3000,0,,,,Regular
TR_HIST_271,2020-09-29,2020-10-01,546,2022-03-31,6000,0,,,,Regular
TR_HIST_272,2020-10-06,2020-10-08,364,2021-10-07,3000,0,,,,Regular
TR_HIST_273,2020-10-06,2020-10-08,728,2022-10-06,6000,0,,,,Regular
TR_HIST_274,2020-10-13,2020-10-15,168,2021-04-01,3000,0,,,,Regular
TR_HIST_275,2020-10-13,2020-10-15,546,2022-04-14,6000,0,,,,Regular
TR_HIST_276,2020-10-20,2020-10-22,357,2021-10-14,3000,0,,,,Regular
TR_HIST_277,2020-10-20,2020-10-22,721,2022-10-13,6000,0,,,,Regular
TR_HIST_278,2020-11-03,2020-11-05,182,2021-05-06,3000,0,,,,Regular
TR_HIST_279,2020-11-03,2020-11-05,539,2022-04-28,6000,0,,,,Regular
TR_HIST_280,2020-11-17,2020-11-19,350,2021-11-04,3000,250,0.250,0.250,0.250,Regular
TR_HIST_281,2020-11-17,2020-11-19,714,2022-11-03,6000,100,0.270,0.270,0.270,Regular
TR_HIST_282,2020-12-01,2020-12-03,175,2021-05-27,3000,0,,,,Regular
TR_HIST_283,2020-12-01,2020-12-03,525,2022-05-12,6000,25,0.250,0.250,0.250,Regular
TR_HIST_284,2020-12-15,2020-12-17,357,2021-12-09,3000,0,,,,Regular
TR_HIST_285,2020-12-15,2020-12-17,721,2022-12-08,6000,200,0.250,0.250,0.250,Regular
TR_HIST_286,2020-12-29,2020-12-31,183,2021-07-02,3000,0,,,,Regular
TR_HIST_287,2020-12-29,2020-12-31,532,2022-06-16,6000,0,,,,Regular
TR_HIST_288,2021-01-12,2021-01-14,364,2022-01-13,3000,0,,,,Regular
TR_HIST_289,2021-01-12,2021-01-14,714,2022-12-29,6000,145,0.250,0.250,0.250,Regular
TR_HIST_290,2021-01-26,2021-01-28,182,2021-07-29,3000,0,,,,Regular
TR_HIST_291,2021-01-26,2021-01-28,546,2022-07-28,6000,0,,,,Regular
TR_HIST_292,2021-02-09,2021-02-11,364,2022-02-10,3000,0,,,,Regular
TR_HIST_293,2021-02-09,2021-02-11,728,2023-02-09,6000,0,,,,Regular
TR_HIST_294,2021-02-23,2021-02-25,182,2021-08-26,3000,0,,,,Regular
TR_HIST_295,2021-02-23,2021-02-25,532,2022-08-11,6000,45,0.250,0.250,0.250,Regular
TR_HIST_296,2021-03-09,2021-03-11,364,2022-03-10,3000,375,0.250,0.250,0.250,Regular
TR_HIST_297,2021-03-09,2021-03-11,728,2023-03-09,6000,0,,,,Regular
TR_HIST_298,2021-03-23,2021-03-25,182,2021-09-23,3000,0,,,,Regular
TR_HIST_299,2021-03-23,2021-03-25,546,2022-09-22,6000,0,,,,Regular
TR_HIST_300,2021-04-06,2021-04-08,364,2022-04-07,3000,705,0.250,0.250,0.250,Regular
TR_HIST_301,2021-04-06,2021-04-08,728,2023-04-06,6000,0,,,,Regular
TR_HIST_302,2021-04-20,2021-04-22,182,2021-10-21,3000,48,0.250,0.250,0.250,Regular
TR_HIST_303,2021-04-20,2021-04-22,532,2022-10-06,6000,0,,,,Regular
TR_HIST_304,2021-05-04,2021-05-06,364,2022-05-05,3000,500,0.250,0.250,0.250,Regular
TR_HIST_305,2021-05-04,2021-05-06,728,2023-05-04,6000,0,,,,Regular
14002039040-1,2025-03-05,2025-03-06,28,2025-04-03,2000,1710,2.860,2.863,2.870,Regular
14002039839-1,2025-03-19,2025-03-20,28,2025-04-17,2000,1050,2.760,2.760,2.760,Regular
14002039839-2,2025-03-19,2025-03-20,84,2025-06-12,2000,1250,2.700,2.700,2.700,Regular
14002039509-1,2025-04-02,2025-04-03,28,2025-05-01,2000,1600,2.700,2.700,2.700,Regular
14002040264-1,2025-04-16,2025-04-17,28,2025-05-15,3000,1800,2.750,2.750,2.750,Regular
14002040264-2,2025-04-16,2025-04-17,84,2025-07-10,2000,725,2.680,2.680,2.680,Regular
14002040642-1,2025-04-30,2025-05-01,28,2025-05-29,3000,1850,2.750,2.750,2.750,Regular
14002040667-1,2025-05-14,2025-05-15,28,2025-06-12,3000,1750,2.700,2.700,2.700,Regular
14002040667-2,2025-05-14,2025-05-15,84,2025-08-07,3000,1050,2.620,2.620,2.620,Regular
14002041441-1,2025-05-28,2025-05-29,28,2025-06-26,4000,2650,2.700,2.700,2.700,Regular
14002041052-1,2025-06-11,2025-06-12,28,2025-07-10,3000,1540,2.750,2.750,2.750,Regular
14002041052-2,2025-06-11,2025-06-12,84,2025-09-04,5000,1850,2.710,2.710,2.710,Regular
14002042640-1,2025-06-25,2025-06-26,28,2025-07-24,5000,2980,2.750,2.750,2.750,Regular
14002042664-1,2025-07-09,2025-07-10,28,2025-08-07,3000,1250,2.730,2.730,2.730,Regular
14002042664-2,2025-07-09,2025-07-10,84,2025-10-02,5000,1750,2.690,2.690,2.690,Regular
14002042652-1,2025-07-23,2025-07-24,28,2025-08-21,4000,2080,2.740,2.740,2.740,Regular
14002043042-1,2025-08-06,2025-08-07,28,2025-09-04,9000,1150,2.750,2.750,2.750,Regular
14002043042-2,2025-08-06,2025-08-07,84,2025-10-30,6000,550,2.710,2.710,2.710,Regular
14002043445-1,2025-08-20,2025-08-21,28,2025-09-18,8000,3090,2.750,2.750,2.750,Regular
14002043843-1,2025-09-03,2025-09-04,28,2025-10-02,5000,4450,2.690,2.691,2.700,Regular
14002043843-2,2025-09-03,2025-09-04,84,2025-11-27,3000,1450,2.620,2.620,2.620,Regular
14002044639-1,2025-09-17,2025-09-18,28,2025-10-16,9000,4815,2.550,2.550,2.550,Regular
14002044645-1,2025-10-01,2025-10-02,28,2025-10-30,10000,9050,2.500,2.504,2.520,Regular
14002044645-2,2025-10-01,2025-10-02,82,2025-12-23,2000,1100,2.430,2.430,2.430,Regular
14002044668-1,2025-10-15,2025-10-16,14,2025-10-30,6000,4150,2.500,2.500,2.520,Regular
14002044668-2,2025-10-15,2025-10-16,28,2025-11-13,6000,2500,2.450,2.452,2.460,Regular
14002044668-3,2025-10-15,2025-10-16,28,2025-11-13,500,60,2.550,2.550,2.550,NHA MBS
14002045039-1,2025-10-22,2025-10-23,14,2025-11-06,4000,4000,2.410,2.411,2.420,Regular
14002045081-1,2025-10-29,2025-10-30,14,2025-11-13,6000,5000,2.250,2.250,2.250,Regular
14002045081-2,2025-10-29,2025-10-30,28,2025-11-27,7000,6850,2.250,2.250,2.270,Regular
14002045081-3,2025-10-29,2025-10-30,84,2026-01-22,2000,500,2.240,2.240,2.240,Regular
14002045840-1,2025-11-05,2025-11-06,14,2025-11-20,4500,4500,2.250,2.251,2.260,Regular
14002045842-1,2025-11-12,2025-11-13,14,2025-11-27,6000,6000,2.250,2.250,2.250,Regular
14002045842-2,2025-11-12,2025-11-13,28,2025-12-11,6000,6000,2.250,2.252,2.260,Regular
14002045842-3,2025-11-12,2025-11-13,28,2025-12-11,500,50,2.350,2.350,2.350,NHA MBS
14002045845-1,2025-11-19,2025-11-20,14,2025-12-04,6000,6000,2.250,2.250,2.260,Regular
14002046659-1,2025-11-26,2025-11-27,14,2025-12-11,6000,6000,2.250,2.250,2.270,Regular
14002046659-2,2025-11-26,2025-11-27,26,2025-12-23,5000,5000,2.250,2.250,2.250,Regular
14002046659-3,2025-11-26,2025-11-27,84,2026-02-19,2000,1300,2.240,2.240,2.240,Regular
14002047440-1,2025-12-03,2025-12-04,14,2025-12-18,6000,4900,2.250,2.251,2.260,Regular
14002048239-1,2025-12-10,2025-12-11,12,2025-12-23,5000,4670,2.250,2.250,2.250,Regular
14002048239-2,2025-12-10,2025-12-11,28,2026-01-08,6000,6000,2.250,2.251,2.270,Regular
14002048239-3,2025-12-10,2025-12-11,28,2026-01-08,500,0,,,,NHA MBS
14002049040-1,2025-12-17,2025-12-18,12,2025-12-30,6000,6000,2.250,2.250,2.250,Regular
14002048641-1,2025-12-22,2025-12-23,16,2026-01-08,6000,6000,2.250,2.261,2.270,Regular
14002048641-2,2025-12-22,2025-12-23,30,2026-01-22,6000,6000,2.250,2.258,2.270,Regular
14002048641-3,2025-12-22,2025-12-23,86,2026-03-19,3000,2000,2.260,2.268,2.280,Regular
14002048646-1,2025-12-29,2025-12-30,16,2026-01-15,6000,6000,2.250,2.256,2.270,Regular
14002049050-1,2026-01-07,2026-01-08,14,2026-01-22,5000,5000,2.250,2.253,2.270,Regular
14002049050-2,2026-01-07,2026-01-08,28,2026-02-05,5000,3550,2.250,2.257,2.270,Regular
14002049050-3,2026-01-07,2026-01-08,28,2026-02-05,500,0,,,,NHA MBS
14002049055-1,2026-01-14,2026-01-15,14,2026-01-29,3500,3500,2.250,2.250,2.260,Regular
14002049839-1,2026-01-21,2026-01-22,14,2026-02-05,3000,2250,2.250,2.250,2.250,Regular
14002049839-2,2026-01-21,2026-01-22,28,2026-02-19,3500,2950,2.250,2.250,2.250,Regular
14002049839-3,2026-01-21,2026-01-22,84,2026-04-16,1500,1300,2.250,2.250,2.250,Regular
14002049843-1,2026-01-28,2026-01-29,14,2026-02-12,3000,3000,2.250,2.255,2.260,Regular
14002050259-1,2026-02-04,2026-02-05,14,2026-02-19,3000,3000,2.250,2.254,2.260,Regular
14002050259-2,2026-02-04,2026-02-05,28,2026-03-05,3000,3000,2.250,2.251,2.270,Regular
14002050259-3,2026-02-04,2026-02-05,28,2026-03-05,250,62,2.350,2.350,2.350,NHA MBS
14002050281-1,2026-02-11,2026-02-12,14,2026-02-26,3000,3000,2.250,2.253,2.260,Regular
14002051059-1,2026-02-18,2026-02-19,14,2026-03-05,4000,4000,2.250,2.253,2.260,Regular
14002051059-2,2026-02-18,2026-02-19,28,2026-03-19,3000,3000,2.250,2.253,2.260,Regular
14002051059-3,2026-02-18,2026-02-19,84,2026-05-14,1500,1300,2.250,2.250,2.250,Regular
14002051063-1,2026-02-25,2026-02-26,14,2026-03-12,5000,5000,2.250,2.254,2.270,Regular
14002051066-1,2026-03-04,2026-03-05,14,2026-03-19,6000,6000,2.250,2.253,2.260,Regular
14002051066-2,2026-03-04,2026-03-05,28,2026-04-02,4000,4000,2.250,2.252,2.260,Regular
14002051066-3,2026-03-04,2026-03-05,28,2026-04-02,250,62,2.350,2.350,2.350,NHA MBS
14002051442-1,2026-03-11,2026-03-12,14,2026-03-26,5000,5000,2.250,2.252,2.260,Regular
14002051448-1,2026-03-18,2026-03-19,14,2026-04-02,4000,4000,2.250,2.252,2.260,Regular
14002051448-2,2026-03-18,2026-03-19,28,2026-04-16,3500,3500,2.250,2.250,2.260,Regular
14002051448-3,2026-03-18,2026-03-19,84,2026-06-11,1500,1500,2.260,2.260,2.260,Regular
14002051846-1,2026-03-25,2026-03-26,14,2026-04-09,8000,8000,2.250,2.269,2.280,Regular
14002051851-1,2026-04-01,2026-04-02,14,2026-04-16,6500,6500,2.250,2.250,2.260,Regular
14002051851-2,2026-04-01,2026-04-02,28,2026-04-30,2000,2000,2.250,2.251,2.270,Regular
14002051851-3,2026-04-01,2026-04-02,28,2026-04-30,500,100,2.350,2.350,2.350,NHA MBS
14002052303-1,2026-04-08,2026-04-09,14,2026-04-23,4500,4500,2.250,2.251,2.260,Regular
14002052284-1,2026-04-15,2026-04-16,14,2026-04-30,4500,4500,2.260,2.268,2.280,Regular
14002052284-2,2026-04-15,2026-04-16,28,2026-05-14,3000,3000,2.250,2.253,2.260,Regular
14002052284-3,2026-04-15,2026-04-16,84,2026-07-09,1000,850,2.270,2.270,2.270,Regular
14002052639-1,2026-04-22,2026-04-23,14,2026-05-07,6500,6500,2.250,2.256,2.260,Regular
14002052666-1,2026-04-29,2026-04-30,14,2026-05-14,9000,9000,2.250,2.250,2.260,Regular
14002052666-2,2026-04-29,2026-04-30,28,2026-05-28,2000,2000,2.250,2.250,2.250,Regular
14002052666-3,2026-04-29,2026-04-30,28,2026-05-28,500,0,,,,NHA MBS
14002052671-1,2026-05-06,2026-05-07,14,2026-05-21,12000,12000,2.250,2.250,2.250,Regular
14002053060-1,2026-05-13,2026-05-14,14,2026-05-28,9000,9000,2.250,2.250,2.250,Regular
14002053060-2,2026-05-13,2026-05-14,28,2026-06-11,2500,2500,2.250,2.253,2.260,Regular
14002053060-3,2026-05-13,2026-05-14,84,2026-08-06,1000,700,2.300,2.300,2.300,Regular
14002053063-1,2026-05-20,2026-05-21,14,2026-06-04,15000,15000,2.250,2.250,2.250,Regular
14002053068-1,2026-05-27,2026-05-28,14,2026-06-11,13000,12790,2.250,2.250,2.250,Regular
14002053068-2,2026-05-27,2026-05-28,28,2026-06-25,3000,1800,2.260,2.260,2.260,Regular
14002053068-3,2026-05-27,2026-05-28,28,2026-06-25,500,0,,,,NHA MBS
14002053439-1,2026-06-03,2026-06-04,14,2026-06-18,12000,12000,2.250,2.250,2.250,Regular
14002054239-1,2026-06-10,2026-06-11,14,2026-06-25,10000,10000,2.250,2.250,2.250,Regular
14002054239-2,2026-06-10,2026-06-11,28,2026-07-09,6000,6000,2.250,2.250,2.250,Regular
14002054239-3,2026-06-10,2026-06-11,84,2026-09-03,1500,1225,2.280,2.280,2.280,Regular
14002053844-1,2026-06-17,2026-06-18,14,2026-07-02,12000,12000,2.250,2.253,2.260,Regular
14002053847-1,2026-06-24,2026-06-25,14,2026-07-09,11000,11000,2.250,2.255,2.270,Regular
14002053847-2,2026-06-24,2026-06-25,28,2026-07-23,4000,4000,2.250,2.255,2.260,Regular
14002053847-3,2026-06-24,2026-06-25,28,2026-07-23,500,125,2.350,2.350,2.350,NHA MBS
14002055041-1,2026-06-30,2026-07-02,14,2026-07-16,15000,15000,2.250,2.255,2.260,Regular
14002055046-1,2026-07-08,2026-07-09,14,2026-07-23,14000,12029,2.260,2.260,2.260,Regular
14002055046-2,2026-07-08,2026-07-09,28,2026-08-06,5000,5000,2.260,2.260,2.260,Regular
14002055046-3,2026-07-08,2026-07-09,84,2026-10-01,750,748,2.290,2.290,2.290,Regular
14002054649-1,2026-07-15,2026-07-16,14,2026-07-30,15000,15000,2.250,2.253,2.260,Regular
14002055440-1,2026-07-22,2026-07-23,14,2026-08-06,14000,12021,2.250,2.250,2.250,Regular
14002055440-2,2026-07-22,2026-07-23,28,2026-08-20,5000,5000,2.250,2.250,2.250,Regular
14002055440-3,2026-07-22,2026-07-23,28,2026-08-20,500,0,,,,NHA MBS
14002055466-1,2026-07-29,2026-07-30,14,2026-08-13,15000,12825,2.250,2.250,2.250,Regular
14002055469-1,2026-08-05,2026-08-06,14,2026-08-20,16000,15527,2.250,2.250,2.260,Regular
14002055469-2,2026-08-05,2026-08-06,28,2026-09-03,6500,6500,2.250,2.250,2.250,Regular
14002055469-3,2026-08-05,2026-08-06,84,2026-10-29,750,561,2.300,2.300,2.300,Regular
14002055843-1,2026-08-12,2026-08-13,14,2026-08-27,15000,15000,2.250,2.250,2.250,Regular
14002057440-1,2026-08-19,2026-08-20,14,2026-09-03,15000,15000,2.250,2.250,2.250,Regular
14002057440-2,2026-08-19,2026-08-20,28,2026-09-17,7500,7500,2.260,2.260,2.260,Regular
14002057440-3,2026-08-19,2026-08-20,28,2026-09-17,500,125,2.360,2.360,2.360,NHA MBS
14002057841-1,2026-08-26,2026-08-27,14,2026-09-10,15000,15000,2.260,2.260,2.260,Regular
14002057845-1,2026-09-02,2026-09-03,14,2026-09-17,14000,14000,2.250,2.250,2.250,Regular
14002057845-2,2026-09-02,2026-09-03,28,2026-10-01,8000,8000,2.250,2.250,2.250,Regular
14002057845-3,2026-09-02,2026-09-03,84,2026-11-26,750,561,2.310,2.310,2.310,Regular
14002058244-1,2026-09-09,2026-09-10,14,2026-09-24,16000,16000,2.250,2.250,2.260,Regular
14002058246-1,2026-09-16,2026-09-17,14,2026-10-01,9000,,,,,Regular
14002058246-2,2026-09-16,2026-09-17,28,2026-10-15,4500,,,,,Regular
14002058246-3,2026-09-16,2026-09-17,28,2026-10-15,500,,,,,NHA MBS
