Ministero dell'Economia e delle Finanze;;;;;;;;;
Direzione Debito Pubblico;;;;;;;;;
Scadenze suddivise per anno;;;;;;;;;
(Aggiornamento al 31 maggio 2025);;;;;;;;;
Codice ISIN;Tipo titolo;Emissione;Scadenza;Cedola/Spread;Valuta;Circolante Euro (rivalutato);Circolante Euro (nominale);;
US465410BG26;GLOBAL;27/02/2003;15/06/2033;5,375;USD;1.881.203.625,33;1.881.203.625,33;;
IT0005240350;BTP 15;01/09/2016;01/09/2033;2,450;EUR;21.876.925.000,00;21.876.925.000,00;;
NGEU ago.2021/set.2051;2^ rimborso;01/08/2021;09/09/2033;n/d;EUR;796.911.767,60;796.911.767,60;;
IT0005544082;BTP 10;02/05/2023;01/11/2033;4,350;EUR;21.200.000.000,00;21.200.000.000,00;;
IT0005466344;BTP Futura 12;16/11/2021;16/11/2033;"0,750  ""step-up""";EUR;3.268.240.000,00;3.268.240.000,00;;
NGEU nov.2022/dic.2052;1^ rimborso;08/11/2022;13/12/2033;n/d;EUR;550.000.000,00;550.000.000,00;;
IT0005560948;BTP 10;01/09/2023;01/03/2034;4,200;EUR;20.173.518.000,00;20.173.518.000,00;;
NGEU apr.2022/mag.2052;2^ rimborso;13/04/2022;19/05/2034;n/d;EUR;550.000.000,00;550.000.000,00;;
XS2842049053;EMTN;14/06/2024;14/06/2034;Variabile;EUR;300.000.000,00;300.000.000,00;;
IT0005584856;BTP 10;01/03/2024;01/07/2034;3,850;EUR;19.521.883.000,00;19.521.883.000,00;;
IT0003685093;Ispa Obbl;06/07/2024;31/07/2034;5,200;EUR;2.200.000.000,00;2.200.000.000,00;;
IT0003535157;BTP 30;01/08/2003;01/08/2034;5,000;EUR;28.290.621.000,00;28.290.621.000,00;;
NGEU ago.2021/set.2051;3^ rimborso;01/08/2021;08/09/2034;n/d;EUR;796.911.767,60;796.911.767,60;;
NGEU ott.2023/nov.2053;1^ rimborso;09/10/2023;13/11/2034;n/d;EUR;427.401.784,90;427.401.784,90;;
XS2940476208;EMTN;22/11/2024;22/11/2034;Variabile;EUR;300.000.000,00;300.000.000,00;;
XS0197336968;EMTN;29/07/2004;07/12/2034;5,250;GBP;297.173.287,69;297.173.287,69;;
NGEU nov.2022/dic.2052;2^ rimborso;08/11/2022;13/12/2034;n/d;EUR;550.000.000,00;550.000.000,00;;
XS2964663442;EMTN;18/12/2024;18/12/2034;Variabile;EUR;250.000.000,00;250.000.000,00;;
IT0005607970;BTP 10;01/08/2024;01/02/2035;3,850;EUR;20.900.000.000,00;20.900.000.000,00;;
NGEU dic.2023/feb.2054;1^ rimborso;28/12/2023;02/02/2035;n/d;EUR;722.598.215,10;722.598.215,10;;
IT0005358806;BTP 15;01/09/2018;01/03/2035;3,350;EUR;21.604.000.000,00;21.604.000.000,00;;
XS3030521515;EMTN;20/03/2025;20/03/2035;Variabile;EUR;300.000.000,00;300.000.000,00;;
XS2600999739;EMTN;23/03/2023;23/03/2035;Variabile;EUR;250.000.000,00;250.000.000,00;;
IT0005508590;BTP Green;30/04/2022;30/04/2035;4,000;EUR;13.030.000.000,00;13.030.000.000,00;;
NGEU apr.2022/mag.2052;3^ rimborso;13/04/2022;21/05/2035;n/d;EUR;550.000.000,00;550.000.000,00;;
XS0218274107;EMTN;31/05/2005;31/05/2035;Variabile;EUR;300.000.000,00;300.000.000,00;;
IT0003874523;Ispa Obbl;30/06/2005;31/07/2035;Variabile;EUR;300.000.000,00;300.000.000,00;;
IT0003877310;Ispa Obbl;30/06/2005;31/07/2035;Variabile;EUR;100.000.000,00;100.000.000,00;;
IT0005631590;BTP 10;15/01/2025;01/08/2035;3,650;EUR;20.122.835.000,00;20.122.835.000,00;;
XS2994958416;EMTN;05/02/2025;05/08/2035;Variabile;EUR;550.000.000,00;550.000.000,00;;
XS3016634399;EMTN;04/03/2025;04/09/2035;Variabile;EUR;1.000.000.000,00;1.000.000.000,00;;
NGEU ago.2024/set.2054;1^ rimborso;05/08/2024;07/09/2035;n/d;EUR;392.830.799,25;392.830.799,25;;
NGEU ago.2021/set.2051;4^ rimborso;01/08/2021;10/09/2035;n/d;EUR;796.911.767,60;796.911.767,60;;
IT0003745541;BTP�i 30;15/09/2004;15/09/2035; 2,350  Cedola reale;EUR;19.879.019.672,40;13.157.158.808,65;;
IT0005648149;BTP 10;02/05/2025;01/10/2035;3,600;EUR;5.200.000.000,00;5.200.000.000,00;;
XS3041419642;EMTN;02/04/2025;02/10/2035;Variabile;EUR;700.000.000,00;700.000.000,00;;
NGEU ott.2023/nov.2053;2^ rimborso;09/10/2023;13/11/2035;n/d;EUR;427.401.784,90;427.401.784,90;;
XS3074411524 ;EMTN;15/05/2025;15/11/2035;Variabile;EUR;800.000.000,00;800.000.000,00;;
XS3075392251;EMTN;16/05/2025;16/11/2035;Variabile;EUR;440.000.000,00;440.000.000,00;;
XS3086829606;EMTN;30/05/2025;30/11/2035;Variabile;EUR;300.000.000,00;300.000.000,00;;
NGEU nov.2022/dic.2052;3^ rimborso;08/11/2022;13/12/2035;n/d;EUR;550.000.000,00;550.000.000,00;;
NGEU dic.2024/gen.2055;1^ rimborso;23/12/2024;30/01/2036;n/d;EUR;344.018.933,35;344.018.933,35;;
NGEU dic.2023/feb.2054;2^ rimborso;28/12/2023;04/02/2036;n/d;EUR;722.598.215,10;722.598.215,10;;
IT0005402117;BTP 15;18/02/2020;01/03/2036;1,450;EUR;14.400.000.000,00;14.400.000.000,00;;
XS0247541971;EMTN;28/03/2006;28/03/2036;4,425;EUR;192.000.000,00;192.000.000,00;;
IT0005588881;BTP�I 10;15/11/2023;15/05/2036;1,800 Cedola reale;EUR;12.409.055.625,00;12.136.114.411,88;;
NGEU apr.2022/mag.2052;4^ rimborso;13/04/2022;20/05/2036;n/d;EUR;550.000.000,00;550.000.000,00;;
SURE;6^ tranche;16/03/2021;04/06/2036;0,200;EUR;3.867.000.000,00;3.867.000.000,00;;
IT0005177909;BTP 20;01/03/2016;01/09/2036;2,250;EUR;16.178.000.000,00;16.178.000.000,00;;
NGEU ago.2024/set.2054;2^ rimborso;05/08/2024;09/09/2036;n/d;EUR;392.830.799,25;392.830.799,25;;
NGEU ago.2021/set.2051;5^ rimborso;01/08/2021;10/09/2036;n/d;EUR;796.911.767,60;796.911.767,60;;
XS2948764563;EMTN;27/11/2024;29/10/2036;3,550;EUR;1.000.000.000,00;1.000.000.000,00;;
NGEU ott.2023/nov.2053;3^ rimborso;09/10/2023;13/11/2036;n/d;EUR;427.401.784,90;427.401.784,90;;
NGEU nov.2022/dic.2052;4^ rimborso;08/11/2022;12/12/2036;n/d;EUR;550.000.000,00;550.000.000,00;;
NGEU dic.2024/gen.2055;2^ rimborso;23/12/2024;30/01/2037;n/d;EUR;344.018.933,35;344.018.933,35;;
IT0003934657;BTP 30;01/08/2005;01/02/2037;4,000;EUR;32.219.308.000,00;32.219.308.000,00;;
NGEU dic.2023/feb.2054;3^ rimborso;28/12/2023;02/02/2037;n/d;EUR;722.598.215,10;722.598.215,10;;
IT0005433195;BTP 15;12/01/2021;01/03/2037;0,950;EUR;17.032.000.000,00;17.032.000.000,00;;
IT0005442089;BTP Futura 16;27/04/2021;27/04/2037;"0,750  ""step-up""";EUR;5.477.083.000,00;5.477.083.000,00;;
NGEU apr.2022/mag.2052;5^ rimborso;13/04/2022;19/05/2037;n/d;EUR;550.000.000,00;550.000.000,00;;
NGEU ago.2024/set.2054;3^ rimborso;05/08/2024;09/09/2037;n/d;EUR;392.830.799,25;392.830.799,25;;
NGEU ago.2021/set.2051;6^ rimborso;13/08/2021;10/09/2037;n/d;EUR;796.911.767,60;796.911.767,60;;
IT0005596470;BTP GREEN;30/04/2024;30/10/2037;4,050;EUR;9.000.000.000,00;9.000.000.000,00;;
NGEU ott.2023/nov.2053;4^ rimborso;09/10/2023;13/11/2037;n/d;EUR;427.401.784,90;427.401.784,90;;
NGEU nov.2022/dic.2052;5^ rimborso;08/11/2022;11/12/2037;n/d;EUR;550.000.000,00;550.000.000,00;;
NGEU dic.2024/gen.2055;3^ rimborso;23/12/2024;29/01/2038;n/d;EUR;344.018.933,35;344.018.933,35;;
NGEU dic.2023/feb.2054;4^ rimborso;28/12/2023;02/02/2038;n/d;EUR;722.598.215,10;722.598.215,10;;
IT0005496770;BTP 15;01/03/2022;01/03/2038;3,250;EUR;15.062.855.000,00;15.062.855.000,00;;
NGEU apr.2022/mag.2052;6^ rimborso;13/04/2022;20/05/2038;n/d;EUR;550.000.000,00;550.000.000,00;;
IT0005321325;BTP 20;01/09/2017;01/09/2038;2,950;EUR;14.963.750.000,00;14.963.750.000,00;;
NGEU ago.2024/set.2054;4^ rimborso;05/08/2024;09/09/2038;n/d;EUR;392.830.799,25;392.830.799,25;;
NGEU ago.2021/set.2051;7^ rimborso;13/08/2021;10/09/2038;n/d;EUR;796.911.767,60;796.911.767,60;;
NGEU ott.2023/nov.2053;5^ rimborso;09/10/2023;12/11/2038;n/d;EUR;427.401.784,90;427.401.784,90;;
NGEU nov.2022/dic.2052;6^ rimborso;08/11/2022;13/12/2038;n/d;EUR;550.000.000,00;550.000.000,00;;
NGEU dic.2024/gen.2055;4^ rimborso;23/12/2024;27/01/2039;n/d;EUR;344.018.933,35;344.018.933,35;;
NGEU dic.2023/feb.2054;5^ rimborso;28/12/2023;01/02/2039;n/d;EUR;722.598.215,10;722.598.215,10;;
