date,cb_score_lw,cb_regime,fi_score_lw,fi_regime,general
2024-01-31,0.17,DRAIN,0.0,DRAIN,LIQUIDITY_DRAIN
2024-02-07,0.83,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-02-14,0.17,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-02-21,0.17,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-02-28,0.17,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-03-06,0.17,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-03-13,0.83,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-03-20,-0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-03-27,0.83,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-04-03,0.83,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-04-10,0.17,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-04-17,0.83,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-04-24,0.5,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-05-01,-0.17,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-05-08,1.17,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-05-15,1.17,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-05-22,0.5,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-05-29,1.17,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-06-05,0.5,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-06-12,1.17,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-06-19,0.5,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-06-26,-0.17,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-07-03,-0.17,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-07-10,1.17,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-07-17,1.17,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-07-24,-0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-07-31,0.83,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-08-07,0.83,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-08-14,-0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-08-21,0.83,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-08-28,0.83,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-09-04,0.17,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-09-11,0.83,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-09-18,0.17,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-09-25,0.83,INJECTION,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-10-02,-0.5,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-10-09,0.17,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-10-16,0.17,NEUTRAL,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-10-23,-0.83,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-10-30,0.5,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-11-06,-0.17,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-11-13,-0.17,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-11-20,-0.17,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-11-27,0.5,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-12-04,-0.83,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
2024-12-11,0.5,DRAIN,0.0,NEUTRAL,NEUTRAL_PARTIAL
