date,on_t0,on,1w,2w,3w,1m,3m,6m,1y
2026-03-04,0.748,0.75,0.747,0.747,0.747,0.748,0.807,0.88,0.99
2026-03-05,0.749,0.75,0.747,0.747,0.747,0.748,0.807,0.88,0.99
2026-03-06,0.75,0.751,0.747,0.747,0.747,0.748,0.807,0.88,0.991
2026-03-09,0.75,0.751,0.748,0.747,0.747,0.749,0.808,0.879,0.992
2026-03-10,0.751,0.752,0.748,0.748,0.748,0.749,0.811,0.879,0.991
2026-03-11,0.75,0.752,0.748,0.748,0.748,0.749,0.813,0.879,0.992
2026-03-12,0.751,0.753,0.749,0.749,0.749,0.749,0.814,0.879,0.994
2026-03-13,0.751,0.753,0.749,0.749,0.749,0.749,0.815,0.88,0.995
2026-03-16,0.75,0.753,0.75,0.75,0.75,0.751,0.817,0.88,0.998
2026-03-17,0.75,0.753,0.75,0.75,0.75,0.75,0.819,0.882,1.001
2026-03-18,0.751,0.753,0.75,0.749,0.75,0.751,0.822,0.885,1.003
2026-03-19,0.749,0.755,0.75,0.75,0.75,0.75,0.832,0.887,1.005
2026-03-23,0.752,0.754,0.749,0.749,0.749,0.749,0.837,0.894,1.009
2026-03-24,0.749,0.75,0.749,0.749,0.749,0.749,0.841,0.898,1.014
2026-03-25,0.748,0.746,0.743,0.746,0.748,0.748,0.841,0.901,1.016
2026-03-26,0.747,0.745,0.741,0.745,0.745,0.745,0.846,0.901,1.017
2026-03-27,0.749,0.75,0.739,0.745,0.745,0.746,0.852,0.906,1.02
2026-03-30,0.748,0.746,0.744,0.747,0.747,0.747,0.857,0.908,1.023
2026-03-31,0.738,0.751,0.747,0.747,0.747,0.75,0.861,0.911,1.033
2026-04-01,0.748,0.752,0.747,0.747,0.747,0.752,0.865,0.915,1.039
2026-04-02,0.749,0.754,0.747,0.747,0.748,0.752,0.868,0.918,1.046
2026-04-03,0.75,0.754,0.748,0.748,0.749,0.757,0.878,0.924,1.055
2026-04-06,0.75,0.755,0.75,0.75,0.75,0.767,0.888,0.928,1.06
2026-04-07,0.749,0.755,0.75,0.75,0.75,0.777,0.894,0.935,1.066
2026-04-08,0.751,0.754,0.75,0.75,0.75,0.785,0.897,0.939,1.068
2026-04-09,0.752,0.755,0.75,0.75,0.751,0.791,0.9,0.943,1.072
2026-04-10,0.751,0.755,0.75,0.75,0.756,0.809,0.902,0.949,1.077
2026-04-13,0.75,0.754,0.75,0.75,0.762,0.814,0.902,0.952,1.085
2026-04-14,0.751,0.754,0.75,0.75,0.76,0.811,0.894,0.949,1.087
2026-04-15,0.751,0.753,0.75,0.75,0.763,0.803,0.889,0.949,1.087
