date,STRDCLUCV
2019-06-05,49983
2019-06-06,49509
2019-06-07,54630
2019-06-10,49783
2019-06-11,53653
2019-06-12,56553
2019-06-13,58488
2019-06-14,56807
2019-06-17,47334
2019-06-18,47815
2019-06-19,46739
2019-06-20,52218
2019-06-21,54915
2019-06-24,56665
2019-06-25,62885
2019-06-26,52452
2019-06-27,54547
2019-06-28,36307
2019-07-01,56133
2019-07-02,52223
2019-07-03,51320
2019-07-04,54070
2019-07-05,50270
2019-07-08,45165
2019-07-09,41513
2019-07-10,40701
2019-07-11,41574
2019-07-12,44193
2019-07-16,55102
2019-07-17,63433
2019-07-18,59087
2019-07-19,62613
2019-07-22,53800
2019-07-23,62728
2019-07-24,61488
2019-07-25,56737
2019-07-26,57120
2019-07-29,51629
2019-07-30,47705
2019-07-31,50064
2019-08-01,58326
2019-08-02,50098
2019-08-05,47084
2019-08-06,46113
2019-08-07,57712
2019-08-08,52645
2019-08-09,56856
2019-08-13,56886
2019-08-14,63899
2019-08-15,64253
2019-08-16,60767
2019-08-19,58683
2019-08-20,56773
2019-08-21,54191
2019-08-22,61333
2019-08-23,57854
2019-08-26,55419
2019-08-27,55620
2019-08-28,59665
2019-08-29,62200
2019-08-30,53393
2019-09-02,58380
2019-09-03,55780
2019-09-04,55836
2019-09-05,55089
2019-09-06,66296
2019-09-09,49061
2019-09-10,61399
2019-09-11,54709
2019-09-12,54604
2019-09-13,47789
2019-09-17,60560
2019-09-18,66079
2019-09-19,67177
2019-09-20,69210
2019-09-24,61715
2019-09-25,60939
2019-09-26,63657
2019-09-27,59374
2019-09-30,45044
2019-10-01,56643
2019-10-02,58194
2019-10-03,52010
2019-10-04,63065
2019-10-07,52766
2019-10-08,59673
2019-10-09,56011
2019-10-10,56495
2019-10-11,45601
2019-10-15,51009
2019-10-16,58112
2019-10-17,58687
2019-10-18,52684
2019-10-21,52242
2019-10-23,50854
2019-10-24,50816
2019-10-25,53524
2019-10-28,50486
2019-10-29,51675
2019-10-30,53053
2019-10-31,53760
2019-11-01,60905
2019-11-05,53577
2019-11-06,56604
2019-11-07,63944
2019-11-08,54545
2019-11-11,42103
2019-11-12,44358
2019-11-13,52965
2019-11-14,59051
2019-11-15,59280
2019-11-18,50594
2019-11-19,55277
2019-11-20,61564
2019-11-21,49173
2019-11-22,50876
2019-11-25,42877
2019-11-26,62647
2019-11-27,49954
2019-11-28,51173
2019-11-29,51308
2019-12-02,49270
2019-12-03,47751
2019-12-04,49047
2019-12-05,50188
2019-12-06,51576
2019-12-09,49102
2019-12-10,54560
2019-12-11,49785
2019-12-12,46489
2019-12-13,39142
2019-12-16,57790
2019-12-17,56073
2019-12-18,58231
2019-12-19,56818
2019-12-20,58071
2019-12-23,52365
2019-12-24,48137
2019-12-25,49181
2019-12-26,48657
2019-12-27,49076
2019-12-30,34616
2020-01-06,44472
2020-01-07,50963
2020-01-08,50068
2020-01-09,46515
2020-01-10,50619
2020-01-14,56862
2020-01-15,62347
2020-01-16,49376
2020-01-17,59411
2020-01-20,54215
2020-01-21,50224
2020-01-22,50913
2020-01-23,65108
2020-01-24,55435
2020-01-27,50601
2020-01-28,55823
2020-01-29,55857
2020-01-30,62788
2020-01-31,61309
2020-02-03,63143
2020-02-04,58249
2020-02-05,60217
2020-02-06,66165
2020-02-07,65744
2020-02-10,53896
2020-02-12,57878
2020-02-13,63012
2020-02-14,55204
2020-02-17,63993
2020-02-18,64158
2020-02-19,67349
2020-02-20,60387
2020-02-21,79574
2020-02-25,67617
2020-02-26,69611
2020-02-27,68152
2020-02-28,75283
2020-03-02,86845
2020-03-03,73761
2020-03-04,81616
2020-03-05,85435
2020-03-06,92392
2020-03-09,83701
2020-03-10,73308
2020-03-11,71388
2020-03-12,63162
2020-03-13,81012
2020-03-16,67495
2020-03-17,71975
2020-03-18,73811
2020-03-19,76770
2020-03-23,81458
2020-03-24,80484
2020-03-25,83393
2020-03-26,85824
2020-03-27,82973
2020-03-30,80583
2020-03-31,63203
2020-04-01,79685
2020-04-02,80603
2020-04-03,77398
2020-04-06,70007
2020-04-07,71669
2020-04-08,68959
2020-04-09,69324
2020-04-10,71861
2020-04-13,64884
2020-04-14,65709
2020-04-15,65086
2020-04-16,67539
2020-04-17,68540
2020-04-20,70959
2020-04-21,71137
2020-04-22,70554
2020-04-23,70695
2020-04-24,68812
2020-04-27,68249
2020-04-28,68459
2020-04-30,69911
2020-05-01,69692
2020-05-07,68177
2020-05-08,63705
2020-05-11,52535
2020-05-12,61841
2020-05-13,63235
2020-05-14,65185
2020-05-15,70307
2020-05-18,69164
2020-05-19,68130
2020-05-20,66256
2020-05-21,68277
2020-05-22,70076
2020-05-25,70456
2020-05-26,72680
2020-05-27,74652
2020-05-28,75327
2020-05-29,75002
2020-06-01,82478
2020-06-02,80959
2020-06-03,78270
2020-06-04,84067
2020-06-05,84513
2020-06-08,74032
2020-06-09,71014
2020-06-10,65544
2020-06-11,63311
2020-06-12,70796
2020-06-15,64284
2020-06-16,69675
2020-06-17,64140
2020-06-18,71353
2020-06-19,71873
2020-06-22,61544
2020-06-23,63806
2020-06-24,65101
2020-06-25,61827
2020-06-26,66389
2020-06-29,61812
2020-06-30,64720
2020-07-01,64117
2020-07-02,73194
2020-07-03,66206
2020-07-06,63303
2020-07-07,61587
2020-07-08,62119
2020-07-09,71942
2020-07-10,73546
2020-07-13,65241
2020-07-14,63256
2020-07-15,64610
2020-07-16,71559
2020-07-17,65691
2020-07-20,69811
2020-07-21,71702
2020-07-22,65210
2020-07-27,58573
2020-07-28,60196
2020-07-29,59711
2020-07-30,60346
2020-07-31,72104
2020-08-03,57385
2020-08-04,60857
2020-08-05,53617
2020-08-06,61298
2020-08-07,66309
2020-08-11,63690
2020-08-12,67402
2020-08-13,64542
2020-08-14,62731
2020-08-17,61914
2020-08-18,66113
2020-08-19,75716
2020-08-20,64007
2020-08-21,64959
2020-08-24,61280
2020-08-25,62515
2020-08-26,59475
2020-08-27,58761
2020-08-28,57798
2020-08-31,59004
2020-09-01,60209
2020-09-02,63828
2020-09-03,70987
2020-09-04,57245
2020-09-07,47419
2020-09-08,54160
2020-09-09,47350
2020-09-10,49368
2020-09-11,52130
2020-09-14,64845
2020-09-15,63061
2020-09-16,64596
2020-09-17,69378
2020-09-18,68580
2020-09-23,75418
2020-09-24,73522
2020-09-25,77414
2020-09-28,69073
2020-09-29,78569
2020-09-30,60625
2020-10-01,62586
2020-10-02,68522
2020-10-05,51786
2020-10-06,48093
2020-10-07,52855
2020-10-08,56351
2020-10-09,51163
2020-10-12,44754
2020-10-13,46313
2020-10-14,52597
2020-10-15,50574
2020-10-16,72189
2020-10-19,62822
2020-10-20,64859
2020-10-21,64266
2020-10-22,69691
2020-10-23,69713
2020-10-26,60038
2020-10-27,55980
2020-10-28,62575
2020-10-29,62516
2020-10-30,71397
2020-11-02,78618
2020-11-04,65235
2020-11-05,64605
2020-11-06,77481
2020-11-09,73727
2020-11-10,75597
2020-11-11,69155
2020-11-12,67222
2020-11-13,80751
2020-11-16,66425
2020-11-17,58018
2020-11-18,69282
2020-11-19,66954
2020-11-20,80109
2020-11-24,65392
2020-11-25,61220
2020-11-26,65459
2020-11-27,79647
2020-11-30,60852
2020-12-01,60849
2020-12-02,63935
2020-12-03,70650
2020-12-04,85863
2020-12-07,60491
2020-12-08,62263
2020-12-09,82796
2020-12-10,77592
2020-12-11,72193
2020-12-14,73426
2020-12-15,72640
2020-12-16,66847
2020-12-17,70646
2020-12-18,71517
2020-12-21,63230
2020-12-22,57258
2020-12-23,62532
2020-12-24,67119
2020-12-25,72503
2020-12-28,66007
2020-12-29,70244
2020-12-30,59417
2021-01-04,71761
2021-01-05,62669
2021-01-06,62814
2021-01-07,60703
2021-01-08,67977
2021-01-12,54441
2021-01-13,66169
2021-01-14,62023
2021-01-15,61138
2021-01-18,72201
2021-01-19,69282
2021-01-20,66634
2021-01-21,71139
2021-01-22,73687
2021-01-25,69554
2021-01-26,63258
2021-01-27,69361
2021-01-28,64684
2021-01-29,60740
2021-02-01,64434
2021-02-02,58089
2021-02-03,61583
2021-02-04,63733
2021-02-05,68335
2021-02-08,51478
2021-02-09,56365
2021-02-10,51858
2021-02-12,65617
2021-02-15,58529
2021-02-16,70936
2021-02-17,69406
2021-02-18,62614
2021-02-19,81924
2021-02-22,74572
2021-02-24,75500
2021-02-25,78975
2021-02-26,92122
2021-03-01,86088
2021-03-02,70187
2021-03-03,70267
2021-03-04,64686
2021-03-05,66566
2021-03-08,60794
2021-03-09,57675
2021-03-10,69735
2021-03-11,74190
2021-03-12,66403
2021-03-15,61216
2021-03-16,81048
2021-03-17,64907
2021-03-18,66147
2021-03-19,65154
2021-03-22,76359
2021-03-23,76782
2021-03-24,85329
2021-03-25,72973
2021-03-26,93428
2021-03-29,77360
2021-03-30,72492
2021-03-31,55796
2021-04-01,88919
2021-04-02,90092
2021-04-05,68314
2021-04-06,71442
2021-04-07,79655
2021-04-08,77890
2021-04-09,69585
2021-04-12,69435
2021-04-13,65423
2021-04-14,73996
2021-04-15,68803
2021-04-16,89233
2021-04-19,87428
2021-04-20,95844
2021-04-21,95811
2021-04-22,96340
2021-04-23,92572
2021-04-26,93767
2021-04-27,96049
2021-04-28,97081
2021-04-30,94468
2021-05-06,80126
2021-05-07,82333
2021-05-10,90932
2021-05-11,78034
2021-05-12,85689
2021-05-13,80492
2021-05-14,64290
2021-05-17,81761
2021-05-18,84739
2021-05-19,84879
2021-05-20,83264
2021-05-21,85944
2021-05-24,82242
2021-05-25,81232
2021-05-26,81469
2021-05-27,79836
2021-05-28,83605
2021-05-31,79700
2021-06-01,85748
2021-06-02,75859
2021-06-03,69028
2021-06-04,76519
2021-06-07,59470
2021-06-08,65702
2021-06-09,60043
2021-06-10,64960
2021-06-11,68194
2021-06-14,67874
2021-06-15,78344
2021-06-16,80441
2021-06-17,87096
2021-06-18,94279
2021-06-21,81517
2021-06-22,92955
2021-06-23,79239
2021-06-24,82206
2021-06-25,87764
2021-06-28,61779
2021-06-29,70094
2021-06-30,66688
2021-07-01,67906
2021-07-02,70317
2021-07-05,58208
2021-07-06,57516
2021-07-07,57638
2021-07-08,59439
2021-07-09,65068
2021-07-12,60386
2021-07-13,63579
2021-07-14,67351
2021-07-15,81453
2021-07-16,96263
2021-07-19,82066
2021-07-20,86362
2021-07-21,95121
2021-07-26,82472
2021-07-27,79924
2021-07-28,76144
2021-07-29,76278
2021-07-30,79515
2021-08-02,75579
2021-08-03,64149
2021-08-04,61466
2021-08-05,63957
2021-08-06,74239
2021-08-10,55175
2021-08-11,56748
2021-08-12,61872
2021-08-13,68027
2021-08-16,78149
2021-08-17,82193
2021-08-18,78058
2021-08-19,76615
2021-08-20,77131
2021-08-23,92683
2021-08-24,77492
2021-08-25,77466
2021-08-26,77643
2021-08-27,79927
2021-08-30,68812
2021-08-31,61517
2021-09-01,61069
2021-09-02,60391
2021-09-03,60600
2021-09-06,55827
2021-09-07,55397
2021-09-08,52999
2021-09-09,71391
2021-09-10,67911
2021-09-13,59246
2021-09-14,60379
2021-09-15,55441
2021-09-16,75820
2021-09-17,77831
2021-09-21,74081
2021-09-22,78274
2021-09-24,81428
2021-09-27,81079
2021-09-28,75962
2021-09-29,62111
2021-09-30,53702
2021-10-01,69555
2021-10-04,58876
2021-10-05,58744
2021-10-06,60274
2021-10-07,66022
2021-10-08,62723
2021-10-11,62532
2021-10-12,61214
2021-10-13,67053
2021-10-14,74199
2021-10-15,72665
2021-10-18,85531
2021-10-19,88991
2021-10-20,92332
2021-10-21,97804
2021-10-22,92059
2021-10-25,91596
2021-10-26,90879
2021-10-27,88033
2021-10-28,88521
2021-10-29,86197
2021-11-01,82441
2021-11-02,79229
2021-11-04,75641
2021-11-05,73449
2021-11-08,69774
2021-11-09,61093
2021-11-10,68626
2021-11-11,67083
2021-11-12,72866
2021-11-15,63898
2021-11-16,97320
2021-11-17,95743
2021-11-18,91415
2021-11-19,97617
2021-11-22,92974
2021-11-24,89416
2021-11-25,86489
2021-11-26,94163
2021-11-29,87183
2021-11-30,87502
2021-12-01,81751
2021-12-02,80524
2021-12-03,72872
2021-12-06,59334
2021-12-07,62170
2021-12-08,61615
2021-12-09,66662
2021-12-10,73303
2021-12-13,60479
2021-12-14,72310
2021-12-15,68846
2021-12-16,99063
2021-12-17,101947
2021-12-20,102874
2021-12-21,102062
2021-12-22,102817
2021-12-23,100485
2021-12-24,96759
2021-12-27,83328
2021-12-28,85055
2021-12-29,58954
2021-12-30,62886
2022-01-04,68936
2022-01-05,79293
2022-01-06,87848
2022-01-07,95543
2022-01-11,85054
2022-01-12,98787
2022-01-13,107004
2022-01-14,82393
2022-01-17,103465
2022-01-18,102723
2022-01-19,100407
2022-01-20,105427
2022-01-21,112377
2022-01-24,102553
2022-01-25,101849
2022-01-26,95837
2022-01-27,101780
2022-01-28,105104
2022-01-31,81872
2022-02-01,98404
2022-02-02,97269
2022-02-03,99700
2022-02-04,103093
2022-02-07,102009
2022-02-08,107242
2022-02-09,103611
2022-02-10,114228
2022-02-14,70139
2022-02-15,74851
2022-02-16,98245
2022-02-17,95945
2022-02-18,108099
2022-02-21,96026
2022-02-22,109261
2022-02-24,114307
2022-02-25,74661
2022-02-28,73619
2022-03-01,86660
2022-03-02,107084
2022-03-03,109144
2022-03-04,97490
2022-03-07,79844
2022-03-08,82084
2022-03-09,104831
2022-03-10,101432
2022-03-11,101149
2022-03-14,79172
2022-03-15,61200
2022-03-16,86924
2022-03-17,90658
2022-03-18,101680
2022-03-22,95701
2022-03-23,110119
2022-03-24,102996
2022-03-25,106164
2022-03-28,90945
2022-03-29,97325
2022-03-30,112416
2022-03-31,65397
2022-04-01,83959
2022-04-04,97834
2022-04-05,100549
2022-04-06,88761
2022-04-07,99967
2022-04-08,103873
2022-04-11,76764
2022-04-12,84740
2022-04-13,85080
2022-04-14,91723
2022-04-15,69924
2022-04-18,81742
2022-04-19,80276
2022-04-20,80156
2022-04-21,91053
2022-04-22,95062
2022-04-25,83834
2022-04-26,88369
2022-04-27,106382
2022-04-28,108002
2022-05-02,120154
2022-05-06,119520
2022-05-09,79523
2022-05-10,81267
2022-05-11,70496
2022-05-12,73341
2022-05-13,63234
2022-05-16,97899
2022-05-17,98792
2022-05-18,103691
2022-05-19,110840
2022-05-20,115697
2022-05-23,103060
2022-05-24,100245
2022-05-25,91879
2022-05-26,97858
2022-05-27,116926
2022-05-30,99063
2022-05-31,70790
2022-06-01,84736
2022-06-02,80965
2022-06-03,64889
2022-06-06,52041
2022-06-07,53564
2022-06-08,52770
2022-06-09,79728
2022-06-10,77912
2022-06-13,62505
2022-06-14,57314
2022-06-15,67893
2022-06-16,68041
2022-06-17,74083
2022-06-20,68658
2022-06-21,65563
2022-06-22,64256
2022-06-23,60597
2022-06-24,61877
2022-06-27,56464
2022-06-28,55739
2022-06-29,58287
2022-06-30,72196
2022-07-01,68925
2022-07-04,64370
2022-07-05,67018
2022-07-06,67164
2022-07-07,60889
2022-07-08,66390
2022-07-11,65255
2022-07-12,69080
2022-07-13,69615
2022-07-14,72094
2022-07-15,73156
2022-07-19,73586
2022-07-20,77028
2022-07-21,74251
2022-07-22,76811
2022-07-25,81228
2022-07-26,83103
2022-07-27,83318
2022-07-28,82181
2022-07-29,86977
2022-08-01,79033
2022-08-02,90885
2022-08-03,83847
2022-08-04,82442
2022-08-05,83971
2022-08-08,77815
2022-08-09,70210
2022-08-10,71606
2022-08-12,66623
2022-08-15,62097
2022-08-16,65991
2022-08-17,63298
2022-08-18,67327
2022-08-19,71208
2022-08-22,65936
2022-08-23,63721
2022-08-24,64084
2022-08-25,62671
2022-08-26,65026
2022-08-29,66031
2022-08-30,66517
2022-08-31,65692
2022-09-01,68076
2022-09-02,66717
2022-09-05,58114
2022-09-06,60016
2022-09-07,62795
2022-09-08,64990
2022-09-09,78230
2022-09-12,63069
2022-09-13,66895
2022-09-14,76721
2022-09-15,69943
2022-09-16,68320
