date,tenor,offered_100m,competitive_bids,accepted,bid_to_cover,highest_accepted_yield
2025-12-02,10y,26000.0,70397.0,19602.0,3.591,1.872
2025-12-04,30y,7000.0,21254.0,5255.0,4.045,3.427
2025-12-09,5y,24000.0,58711.0,18535.0,3.168,1.435
2025-12-11,20y,8000.0,24841.0,6065.0,4.096,2.916
2025-12-25,2y,28000.0,72138.0,22158.0,3.256,1.129
2026-01-06,10y,26000.0,64702.0,19585.0,3.304,2.095
2026-01-08,30y,7000.0,16473.0,5249.0,3.138,3.447
2026-01-14,5y,25000.0,59404.0,19280.0,3.081,1.639
2026-01-20,20y,8000.0,19399.0,6078.0,3.192,3.253
2026-01-26,gx5y,3000.0,10454.0,2999.0,3.486,1.684
2026-01-28,40y,4000.0,11033.0,3998.0,2.76,3.72
2026-01-30,2y,28000.0,84656.0,21839.0,3.876,1.253
2026-02-03,10y,26000.0,60166.0,19925.0,3.02,2.249
2026-02-05,30y,7000.0,19085.0,5250.0,3.635,3.615
2026-02-17,5y,25000.0,58553.0,18912.0,3.096,1.64
2026-02-19,20y,8000.0,18693.0,6075.0,3.077,2.968
2026-02-27,2y,28000.0,71214.0,21456.0,3.319,1.244
2026-03-03,10y,26000.0,66239.0,20046.0,3.304,2.122
2026-03-05,30y,7000.0,19377.0,5300.0,3.656,3.398
2026-03-11,5y,25000.0,70880.0,19216.0,3.689,1.633
2026-03-13,gx10y,3000.0,10260.0,2999.0,3.421,2.195
2026-03-17,20y,8000.0,19903.0,6130.0,3.247,3.141
2026-03-24,40y,4000.0,10157.0,3998.0,2.541,3.6
2026-03-31,2y,28000.0,75892.0,21454.0,3.537,1.37
2026-04-02,10y,26000.0,50460.0,19672.0,2.565,2.35
2026-04-07,30y,6000.0,14030.0,4504.0,3.115,3.697
2026-04-09,5y,25000.0,68055.0,18985.0,3.585,1.826
2026-04-14,20y,7000.0,25321.0,5253.0,4.82,3.327
2026-04-30,2y,28000.0,113278.0,21603.0,5.244,1.407
