date,net_issuance_private_daily
2021-10-08,0.0
2021-10-11,2499.9
2021-10-12,0.0
2021-10-13,-9706.0
2021-10-14,0.0
2021-10-15,-25141.0
2021-10-18,3000.8
2021-10-19,0.0
2021-10-20,-12829.9
2021-10-21,0.0
2021-10-22,0.0
2021-10-25,2499.9
2021-10-26,0.0
2021-10-27,0.0
2021-10-28,0.0
2021-10-29,0.0
2021-11-01,-4160.3
2021-11-02,-28332.0
2021-11-03,0.0
2021-11-04,0.0
2021-11-05,-1997.0
2021-11-08,6999.7
2021-11-09,0.0
2021-11-10,-10292.8
2021-11-11,0.0
2021-11-12,0.0
2021-11-15,6999.8
2021-11-16,0.0
2021-11-17,-27462.0
2021-11-18,0.0
2021-11-19,-12110.0
2021-11-22,18754.5
2021-11-23,0.0
2021-11-24,0.0
2021-11-25,-500.8
2021-11-26,-6336.0
2021-11-29,7000.0
2021-11-30,0.0
2021-12-01,-10138.0
2021-12-02,0.0
2021-12-03,-26813.0
2021-12-06,6999.8
2021-12-07,0.0
2021-12-08,-9140.0
2021-12-09,0.0
2021-12-10,-26059.4
2021-12-13,6999.8
2021-12-14,0.0
2021-12-15,0.0
2021-12-16,-500.4
2021-12-17,-12894.0
2021-12-20,169966.1
2021-12-21,0.0
2021-12-22,0.0
2021-12-23,0.0
2021-12-24,0.0
2021-12-27,0.0
2021-12-28,0.0
2021-12-29,0.0
2021-12-30,0.0
2021-12-31,0.0
2022-01-03,22572.0
2022-01-04,-31687.0
2022-01-05,0.0
2022-01-06,-27187.0
2022-01-07,0.0
2022-01-10,0.0
2022-01-11,-10355.0
2022-01-12,0.0
2022-01-13,-24996.0
2022-01-14,0.0
2022-01-17,-12711.8
2022-01-18,0.0
2022-01-19,0.0
2022-01-20,0.0
2022-01-21,0.0
2022-01-24,-0.1
2022-01-25,-500.0
2022-01-26,-6215.0
2022-01-27,0.0
2022-01-28,0.0
2022-01-31,-0.3
2022-02-01,-10139.0
2022-02-02,-27268.0
2022-02-03,0.0
2022-02-04,-9237.0
2022-02-07,-0.3
2022-02-08,0.0
2022-02-09,-1999.0
2022-02-10,0.5
2022-02-11,0.0
2022-02-14,-14000.3
2022-02-15,0.0
2022-02-16,-24992.0
2022-02-17,0.0
2022-02-18,-12747.0
2022-02-21,-4008.9
2022-02-22,0.0
2022-02-23,0.0
2022-02-24,0.0
2022-02-25,-0.4
2022-02-28,-13999.7
2022-03-01,-10182.0
2022-03-02,-28454.0
2022-03-03,0.0
2022-03-04,-9876.0
2022-03-07,-13999.6
2022-03-08,0.0
2022-03-09,-24983.0
2022-03-10,-0.2
2022-03-11,-12902.0
2022-03-14,-13999.5
2022-03-15,0.0
2022-03-16,0.0
2022-03-17,0.0
2022-03-18,0.0
2022-03-21,149053.0
2022-03-22,-13998.6
2022-03-23,0.0
2022-03-24,0.0
2022-03-25,-0.1
2022-03-28,-13999.9
2022-03-29,0.0
2022-03-30,-6522.0
2022-03-31,0.0
2022-04-01,-8194.0
2022-04-04,-6999.5
2022-04-05,0.0
2022-04-06,-26990.0
2022-04-07,0.0
2022-04-08,-9876.0
2022-04-11,-8500.2
2022-04-12,0.0
2022-04-13,-25830.0
2022-04-14,0.0
2022-04-15,-11996.0
2022-04-18,-8999.8
2022-04-19,0.0
2022-04-20,-0.2
2022-04-21,0.0
2022-04-22,0.0
2022-04-25,-8500.9
2022-04-26,0.0
2022-04-27,0.0
2022-04-28,0.0
2022-04-29,0.0
2022-05-02,-6364.0
2022-05-03,0.0
2022-05-04,0.0
2022-05-05,0.0
2022-05-06,0.0
2022-05-09,-8999.8
2022-05-10,2500.1
2022-05-11,-26990.0
2022-05-12,0.0
2022-05-13,-9615.0
2022-05-16,-9000.4
2022-05-17,-1998.0
2022-05-18,0.0
2022-05-19,-25767.0
2022-05-20,10164.4
2022-05-23,-14885.2
2022-05-24,0.0
2022-05-25,2500.2
2022-05-26,0.0
2022-05-27,-7425.0
2022-05-30,-2000.2
2022-05-31,0.0
2022-06-01,-10469.0
2022-06-02,0.0
2022-06-03,-29333.0
2022-06-06,-1999.7
2022-06-07,0.0
2022-06-08,-9499.0
2022-06-09,0.0
2022-06-10,6500.2
2022-06-13,999.9
2022-06-14,0.0
2022-06-15,0.0
2022-06-16,6500.2
2022-06-17,0.0
2022-06-20,159192.1
2022-06-21,0.0
2022-06-22,-27441.0
2022-06-23,0.0
2022-06-24,-12990.0
2022-06-27,999.0
2022-06-28,0.0
2022-06-29,0.0
2022-06-30,0.0
2022-07-01,4510.0
2022-07-04,999.6
2022-07-05,0.0
2022-07-06,-27189.0
2022-07-07,0.0
2022-07-08,-9494.0
2022-07-11,11499.4
2022-07-12,0.0
2022-07-13,-27483.0
2022-07-14,0.0
2022-07-15,-12712.0
2022-07-18,0.0
2022-07-19,3000.4
2022-07-20,-0.2
2022-07-21,0.0
2022-07-22,0.0
2022-07-25,13499.3
2022-07-26,0.0
2022-07-27,-7689.0
2022-07-28,0.0
2022-07-29,0.0
2022-08-01,3242.0
2022-08-02,0.0
2022-08-03,-26993.0
2022-08-04,0.0
2022-08-05,-2500.0
2022-08-08,3000.3
2022-08-09,0.0
2022-08-10,-15820.6
2022-08-11,0.0
2022-08-12,0.0
2022-08-15,3000.6
2022-08-16,0.0
2022-08-17,-27437.0
2022-08-18,0.0
2022-08-19,-12034.0
2022-08-22,12999.5
2022-08-23,0.0
2022-08-24,0.0
2022-08-25,33999.9
2022-08-26,0.0
2022-08-29,2999.9
2022-08-30,0.0
2022-08-31,0.0
2022-09-01,1090.0
2022-09-02,-26997.0
2022-09-05,2999.8
2022-09-06,0.0
2022-09-07,-8991.0
2022-09-08,0.0
2022-09-09,0.0
2022-09-12,-5999.6
2022-09-13,0.0
2022-09-14,-27470.0
2022-09-15,0.0
2022-09-16,-11998.0
2022-09-19,0.0
2022-09-20,149472.2
2022-09-21,0.0
2022-09-22,0.0
2022-09-23,0.0
2022-09-26,33999.8
2022-09-27,0.0
2022-09-28,-7305.0
2022-09-29,0.0
2022-09-30,0.0
2022-10-03,1493.1
2022-10-04,0.0
2022-10-05,-28662.0
2022-10-06,0.0
2022-10-07,0.0
2022-10-10,0.0
2022-10-11,-10000.5
2022-10-12,0.0
2022-10-13,-9245.0
2022-10-14,0.0
2022-10-17,-29145.5
2022-10-18,0.0
2022-10-19,-12743.0
2022-10-20,-0.1
2022-10-21,0.0
2022-10-24,-3999.7
2022-10-25,33999.6
2022-10-26,0.0
2022-10-27,0.0
2022-10-28,0.0
2022-10-31,-3999.8
2022-11-01,458.0
2022-11-02,-27467.0
2022-11-03,0.0
2022-11-04,0.0
2022-11-07,-3999.8
2022-11-08,-2498.0
2022-11-09,0.0
2022-11-10,-17880.2
2022-11-11,0.0
2022-11-14,-3999.9
2022-11-15,0.0
2022-11-16,-24993.0
2022-11-17,0.0
2022-11-18,-11995.0
2022-11-21,11340.7
2022-11-22,0.0
2022-11-23,0.0
2022-11-24,0.0
2022-11-25,31999.6
2022-11-28,-11246.1
2022-11-29,0.0
2022-11-30,0.0
2022-12-01,365.0
2022-12-02,-28674.0
2022-12-05,-4000.1
2022-12-06,0.0
2022-12-07,-8996.0
2022-12-08,0.0
2022-12-09,-24994.0
2022-12-12,-16001.2
2022-12-13,0.0
2022-12-14,0.0
2022-12-15,0.0
2022-12-16,16002.4
2022-12-19,-4000.4
2022-12-20,166557.8
2022-12-21,0.0
2022-12-22,0.0
2022-12-23,0.0
2022-12-26,0.0
2022-12-27,0.0
2022-12-28,0.0
2022-12-29,0.0
2022-12-30,0.0
2023-01-02,30410.0
2023-01-03,0.0
2023-01-04,-30609.0
2023-01-05,0.0
2023-01-06,-31204.9
2023-01-09,0.0
2023-01-10,-21000.2
2023-01-11,55999.7
2023-01-12,-69883.5
2023-01-13,0.0
2023-01-16,-27485.0
2023-01-17,0.0
2023-01-18,0.0
2023-01-19,0.0
2023-01-20,-12965.0
2023-01-23,0.1
2023-01-24,0.0
2023-01-25,24000.0
2023-01-26,0.0
2023-01-27,-7543.0
2023-01-30,-0.3
2023-01-31,0.0
2023-02-01,1372.0
2023-02-02,0.0
2023-02-03,-26991.0
2023-02-06,0.3
2023-02-07,0.0
2023-02-08,-8996.0
2023-02-09,0.0
2023-02-10,-7499.9
2023-02-13,-3000.3
2023-02-14,0.0
2023-02-15,0.0
2023-02-16,0.0
2023-02-17,-27482.0
2023-02-20,-3000.2
2023-02-21,0.0
2023-02-22,-12512.0
2023-02-23,0.0
2023-02-24,0.0
2023-02-27,-2999.9
2023-02-28,0.0
2023-03-01,1678.0
2023-03-02,0.0
2023-03-03,-27419.0
2023-03-06,-3000.2
2023-03-07,0.0
2023-03-08,-9139.0
2023-03-09,0.0
2023-03-10,-5000.2
2023-03-13,-3000.2
2023-03-14,0.0
2023-03-15,-27165.0
2023-03-16,0.0
2023-03-17,-12856.0
2023-03-20,164187.5
2023-03-21,0.0
2023-03-22,0.0
2023-03-23,0.0
2023-03-24,0.0
2023-03-27,-2999.9
2023-03-28,0.0
