Ministero dell'Economia e delle Finanze;;;;;;
Direzione Debito Pubblico;;;;;;
Scadenze suddivise per anno;;;;;;
(Aggiornato al 31/12/2022);;;;;;
Codice ISIN;Tipo titolo;Emissione;Scadenza;Cedola/Spread;Valuta;Circolante Euro
 IT0005390874   ; BTP 7;15/11/2019;15/01/2027;0,850; EUR;18.841.928.000,00
IT0005484552; BTP 5;01/03/2022;01/04/2027;1,100; EUR;14.300.000.000,00
 IT0005240830   ; BTP 10;01/02/2017;01/06/2027;2,200; EUR;17.325.000.000,00
 IT0005274805   ; BTP 10;04/07/2017;01/08/2027;2,050; EUR;19.196.628.000,00
 IT0005416570; BTP 7;16/07/2020;15/09/2027;0,950; EUR;21.532.697.000,00
 IT0001174611; BTP 30;01/11/1997;01/11/2027;6,500; EUR;26.763.132.147,48
IT0005500068; BTP 5;04/07/2022;01/12/2027;2,650; EUR;17.800.000.000,00
 IT0005388167 ; BTP Italia 8;28/10/2019;28/10/2027; 0,650  Cedola reale; EUR;6.944.025.380,00
 XS1505666815   ; EMTN;17/10/2016;17/04/2027;1,448; EUR;900.000.000,00
 XS1236858657   ; EMTN;22/05/2015;22/05/2027;2,127; EUR;700.000.000,00
 XS0644776683   ; EMTN;01/07/2011;31/12/2027;5,970; EUR;596.578.336,00
 IT0005323032   ; BTP 10;01/02/2018;01/02/2028;2,000; EUR;23.077.136.000,00
 IT0005433690; BTP 7;18/01/2021;15/03/2028;0,250; EUR;19.300.378.000,00
IT0005521981; BTP 5;30/11/2022;01/04/2028;3,40; EUR;5.000.000.000,00
IT0005445306;BTP 7a;17/05/2021;15/07/2028;0,500; EUR;15.494.896.000,00
 IT0004889033   ; BTP 15;22/01/2023;01/09/2028;4,750; EUR;23.914.154.000,00
 IT0005340929   ; BTP 10;01/08/2018;01/12/2028;2,800; EUR;21.368.192.000,00
IT0005517187; BTP Italia 6;22/11/2022;22/11/2028;1.600 real coupon; EUR;12.382.779.515,29
 IT0005246134   ; BTP€i 10;15/11/2016;15/05/2028; 1,300  Cedola reale; EUR;19.100.845.080,09
 IT0005425753; BTP Futura 8;17/11/2020;17/11/2028;\"0,35  \"\"step-up\"\"\"; EUR;5.711.308.000,00
 XS1180157544   ; EMTN;02/02/2015;02/02/2028;1,862; EUR;1.000.000.000,00
 XS1227831382   ; EMTN;06/05/2015;06/05/2028;1,666; EUR;500.000.000,00
 XS0089572316   ; EMTN;04/08/1998;04/08/2028;6,000; GBP;2.234.043.931,50
 XS1121804279   ; EMTN;15/10/2024;15/09/2028; 1,510  Cedola reale; EUR;1.209.220.000,00
SURE;5^ tranche;02/02/2021;02/06/2028;0,000; EUR;4.450.000.000,00
IT0005467482; BTP 7;15/11/2021;15/02/2029;0,450; EUR;16.150.000.000,00
IT0005495731; BTP 7;16/05/2022;15/06/2029;2,800; EUR;15.800.000.000,00
 IT0005365165   ; BTP 10;01/02/2019;01/08/2029;3,000; EUR;21.966.500.000,00
 IT0001278511; BTP 30;01/11/1998;01/11/2029;5,250; EUR;29.819.999.208,67
IT0005519787; BTP 7;15/11/2022;15/12/2029;3,85;EUR;7.500.000.000,00
 IT0005451361; CCTeu 7;15/04/2021;15/04/2029;0,650; EUR;18.303.348.000,00
 XS1199014306   ; EMTN;05/03/2015;05/03/2029;1,771; EUR;500.000.000,00
 XS1413812881   ; EMTN;18/05/2016;18/05/2029;1,913; EUR;800.000.000,00
 XS0098449456   ; EMTN;28/06/1999;28/06/2029;Variabile; EUR;905.000.000,00
 US465410BY32   ; GLOBAL;17/10/2019;17/10/2029;2,875; USD;1.820.830.298,62
 IT0005024234   ; BTP 15;01/03/2014;01/03/2030;3,500; EUR;26.406.449.000,00
 IT0005383309   ; BTP 10;01/09/2019;01/04/2030;1,350; EUR;22.758.941.000,00
 IT0005387052   ; BTP€i 10;15/05/2019;15/05/2030; 0,400  Cedola reale; EUR;16.103.342.556,70
IT0005496994; BTP Italia;28/06/2022;28/06/2030;1,600; EUR;9.468.981.803,07
 IT0005415283; BTP Futura 10;14/07/2020;14/07/2030;\"1,150  \"\"step-up\"\"\"; EUR;6.132.260.000,00
 IT0005403396   ; BTP 10;01/03/2020;01/08/2030;0,950; EUR;18.895.169.000,00
SURE;1^ tranche;27/10/2020;04/10/2030;0,000; EUR;5.500.000.000,00
IT0005491250;CCTeu;15/10/2021;15/10/2030;0,226; EUR;12.040.168.000,00
 IT0005413171   ; BTP 10;01/06/2020;01/12/2030;1,650; EUR;23.107.903.000,00
 XS0124812503   ; EMTN;20/02/2001;19/02/2031; - ; EUR;150.000.000,00
 IT0005422891; BTP 10;01/10/2020;01/04/2031;0,900; EUR;23.450.073.000,00
 IT0001444378   ; BTP 30;01/11/1999;01/05/2031;6,000; EUR;29.762.750.000,00
 XS1435990863   ; EMTN;22/06/2016;22/06/2031;1,901; EUR;700.000.000,00
IT0005436693; BTP 10;01/02/2021;01/08/2031;0,600; EUR;20.300.000.000,00
IT0005449969; BTP 10;01/06/2021;01/12/2031;0,950; EUR;19.515.000.000,00
 XS1180459395   ; EMTN;02/02/2015;02/02/2032;2,192; EUR;500.000.000,00
 IT0005094088   ; BTP 15;01/03/2015;01/03/2032;1,650; EUR;24.486.727.000,00
IT0005466013; BTP 10;01/11/2021;01/06/2032;0,950; EUR;19.800.000.000,00
 XS1199008670   ; EMTN;05/03/2015;05/09/2032;2,000; EUR;500.000.000,00
NGEU ago.2021/set.2051  ;1^ rimborso;01/08/2021;10/09/2032;n/d; EUR;796.911.767,60
 IT0005138828   ; BTP€i 15;15/09/2015;15/09/2032; 1,250  Cedola reale; EUR;17.581.713.632,97
IT0005494239; BTP 10;03/05/2022;01/12/2032;2,500; EUR;16.550.000.000,00
 IT0003256820   ; BTP 30;01/02/2002;01/02/2033;5,750; EUR;20.761.000.000,00
IT0005518128; BTP 10;01/11/2022;01/05/2033;4,40; EUR;6.750.000.000,00
IT0005482994; BTP€i 10;15/11/2021;15/05/2033;0,100 Cedola reale;EUR;12.100.893.702,66
NGEU apr.2022/mag.2052;1^ rimborso;13/04/2022;20/05/2033;n/d;EUR;550.000.000,00
 US465410BG26   ; GLOBAL;27/02/2003;15/06/2033;5,375; USD;1.877.631.910,12
 IT0005240350   ; BTP 15;01/09/2016;01/09/2033;2,450; EUR;18.808.228.000,00
NGEU ago.2021/set.2051  ;2^ rimborso;01/08/2021;09/09/2033;n/d; EUR;796.911.767,60
 IT0005466344; BTP Futura 12;16/11/2021;16/11/2033;\"0,750  \"\"step-up\"\"\"; EUR;3.268.240.000,00
NGEU nov.2022/dic.2052;1^ rimborso;08/11/2022;13/12/2033;n/d; EUR;550.000.000,00
NGEU apr.2022/mag.2052;2^ rimborso;13/04/2022;19/05/2034;n/d;EUR;550.000.000,00
 IT0003685093   ; Ispa Obbl;06/07/2024;31/07/2034;5,200; EUR;2.200.000.000,00
 IT0003535157   ; BTP 30;01/08/2023;01/08/2034;5,000; EUR;25.110.921.000,00
NGEU ago.2021/set.2051  ;3^  rimborso;01/08/2021;08/09/2034;n/d; EUR;796.911.767,60
 XS0197336968   ; EMTN;29/07/2004;07/12/2034;5,250; GBP;281.779.040,15
NGEU nov.2022/dic.2052;2^ rimborso;08/11/2022;13/12/2034;n/d; EUR;550.000.000,00
 IT0005358806   ; BTP 15;01/09/2018;01/03/2035;3,350; EUR;14.800.000.000,00
IT0005508590;BTP Green;30/04/2022;30/04/2035;4,000;EUR;8.000.000.000,00
NGEU apr.2022/mag.2052;3^  rimborso;13/04/2022;21/05/2035;n/d;EUR;550.000.000,00
 XS0218274107   ; EMTN;31/05/2005;31/05/2035;Variabile; EUR;300.000.000,00
 IT0003874523   ; Ispa Obbl;30/06/2005;31/07/2035;Variabile; EUR;300.000.000,00
 IT0003877310   ; Ispa Obbl;30/06/2005;31/07/2035;Variabile; EUR;100.000.000,00
NGEU ago.2021/set.2051  ;4^ rimborso;01/08/2021;10/09/2035;n/d; EUR;796.911.767,60
 IT0003745541   ; BTP€i 30;15/09/2004;15/09/2035; 2,350  Cedola reale; EUR;18.837.807.435,00
NGEU nov.2022/dic.2052;3^ rimborso;08/11/2022;13/12/2035;n/d; EUR;550.000.000,00
 IT0005402117   ; BTP 15;18/02/2020;01/03/2036;1,450; EUR;14.400.000.000,00
 XS0247541971   ; EMTN;28/03/2006;28/03/2036;4,425; EUR;192.000.000,00
NGEU apr.2022/mag.2052;4^  rimborso;13/04/2022;20/05/2036;n/d;EUR;550.000.000,00
SURE;6^ tranche;16/03/2021;04/06/2036;0,200; EUR;3.867.000.000,00
 IT0005177909   ; BTP 20;01/03/2016;01/09/2036;2,250; EUR;16.178.000.000,00
NGEU ago.2021/set.2051  ;5^ rimborso;01/08/2021;10/09/2036;n/d; EUR;796.911.767,60
NGEU nov.2022/dic.2052;4^ rimborso;08/11/2022;12/12/2036;n/d; EUR;550.000.000,00
 IT0003934657   ; BTP 30;01/08/2005;01/02/2037;4,000; EUR;27.890.758.000,00
 IT0005433195; BTP 15;12/01/2021;01/03/2037;0,950; EUR;16.500.000.000,00
IT0005442089;BTP Futura 16;27/04/2021;27/04/2037;\"0,750  \"\"step-up\"\"\"; EUR;5.477.083.000,00
NGEU apr.2022/mag.2052;5^  rimborso;13/04/2022;19/05/2037;n/d;EUR;550.000.000,00
NGEU ago.2021/set.2051  ;6^ rimborso;13/08/2021;10/09/2037;n/d; EUR;796.911.767,60
NGEU nov.2022/dic.2052;5^ rimborso;08/11/2022;11/12/2037;n/d; EUR;550.000.000,00
