Ministero dell'Economia e delle Finanze;;;;;;;;;;;;
Debito Pubblico;;;;;;;;;;;;
Scadenze  suddivise per anno;;;;;;;;;;;;
(Dati aggiornati al 31.12.2021);;;;;;;;;;;;
Codice ISIN;Tipo titolo;Emissione;Scadenza;Cedola/Spread;Valuta;Circolante Euro;;;;;;
 XS1180157544   ; EMTN;02/02/2015;02/02/2028;1,862; EUR;1,000,000,000.00;;;;;;
 IT0005433690; BTP 7;18/01/2021;15/03/2028;0,25; EUR;19,600,378,000.00;;;;;;
 XS1227831382   ; EMTN;06/05/2015;06/05/2028;1,666; EUR;500,000,000.00;;;;;;
 IT0005246134   ; BTP€i 10;15/11/2016;15/05/2028; 1,300  Cedola reale; EUR;17,238,362,292.55;;;;;;
Prestito SURE ;5^ tranche;02/02/2021;02/06/2028;0; EUR;4,450,000,000.00;;;;;;
IT0005445306; BTP 7a;17/05/2021;15/07/2028;0,5; EUR;15,794,896,000.00;;;;;;
 XS0089572316   ; EMTN;04/08/1998;04/08/2028;6; EUR;2,234,043,931.50;;;;;;
 IT0004889033   ; BTP 15;22/01/2013;01/09/2028;4,75; EUR;23,914,154,000.00;;;;;;
 XS1121804279   ; EMTN;15/10/2014;15/09/2028; 1,510  Cedola reale; EUR;1,091,320,000.00;;;;;;
IT0005425753; BTP Futura 8;17/11/2020;17/11/2028;\"0,35  \"\"step-up\"\"\"; EUR;5,711,308,000.00;;;;;;
 IT0005340929   ; BTP 10;01/08/2018;01/12/2028;2,8; EUR;20,353,192,000.00;;;;;;
IT0005467482; BTP 7;15/11/2021;15/02/2029;0,45; EUR;3,750,000,000.00;;;;;;
 XS1199014306   ; EMTN;05/03/2015;05/03/2029;1,771; EUR;500,000,000.00;;;;;;
 IT0005451361; CCTeu 7;15/04/2021;15/04/2029;0,65; EUR;14,278,348,000.00;;;;;;
 XS1413812881   ; EMTN;18/05/2016;18/05/2029;1,913; EUR;800,000,000.00;;;;;;
 XS0098449456   ; EMTN;28/06/1999;28/06/2029; Variabile; EUR;905,000,000.00;;;;;;
 IT0005365165   ; BTP 10;01/02/2019;01/08/2029;3; EUR;20,766,500,000.00;;;;;;
 US465410BY32   ; GLOBAL;17/10/2019;17/10/2029;2,875; USD;1,820,830,298.62;;;;;;
 IT0001278511  ; BTP 30;01/11/1998;01/11/2029;5,25; EUR;29,819,999,208.67;;;;;;
 IT0005024234   ; BTP 15;01/03/2014;01/03/1930;3,5; EUR;25,156,449,000.00;;;;;;
 IT0005383309   ; BTP 10;01/09/2019;01/04/1930;1,35; EUR;22,758,941,000.00;;;;;;
 IT0005387052   ; BTP€i 10;15/05/2019;15/05/1930; 0,400  Cedola reale; EUR;14,533,204,175.00;;;;;;
 IT0005415283  ; BTP Futura 10;14/07/2020;14/07/1930;\"1,150  \"\"step-up\"\"\"; EUR;6,132,260,000.00;;;;;;
 IT0005403396   ; BTP 10;01/03/2020;01/08/1930;0,95; EUR;18,895,169,000.00;;;;;;
Prestito SURE ;1^ tranche;27/10/2020;04/10/1930;0; EUR;5,500,000,000.00;;;;;;
 IT0005413171   ; BTP 10;01/06/2020;01/12/1930;1,65; EUR;23,107,903,000.00;;;;;;
 XS0124812503   ; EMTN;20/02/2001;20/02/1931; - ; EUR;150,000,000.00;;;;;;
 IT0005422891; BTP 10;01/10/2020;01/04/1931;0,9; EUR;22,426,073,000.00;;;;;;
 IT0001444378   ; BTP 30;01/11/1999;01/05/1931;6; EUR;29,762,750,000.00;;;;;;
 XS1435990863   ; EMTN;22/06/2016;22/06/1931;1,901; EUR;700,000,000.00;;;;;;
 IT0005436693; BTP 10;01/02/2021;01/08/1931;0,6; EUR;20,300,000,000.00;;;;;;
IT0005449969; BTP 10;01/06/2021;01/12/1931;0,95; EUR;18,750,000,000.00;;;;;;
 XS1180459395   ; EMTN;02/02/2015;02/02/1932;2,192; EUR;500,000,000.00;;;;;;
 IT0005094088   ; BTP 15;01/03/2015;01/03/1932;1,65; EUR;24,486,727,000.00;;;;;;
IT0005466013; BTP 10;01/11/2021;01/06/1932;0,95; EUR;6,000,000,000.00;;;;;;
 XS1199008670   ; EMTN;05/03/2015;05/09/1932;2; EUR;500,000,000.00;;;;;;
NGEU ago.2021/set.2051 ;(a) Rimborso 1^ rata ;01/08/2021;10/09/1932;n/d; EUR;796,911,767.60;;;;;;
 IT0005138828   ; BTP€i 15;15/09/2015;15/09/1932; 1,250  Cedola reale; EUR;15,867,347,202.16;;;;;;
 IT0003256820   ; BTP 30;01/02/2002;01/02/1933;5,75; EUR;20,761,000,000.00;;;;;;
 US465410BG26   ; GLOBAL;27/02/2003;15/06/1933;5,375; USD;1,815,895,292.24;;;;;;
 IT0005240350   ; BTP 15;01/09/2016;01/09/1933;2,45; EUR;18,808,228,000.00;;;;;;
NGEU ago.2021/set.2051 ;(a) Rimborso 2^ rata ;01/08/2021;09/09/1933;n/d; EUR;796,911,767.60;;;;;;
 IT0005466344 ; BTP Futura 12;16/11/2021;16/11/1933;\"0,750  \"\"step-up\"\"\"; EUR;3,268,240,000.00;;;;;;
 IT0003685093   ; Ispa Obbl;06/07/2004;31/07/1934;5,2; EUR;2,200,000,000.00;;;;;;
 IT0003535157   ; BTP 30;01/08/2003;01/08/1934;5; EUR;25,110,921,000.00;;;;;;
NGEU ago.2021/set.2051 ;(a) Rimborso 3^ rata ;01/08/2021;08/09/1934;n/d; EUR;796,911,767.60;;;;;;
 XS0197336968   ; EMTN;29/07/2004;07/12/1934;5,25; GBP;297,569,452.71;;;;;;
 IT0005358806   ; BTP 15;01/09/2018;01/03/1935;3,35; EUR;14,800,000,000.00;;;;;;
 XS0218274107   ; EMTN;31/05/2005;31/05/1935; Variabile; EUR;300,000,000.00;;;;;;
 IT0003874523   ; Ispa Obbl;30/06/2005;31/07/1935; Variabile; EUR;300,000,000.00;;;;;;
 IT0003877310   ; Ispa Obbl;30/06/2005;31/07/1935; Variabile; EUR;100,000,000.00;;;;;;
NGEU ago.2021/set.2051 ;(a) Rimborso 4^ rata ;01/08/2021;10/09/1935;n/d; EUR;796,911,767.60;;;;;;
 IT0003745541   ; BTP€i 30;15/09/2004;15/09/1935; 2,350  Cedola reale; EUR;17,000,974,090.80;;;;;;
 IT0005402117   ; BTP 15;18/02/2020;01/03/1936;1,45; EUR;14,400,000,000.00;;;;;;
 XS0247541971   ; EMTN;28/03/2006;28/03/1936;4,425; EUR;192,000,000.00;;;;;;
