Series ID,DGFACHM,DGFACH12,DGFACOHM,DGFACOH12,DGFACIHM,DGFACIH12,DGFACOPM,DGFACOP12,DGFACBNFM,DGFACBNF12,DGFACBM,DGFACB12,DGFACBNWM,DGFACBNW12,DGFACNFM,DGFACNF12,DGFACM,DGFAC12,DGFACNWM,DGFACNW12,DGFAM3M,DGFAM312,DGFABMM,DGFABM12
30/06/1984,0.8,12.3,,,,,0.2,18.9,,,3.9,13.0,,,,,2.4,13.7,,,0.9,12.5,1.4,12.6
31/07/1984,-0.4,11.0,,,,,1.2,18.8,,,1.9,15.3,,,,,1.1,14.7,,,1.2,12.8,0.1,11.9
31/08/1984,2.2,12.5,,,,,1.5,19.4,,,3.1,18.6,,,,,2.6,17.0,,,1.4,13.2,1.0,11.9
30/09/1984,1.5,13.0,,,,,1.5,19.4,,,2.2,21.1,,,,,2.0,18.7,,,1.0,13.2,0.9,12.0
31/10/1984,1.4,13.6,,,,,1.9,20.3,,,2.3,24.1,,,,,2.0,20.7,,,1.2,13.5,1.0,13.1
30/11/1984,1.4,14.3,,,,,1.1,19.4,,,1.9,24.3,,,,,1.7,20.9,,,1.5,14.0,1.5,13.6
31/12/1984,1.5,14.9,,,,,1.9,19.8,,,1.5,23.7,,,,,1.5,20.8,,,1.3,14.0,1.1,12.7
31/01/1985,1.5,15.5,,,,,1.4,19.5,,,1.6,24.8,,,,,1.6,21.6,,,1.7,14.6,1.1,12.9
28/02/1985,1.4,15.9,,,,,1.3,19.2,,,1.5,26.1,,,,,1.4,22.3,,,1.3,14.5,1.0,12.9
31/03/1985,1.3,16.2,,,,,1.5,19.5,,,1.7,25.7,,,,,1.6,22.2,,,1.2,15.0,0.8,12.2
30/04/1985,1.3,16.4,,,,,1.7,18.5,,,1.5,25.4,,,,,1.4,22.0,,,1.2,15.7,1.3,12.2
31/05/1985,1.6,16.6,,,,,2.0,18.7,,,1.9,27.9,,,,,1.9,23.5,,,1.4,16.5,1.3,13.3
30/06/1985,1.2,17.1,,,,,2.2,21.0,,,2.2,25.9,,,,,1.8,22.8,,,0.2,15.6,1.0,12.8
31/07/1985,1.5,19.2,,,,,2.5,22.5,,,1.9,25.9,,,,,1.9,23.6,,,2.4,17.1,1.7,14.6
31/08/1985,1.5,18.4,,,,,0.7,21.5,,,2.0,24.6,,,,,1.7,22.5,,,1.1,16.7,1.5,15.1
30/09/1985,1.1,18.1,,,,,1.4,21.5,,,2.5,24.9,,,,,2.0,22.6,,,1.3,16.9,1.8,16.2
31/10/1985,1.3,18.0,,,,,1.6,21.1,,,2.1,24.7,,,,,1.8,22.4,,,0.6,16.2,1.2,16.4
30/11/1985,1.4,18.0,,,,,0.9,21.0,,,2.3,25.2,,,,,1.9,22.7,,,0.8,15.3,1.0,15.8
31/12/1985,1.0,17.4,,,,,0.8,19.7,,,1.5,25.2,,,,,1.2,22.4,,,0.3,14.2,0.6,15.3
31/01/1986,0.8,16.6,,,,,0.4,18.5,,,1.3,24.9,,,,,1.1,21.8,,,0.3,12.5,0.3,14.3
28/02/1986,1.0,16.2,,,,,1.2,18.4,,,2.5,26.2,,,,,2.0,22.4,,,0.2,11.3,1.0,14.3
31/03/1986,0.7,15.5,,,,,0.7,17.4,,,1.6,26.0,,,,,1.3,22.0,,,1.5,11.7,1.9,15.6
30/04/1986,0.4,14.4,,,,,1.1,16.7,,,2.5,27.2,,,,,1.7,22.4,,,1.4,12.0,2.0,16.4
31/05/1986,0.7,13.5,,,,,-0.1,14.4,,,1.7,26.9,,,,,1.3,21.6,,,0.9,11.5,1.1,16.2
30/06/1986,0.7,12.9,,,,,0.4,12.3,,,1.6,26.2,,,,,1.1,20.7,,,0.6,12.0,1.1,16.3
31/07/1986,0.8,12.2,,,,,0.3,10.0,,,4.2,29.1,,,,,2.9,21.9,,,0.6,9.9,1.0,15.5
31/08/1986,0.8,11.4,,,,,0.5,9.8,,,2.7,30.0,,,,,2.0,22.3,,,0.7,9.5,0.8,14.8
30/09/1986,0.9,11.1,,,,,0.6,8.8,,,1.1,28.2,,,,,1.0,21.1,,,0.3,8.5,0.7,13.5
31/10/1986,0.8,10.6,,,,,0.3,7.3,,,1.7,27.8,,,,,1.3,20.6,,,0.8,8.8,1.4,13.7
30/11/1986,0.8,9.9,,,,,0.6,7.0,,,0.8,25.9,,,,,0.8,19.2,,,0.1,8.0,0.6,13.3
31/12/1986,0.8,9.7,,,,,0.4,6.5,,,1.7,26.1,,,,,1.3,19.3,,,1.1,8.8,1.1,13.9
31/01/1987,1.1,9.9,,,,,0.7,6.8,,,1.5,26.3,,,,,1.3,19.5,,,1.3,10.0,1.2,15.0
28/02/1987,0.9,9.8,,,,,0.9,6.5,,,1.6,25.2,,,,,1.4,18.8,,,0.9,10.7,1.1,15.1
31/03/1987,0.8,9.8,,,,,0.2,6.0,,,1.2,24.7,,,,,1.0,18.5,,,0.1,9.1,0.9,13.9
30/04/1987,0.8,10.2,,,,,0.1,5.0,,,3.0,25.4,,,,,2.2,19.0,,,0.5,8.1,0.8,12.5
31/05/1987,1.5,11.1,,,,,-0.2,4.9,,,1.9,25.7,,,,,1.6,19.4,,,1.7,9.0,1.7,13.2
30/06/1987,1.2,11.6,,,,,0.2,4.8,,,0.2,23.9,,,,,0.3,18.5,,,1.2,9.6,1.4,13.5
