A1 RESERVE BANK OF AUSTRALIA - BALANCE SHEET
Title,Notes on issue,Exchange settlement balances,Deposits of overseas institutions,Australian Government Deposits,State Governments Deposits,Other Deposits,Other liabilities,Other reserves and current year earnings,Capital and Reserve Bank Reserve Fund,Total liabilities and equity,Gold and foreign exchange,Australian dollar investments,Other assets (including clearing items),Total assets
08-Aug-2018,76238,28445,3854,31047,1144,1,3408,11308,14159,169604,71853,95893,1858,169604
15-Aug-2018,76312,28006,3859,28573,348,1,2424,12595,14159,166277,70883,93243,2151,166277
22-Aug-2018,76363,27581,3891,37771,238,0,4373,11840,14159,176216,78827,95460,1929,176216
29-Aug-2018,76439,27625,4010,38234,271,2,2860,12243,14159,175843,77769,95875,2199,175843
05-Sep-2018,76679,28535,3859,38049,251,0,3927,13097,14159,178556,78351,98059,2146,178556
12-Sep-2018,76898,28252,3830,34630,512,0,3459,13825,14159,175565,78056,95336,2173,175565
19-Sep-2018,77201,27886,3779,33653,305,2,3038,12799,14159,172822,75313,95575,1934,172822
26-Sep-2018,77422,28189,3836,39326,364,0,2816,12729,14159,178841,79833,96611,2397,178841
03-Oct-2018,77827,29041,3719,36865,296,0,4638,13265,14159,179810,79187,98701,1922,179810
10-Oct-2018,78383,28177,3699,28225,603,1,4766,13379,14159,171392,76020,93238,2134,171392
17-Oct-2018,78985,28022,3819,24979,359,0,4597,13511,14159,168431,73685,92836,1910,168431
24-Oct-2018,79130,27310,3903,19757,323,1,3293,13655,14159,161531,70324,89013,2194,161531
31-Oct-2018,79478,27877,3800,24558,294,0,2756,13514,14159,166436,73238,91258,1940,166436
07-Nov-2018,79872,28204,3587,20011,1932,1,4112,12413,14159,164291,70309,91793,2189,164291
14-Nov-2018,80239,28373,3620,20023,560,1,5443,12463,14159,164881,72594,90334,1953,164881
21-Nov-2018,80402,23175,3704,23804,317,0,3935,12540,14159,162036,67853,91930,2253,162036
28-Nov-2018,80557,28641,3608,27309,236,0,3031,12425,14159,169966,70349,97644,1973,169966
05-Dec-2018,80663,29038,3720,34703,254,1,2946,12298,14159,177782,76963,98758,2061,177782
12-Dec-2018,80950,29139,3108,28303,655,1,2446,12852,14159,171613,74028,95736,1849,171613
19-Dec-2018,81062,29736,3211,26833,468,1,1361,13225,14159,170056,72861,95083,2112,170056
26-Dec-2018,81105,29515,3246,30711,296,2,5577,14368,14159,178979,82300,94567,2112,178979
02-Jan-2019,81144,29164,3286,31173,476,0,8683,15064,14159,183149,86913,94079,2157,183149
09-Jan-2019,81154,29293,3292,18204,641,0,6785,14089,14159,167617,73955,91839,1823,167617
16-Jan-2019,80914,29263,3599,14529,342,1,7559,13821,14159,164187,72029,90091,2067,164187
23-Jan-2019,80676,28974,3351,21867,238,0,6664,14200,14159,170129,76716,91568,1845,170129
30-Jan-2019,80607,29208,3545,19825,344,0,4344,14053,14159,166085,72713,90934,2438,166085
06-Feb-2019,80582,29713,3515,20091,254,1,4526,14412,14159,167253,71465,93896,1892,167253
13-Feb-2019,80373,29156,3351,16055,497,0,4194,14476,14159,162261,66204,93536,2521,162261
20-Feb-2019,80180,27629,2518,20711,318,0,2287,14414,14159,162216,65806,94556,1854,162216
27-Feb-2019,80000,27104,2378,29249,407,0,4062,14414,14159,171773,73616,95872,2285,171773
06-Mar-2019,79885,29156,2545,35321,333,0,4515,15389,14159,181303,83788,95545,1970,181303
13-Mar-2019,79831,29098,2728,32057,540,1,1521,15314,14159,175249,78960,94013,2276,175249
20-Mar-2019,79774,28065,2506,21615,363,0,4939,15308,14159,166729,76135,88743,1851,166729
27-Mar-2019,79707,29179,2343,26463,460,0,1725,15092,14159,169128,79193,87862,2073,169128
03-Apr-2019,79699,28846,2318,25872,377,0,4922,14928,14159,171121,83177,86133,1811,171121
10-Apr-2019,80031,28917,2321,19005,700,1,2391,14718,14159,162243,77321,82740,2182,162243
17-Apr-2019,80140,28316,2392,17067,472,1,6473,14193,14159,163213,82043,79303,1867,163213
24-Apr-2019,80139,27328,2581,21222,461,1,2789,15434,14159,164114,82079,79949,2086,164114
01-May-2019,80190,28075,2590,26677,433,3,3869,15366,14159,171362,85667,83778,1917,171362
08-May-2019,80078,28924,2751,22777,1200,1,3247,15665,14159,168802,82673,84073,2056,168802
15-May-2019,79870,27894,2445,23639,503,1,6175,16441,14159,171127,86033,83146,1948,171127
22-May-2019,79673,28023,2382,30881,409,0,6203,16738,14159,178468,90370,85989,2109,178468
29-May-2019,79686,28045,3247,33401,373,0,4022,16344,14159,179277,88357,89027,1893,179277
05-Jun-2019,79561,28945,2488,40217,293,1,6014,16206,14159,187884,90926,94795,2163,187884
12-Jun-2019,79585,28922,2489,35878,704,1,4511,16753,14159,183002,84261,96699,2042,183002
19-Jun-2019,79913,28843,2428,35118,368,2,2187,17299,14159,180317,81830,96466,2021,180317
26-Jun-2019,80042,29244,2252,39067,310,3,3350,16984,14159,185411,86158,97381,1872,185411
03-Jul-2019,80123,29592,2317,32841,226,1,2610,16513,14159,178382,76425,99772,2185,178382
10-Jul-2019,80041,29474,2145,27738,1029,1,2703,16986,14159,174276,72412,99976,1888,174276
17-Jul-2019,80090,29266,2021,22390,325,1,4274,16304,14159,168830,68148,98536,2146,168830
24-Jul-2019,80236,28843,2176,23226,552,0,6025,16543,14159,171760,70914,98935,1911,171760
31-Jul-2019,80486,28644,2364,25567,281,0,3307,17270,14159,172078,72905,96930,2243,172078
07-Aug-2019,80678,29270,2126,20388,1722,0,3947,19307,14159,171597,75488,94254,1855,171597
14-Aug-2019,80641,29094,2191,18823,501,0,3399,18644,14159,167452,72076,93231,2145,167452
21-Aug-2019,80679,23975,2137,26724,346,0,5054,18611,14159,171685,75444,94219,2022,171685
28-Aug-2019,80651,28897,2049,26652,324,0,2042,19154,14159,173928,77308,94432,2188,173928
04-Sep-2019,80660,29343,1932,26996,417,0,3183,18689,14159,175379,77535,96047,1797,175379
11-Sep-2019,80605,29242,1989,22421,606,0,2373,17743,14159,169138,71334,95728,2076,169138
18-Sep-2019,80647,28809,2083,24302,393,2,2265,16365,14159,169025,71758,95430,1837,169025
25-Sep-2019,80898,29132,1987,31947,386,2,2776,17046,14159,178333,77366,98833,2134,178333
02-Oct-2019,81108,30100,2235,30942,378,1,6122,17454,14159,182499,82356,98338,1805,182499
09-Oct-2019,81235,29459,1963,25562,683,1,4295,17392,14159,174749,72763,99874,2112,174749
16-Oct-2019,81304,28974,2011,25952,429,1,3811,17539,14159,174180,71163,101064,1953,174180
23-Oct-2019,81591,28777,2659,15734,468,0,4571,16767,14159,164726,72674,89729,2323,164726
30-Oct-2019,81898,28811,2703,19952,432,0,2002,16545,14159,166502,74445,90050,2007,166502
06-Nov-2019,81998,29089,2393,20507,486,1,3220,16283,14159,168136,76504,89529,2103,168136
13-Nov-2019,82160,28898,2270,17294,794,1,3820,16578,14159,165974,75764,88391,1819,165974
20-Nov-2019,82231,27958,1998,19057,550,1,2524,16972,14159,165450,76060,87272,2118,165450
27-Nov-2019,82320,28459,2466,21390,518,1,6553,17179,14159,173045,83346,87872,1827,173045
04-Dec-2019,82538,29047,2292,25171,495,0,4830,16915,14159,175447,86834,86439,2174,175447
11-Dec-2019,83026,29289,2235,22805,812,1,4013,17017,14159,173357,84937,86594,1826,173357
18-Dec-2019,83712,28587,2122,22192,775,2,5475,16921,14159,173945,85338,86455,2152,173945
25-Dec-2019,84000,29731,1897,25941,423,1,3712,16256,14159,176120,86045,87714,2361,176120
01-Jan-2020,83956,29911,1993,27424,415,0,3573,15838,14159,177269,86285,88831,2153,177269
08-Jan-2020,83901,29730,2037,15470,1253,0,4098,17289,14159,167937,77083,88937,1917,167937
15-Jan-2020,83520,28924,1986,11892,442,1,3616,16923,14159,161463,72511,86848,2104,161463
22-Jan-2020,83381,28821,2043,19501,417,0,5246,17454,14159,171022,81827,87301,1894,171022
29-Jan-2020,83400,28903,2519,17753,471,0,5174,18041,14159,170420,81850,86442,2128,170420
05-Feb-2020,83335,29277,2050,16014,470,0,4970,18290,14159,168565,82034,84714,1817,168565
12-Feb-2020,83354,29053,2336,15036,657,0,4049,18322,14159,166966,78269,86545,2152,166966
19-Feb-2020,83162,28409,2153,17715,459,0,5013,18658,14159,169728,80682,87128,1918,169728
26-Feb-2020,83149,28823,2820,25885,493,0,5202,19790,14159,180321,87127,90975,2219,180321
04-Mar-2020,83088,31659,2029,31755,419,1,6904,20435,14159,190449,99626,88690,2133,190449
11-Mar-2020,83070,32387,2232,27868,686,1,6759,21627,14159,188789,95540,89677,3572,188789
18-Mar-2020,83022,45862,1944,30155,482,1,21781,25398,14159,222804,102487,117331,2986,222804
25-Mar-2020,83912,86598,2383,34775,478,2,12985,25509,14159,260801,100536,157636,2629,260801
01-Apr-2020,85360,102549,2057,34488,454,0,13608,25005,14159,277680,99679,176001,2000,277680
08-Apr-2020,85524,116590,3658,26904,1505,0,7949,24575,14159,280864,94417,184278,2169,280864
15-Apr-2020,85481,114439,4962,11627,653,0,8182,22513,14159,262016,86870,173166,1980,262016
22-Apr-2020,85546,94209,4359,32771,771,0,5224,22968,14159,260007,80526,177178,2303,260007
29-Apr-2020,85674,93603,4500,33309,704,0,4686,20784,14159,257419,72991,182246,2182,257419
06-May-2020,86173,91158,4219,40847,676,1,5577,21758,14159,264568,74847,187486,2235,264568
13-May-2020,86795,96789,4467,36071,1054,0,4390,21521,14159,265246,71294,192042,1910,265246
20-May-2020,87302,95774,4383,40459,718,0,2023,20944,14159,265762,68475,195089,2198,265762
27-May-2020,87892,76981,4122,64371,594,0,4508,20036,14159,272663,69707,201094,1862,272663
03-Jun-2020,88590,74909,4195,71222,555,0,3176,17596,14159,274402,65969,206337,2096,274402
10-Jun-2020,88813,77112,3828,66713,1127,0,3884,17434,14159,273070,66198,204883,1989,273070
17-Jun-2020,89213,75410,3755,67612,843,3,1943,18493,14159,271431,65575,203605,2251,271431
24-Jun-2020,89631,65392,4067,80699,620,0,3667,18136,14159,276371,66939,207533,1899,276371
01-Jul-2020,90162,75497,3728,75455,1499,0,2062,18415,14159,280977,64523,214291,2163,280977
08-Jul-2020,90433,84164,2827,66105,1560,0,1875,18426,14159,279549,63389,214235,1925,279549
15-Jul-2020,91028,92952,2449,60915,1147,0,1909,17959,14159,282518,63012,217288,2218,282518
22-Jul-2020,92325,78933,2186,65552,672,0,3019,17017,14159,273863,63173,208810,1880,273863
29-Jul-2020,93708,69709,2734,72773,655,0,2019,17610,14159,273367,62812,208240,2315,273367
05-Aug-2020,94319,57977,2660,84345,598,0,3710,18091,14159,275859,64310,209621,1928,275859
12-Aug-2020,94873,66593,1521,77262,770,0,4795,17971,14159,277944,63596,212179,2169,277944
19-Aug-2020,94894,72519,1632,79316,566,0,4385,17471,14159,284942,64747,218272,1923,284942
26-Aug-2020,94815,74162,1708,77504,471,0,2227,17483,14159,282529,62829,217320,2380,282529
02-Sep-2020,94809,65015,1646,99593,533,0,3689,16456,14159,295900,63184,230894,1822,295900
09-Sep-2020,95013,73896,1961,94294,732,3,4174,14810,14159,299042,62277,234682,2083,299042
16-Sep-2020,94996,77850,2040,90397,502,0,2332,14401,14159,296677,61904,232903,1870,296677
23-Sep-2020,95113,71237,1615,99515,438,0,2192,15577,14159,299846,63062,234611,2173,299846
30-Sep-2020,95323,66005,1666,108533,476,0,2035,15897,14159,304094,63060,239153,1881,304094
07-Oct-2020,95440,72879,1624,98395,2311,0,2561,15928,14159,303297,63398,237643,2256,303297
14-Oct-2020,95746,71563,1657,97766,830,0,1835,15767,14159,299323,62406,234972,1945,299323
21-Oct-2020,96104,62343,1703,101007,532,0,2206,16898,14159,294952,63767,228962,2223,294952
28-Oct-2020,96405,67708,1660,95298,532,0,3883,16146,14159,295791,64720,229012,2059,295791
04-Nov-2020,96477,63841,1570,98015,481,0,4027,16569,14159,295139,65300,227707,2132,295139
11-Nov-2020,96612,71991,1780,94504,814,15,5166,14627,14159,299668,63672,234037,1959,299668
18-Nov-2020,96708,88043,3126,84958,520,2,4688,15119,14159,307323,63492,241579,2252,307323
25-Nov-2020,96731,81153,4171,84429,486,0,5159,14287,14159,300575,63195,235373,2007,300575
02-Dec-2020,96918,86106,5030,85406,499,0,4366,14282,14159,306766,62460,242109,2197,306766
09-Dec-2020,97411,91953,5327,84512,921,0,5590,13841,14159,313714,63051,248817,1846,313714
16-Dec-2020,98068,110763,5335,72739,560,1,4379,13136,14159,319140,60915,255988,2237,319140
23-Dec-2020,98562,111652,5231,75045,549,0,6496,13375,14159,325069,62065,260857,2147,325069
30-Dec-2020,98562,111943,5522,73929,503,0,4965,12627,14159,322210,59778,260306,2126,322210
06-Jan-2021,98548,113095,7865,73877,417,0,5442,11949,14159,325352,61029,262449,1874,325352
13-Jan-2021,98512,136619,5797,52915,790,0,4411,11460,14159,324663,59928,262576,2159,324663
20-Jan-2021,98325,143199,4545,52048,661,0,5684,11832,14159,330453,61378,267035,2040,330453
27-Jan-2021,98162,137067,5870,59817,801,0,6585,11744,14159,334205,59978,272001,2226,334205
03-Feb-2021,97960,159273,5371,49146,474,0,5128,12232,14159,343743,61142,280729,1872,343743
10-Feb-2021,97687,165823,7147,46500,643,0,3640,11237,14159,346836,58885,285706,2245,346836
17-Feb-2021,97563,166649,5406,49981,469,0,4525,9987,14159,348739,59429,287290,2020,348739
24-Feb-2021,97394,162515,5776,61809,352,0,3245,7707,14159,352957,58355,292364,2238,352957
03-Mar-2021,97203,182060,6394,63239,313,0,5105,7416,14159,375889,61606,312281,2002,375889
10-Mar-2021,97120,191842,7759,58904,484,0,4551,7899,14159,382718,62972,317450,2296,382718
17-Mar-2021,97030,192674,9422,59675,388,2,3503,7948,14159,384801,62016,320878,1907,384801
24-Mar-2021,96892,188029,9087,69767,286,0,4132,9448,14159,391800,63088,326529,2183,391800
31-Mar-2021,96774,209236,4461,60995,311,0,5414,8090,14159,399440,64613,332813,2014,399440
07-Apr-2021,96717,209590,7010,58006,1740,0,3881,8899,14159,400002,62937,334841,2224,400002
14-Apr-2021,96580,215831,10116,58859,510,2,3860,8896,14159,408813,62800,344154,1859,408813
21-Apr-2021,96366,200370,10271,77688,215,0,3173,9020,14159,411262,62536,346489,2237,411262
28-Apr-2021,96319,209145,8006,77112,219,0,3334,8782,14159,417076,62570,352525,1981,417076
05-May-2021,96180,207897,11771,80441,101,0,3644,8983,14159,423176,62498,358510,2168,423176
12-May-2021,96022,217460,12190,79563,475,1,3159,8721,14159,431750,62204,367640,1906,431750
19-May-2021,95832,241392,14956,57201,283,0,3167,8962,14159,435952,62395,371355,2202,435952
26-May-2021,95744,251397,14131,60765,318,0,4239,10089,14159,450842,63228,385679,1935,450842
02-Jun-2021,95650,254068,15527,68215,129,0,3996,10131,14159,461875,62257,397412,2206,461875
09-Jun-2021,95541,275265,14721,64061,606,0,3972,11032,14159,479357,63237,414254,1866,479357
16-Jun-2021,95456,286479,15642,65099,298,0,2566,11485,14159,491184,62102,426774,2308,491184
23-Jun-2021,95497,298667,12156,73750,133,0,5310,11007,14159,510679,64792,443979,1908,510679
30-Jun-2021,95485,341800,12193,61539,44,0,3136,11517,14159,539873,62731,474974,2168,539873
07-Jul-2021,95457,351504,14333,50391,1861,1,2800,12981,14159,543487,62778,478794,1915,543487
14-Jul-2021,95466,359091,16387,48129,915,0,1942,14266,14159,550355,63181,484885,2289,550355
21-Jul-2021,95608,354543,17681,55851,273,0,3682,17563,14159,559360,65939,491504,1917,559360
28-Jul-2021,95759,366492,18091,49554,134,0,2750,17230,14159,564169,64872,497038,2259,564169
04-Aug-2021,96140,369897,19333,46751,95,0,3808,17313,14159,567496,65681,499973,1842,567496
11-Aug-2021,96477,380320,18692,42178,393,0,2584,16211,14159,571014,64728,504098,2188,571014
18-Aug-2021,96774,384179,20757,43235,157,2,5074,18197,14159,582534,70052,510496,1986,582534
25-Aug-2021,96916,378233,19168,57424,87,0,3292,18054,14159,587333,69404,515666,2263,587333
01-Sep-2021,97424,369452,20064,53586,84,0,3964,16299,14159,575032,69312,503873,1847,575032
08-Sep-2021,97740,378026,19707,50299,1007,0,3887,15047,14159,579872,68819,508872,2181,579872
15-Sep-2021,98129,382619,19876,52859,223,1,4213,13276,15406,586602,69936,514751,1915,586602
22-Sep-2021,98578,380964,15768,63086,122,1,2826,13102,15406,589853,69164,518493,2196,589853
29-Sep-2021,98958,393815,18508,50920,104,2,4010,9718,15406,591441,69839,519596,2006,591441
06-Oct-2021,99368,391630,19753,50783,77,2,2471,8133,15406,587623,68440,516904,2279,587623
13-Oct-2021,99825,402105,17642,44754,501,0,4213,5744,15406,590190,69207,518966,2017,590190
20-Oct-2021,100153,398061,21010,48942,177,0,5195,2110,15406,591054,67926,520874,2254,591054
27-Oct-2021,100613,401816,24409,44340,81,0,6385,733,15406,593783,69133,522694,1956,593783
03-Nov-2021,100750,404344,22691,44369,87,0,7328,620,15406,595595,68120,525226,2249,595595
10-Nov-2021,101188,406873,25801,41155,502,0,8232,2681,15406,601838,69986,529917,1935,601838
17-Nov-2021,101336,406354,26227,43842,165,1,9036,881,15406,603248,69864,531169,2215,603248
24-Nov-2021,101454,404597,25749,51462,120,0,8223,1061,15406,608072,71079,535076,1917,608072
01-Dec-2021,101519,386511,29762,71642,92,0,7214,3604,15406,615750,70934,542584,2232,615750
08-Dec-2021,101938,392659,27598,71599,1190,1,8118,4715,15406,623224,72379,548933,1912,623224
15-Dec-2021,102204,411687,14258,70622,183,1,10109,5902,15406,630372,72186,555904,2282,630372
22-Dec-2021,102662,422392,14195,58167,131,1,14531,5991,15406,633476,74715,556836,1925,633476
29-Dec-2021,102700,428741,11600,56615,112,0,12201,6225,15406,633600,71442,559949,2209,633600
05-Jan-2022,102699,425751,11847,58025,110,0,15429,2645,15406,631912,73433,556515,1964,631912
12-Jan-2022,102659,434522,23750,37999,534,1,16854,2089,15406,633814,72955,558608,2251,633814
19-Jan-2022,102534,446020,19077,37702,122,2,15808,-611,15406,636060,73944,560162,1954,636060
26-Jan-2022,102457,442974,20256,40739,97,0,16126,167,15406,638222,73405,562562,2255,638222
02-Feb-2022,102425,443415,20537,40792,76,0,20392,872,15406,643915,74792,567206,1917,643915
09-Feb-2022,102281,444675,29102,38004,373,0,20237,-3024,15406,647054,75891,568950,2213,647054
16-Feb-2022,102112,452896,23614,35542,193,1,20259,-5373,15406,644650,74949,567804,1897,644650
23-Feb-2022,101960,442566,24432,45274,155,0,18702,-6499,15406,641996,73511,566167,2318,641996
02-Mar-2022,101815,442668,19195,52152,31,0,18786,-2603,15406,647450,74177,571342,1931,647450
09-Mar-2022,101835,437967,28344,48839,607,1,14956,-7788,15406,640167,72465,565470,2232,640167
16-Mar-2022,101890,442737,25475,46789,365,1,15509,-9715,15406,638457,72735,563787,1935,638457
23-Mar-2022,101949,421467,31110,60988,181,0,15702,-17053,15406,629750,70923,556588,2239,629750
30-Mar-2022,101997,436252,19863,55362,69,0,18214,-18815,15406,628348,72145,554324,1879,628348
06-Apr-2022,102302,436483,17945,57152,48,0,14215,-22393,15406,621158,68416,550561,2181,621158
13-Apr-2022,102615,441143,19958,48152,713,0,15895,-22187,15406,621695,70881,548891,1923,621695
20-Apr-2022,102547,431189,11765,68872,322,2,13003,-22660,15406,620446,69253,548828,2365,620446
27-Apr-2022,102499,426998,12846,68368,95,0,16560,-21722,15406,621050,72882,545961,2207,621050
04-May-2022,102559,428389,12005,67910,96,0,13853,-29405,15406,610813,71018,537454,2341,610813
11-May-2022,102499,436049,8405,63950,695,0,16514,-26294,15406,617224,73900,541170,2154,617224
18-May-2022,102475,438668,7672,63996,350,2,14546,-26065,15406,617050,72897,541819,2334,617050
25-May-2022,102466,424206,7223,78438,167,0,13848,-22808,15406,618946,73088,543799,2059,618946
01-Jun-2022,102396,414306,7406,88447,96,0,11171,-26148,15406,613080,70800,539812,2468,613080
08-Jun-2022,102426,415302,5760,87066,986,1,11611,-29172,15406,609386,70618,536747,2021,609386
15-Jun-2022,102307,421218,4817,83190,184,1,11254,-37591,15406,600786,72027,526403,2356,600786
22-Jun-2022,102290,409950,4453,96338,152,2,12299,-33808,15406,607082,74247,530849,1986,607082
29-Jun-2022,102345,419514,3861,90864,37,0,9684,-29065,15406,612646,73064,537298,2284,612646
06-Jul-2022,102282,420575,3722,89652,36,1,11439,-22922,15406,620191,74064,544186,1941,620191
13-Jul-2022,102167,437735,3604,73230,909,2,10468,-23075,15406,620446,72852,544846,2748,620446
20-Jul-2022,102117,457406,4114,50374,141,0,11757,-27455,15406,613860,72367,538923,2570,613860
27-Jul-2022,102221,456231,4363,52206,74,1,9114,-22689,15406,616927,70549,543354,3024,616927
03-Aug-2022,102338,458688,4257,50833,126,0,10326,-19342,15406,622632,72860,547122,2650,622632
10-Aug-2022,102318,465038,3811,45219,473,3,10680,-22645,15406,620303,73573,543805,2925,620303
17-Aug-2022,102307,469338,4147,41941,172,0,9875,-23542,15406,619644,72570,544452,2622,619644
24-Aug-2022,102317,451280,3758,59129,81,1,10166,-28277,15406,613861,72912,538015,2934,613861
31-Aug-2022,102414,448456,2664,61656,54,1,11463,-27775,15406,614339,74004,537655,2680,614339
07-Sep-2022,102362,447861,2847,60621,2282,1,10404,-27798,15406,613986,74764,536401,2821,613986
14-Sep-2022,102358,452194,3316,56748,589,0,12539,-27022,15406,616128,76098,537467,2563,616128
21-Sep-2022,102634,441269,3608,68825,236,0,13265,-27577,15406,617666,77588,537625,2453,617666
28-Sep-2022,102742,448702,3105,63553,155,1,15423,-32496,15406,616591,80874,533154,2563,616591
05-Oct-2022,102746,445527,3504,66010,103,0,15315,-24868,15406,623743,80327,540515,2901,623743
12-Oct-2022,102732,463700,3158,51214,527,1,14454,-27616,15406,623576,82858,537671,3047,623576
19-Oct-2022,102675,462385,2978,53417,98,3,13163,-28585,15406,621540,82234,536328,2978,621540
26-Oct-2022,102715,457496,2924,57000,106,0,11316,-13500,40,618097,79787,535594,2716,618097
02-Nov-2022,102696,459067,3199,56902,126,1,10966,-12137,40,620860,79696,538042,3122,620860
09-Nov-2022,102823,461975,3210,53129,464,1,14239,-12971,40,622910,82892,537270,2748,622910
16-Nov-2022,102777,454878,3572,62310,97,0,13257,-11936,40,624995,81048,540946,3001,624995
23-Nov-2022,102850,461747,4437,48497,86,0,15810,-10041,40,623426,82110,538703,2613,623426
30-Nov-2022,102991,453229,4378,59208,41,0,13437,-9115,40,624209,82104,539219,2886,624209
07-Dec-2022,103181,453314,3529,59139,1965,1,13508,-6654,40,628023,82333,543138,2552,628023
14-Dec-2022,103423,457925,2433,59538,407,2,12764,-7902,40,628630,80454,545162,3014,628630
21-Dec-2022,103885,456061,2253,60367,102,0,17632,-10200,40,630140,85576,541933,2631,630140
28-Dec-2022,103995,457268,2945,59651,46,0,16357,-15364,40,624938,84424,537695,2819,624938
04-Jan-2023,103981,453498,2009,62612,46,0,18461,-14264,40,626383,87014,536759,2610,626383
11-Jan-2023,103913,471077,1860,42694,634,1,15407,-12561,40,623065,82975,537303,2787,623065
18-Jan-2023,103844,470514,2557,42136,372,2,17320,-10143,40,626642,85409,538755,2478,626642
25-Jan-2023,103612,462362,1872,53420,179,0,13599,-10389,40,624695,81570,540419,2706,624695
01-Feb-2023,103598,469685,2600,43782,149,0,16863,-11117,40,625600,85120,537865,2615,625600
08-Feb-2023,103394,469196,3895,40688,831,0,14810,-11591,40,621263,82315,536058,2890,621263
15-Feb-2023,103273,473090,2038,37373,200,0,17414,-13884,40,619544,83953,532987,2604,619544
22-Feb-2023,103033,457872,3457,52158,97,0,16957,-15069,40,618545,84197,531451,2897,618545
01-Mar-2023,102918,446045,2596,65576,178,0,15305,-13427,40,619231,85413,530927,2891,619231
08-Mar-2023,102713,449244,1982,63363,859,0,17281,-11620,40,623862,88332,532644,2886,623862
15-Mar-2023,102571,451941,1890,62640,250,1,14017,-6992,40,626358,85904,537970,2484,626358
22-Mar-2023,102352,441185,2809,75316,136,0,13986,-5686,40,630138,88529,538768,2841,630138
29-Mar-2023,102166,448330,3127,71704,241,1,16705,-4447,40,637867,91403,543891,2573,637867
05-Apr-2023,102186,445159,2176,77557,150,1,13413,-3876,40,636806,87724,546087,2995,636806
12-Apr-2023,102192,446200,1937,75922,585,0,13474,-3410,40,636940,88903,545472,2565,636940
19-Apr-2023,102176,442572,1448,79642,221,3,15189,-8043,40,633248,88834,541394,3020,633248
26-Apr-2023,102216,433731,2685,66817,300,0,16424,-3801,40,618412,90133,525472,2807,618412
03-May-2023,102093,434497,2356,68590,168,0,12788,-6343,40,614189,88679,522371,3139,614189
10-May-2023,101989,434152,1728,67394,496,1,12492,-7359,40,610933,88349,519937,2647,610933
17-May-2023,101896,432619,1718,69101,70,0,18144,-6691,40,616897,94126,519777,2994,616897
24-May-2023,101747,420709,1626,80110,21,0,18220,-9510,40,612963,94177,516229,2557,612963
31-May-2023,101662,412162,1502,88489,17,0,20010,-8797,40,615085,96343,515860,2882,615085
07-Jun-2023,101589,401822,1410,96808,2025,1,19704,-14223,40,609176,95823,510769,2584,609176
14-Jun-2023,101566,404643,1498,91879,344,2,17881,-17526,40,600327,92772,504651,2904,600327
21-Jun-2023,101466,394024,1656,101401,69,2,16042,-17909,40,596791,89940,504295,2556,596791
28-Jun-2023,101386,405124,1394,91818,10,0,19170,-15500,40,603442,93676,506865,2901,603442
05-Jul-2023,101237,413187,1415,84908,63,1,19063,-17926,40,601988,94517,505048,2423,601988
12-Jul-2023,101084,423540,1111,74615,988,1,19442,-19044,40,601777,96041,502750,2986,601777
19-Jul-2023,100881,418527,1298,71898,83,2,19413,-15915,40,596227,95168,498471,2588,596227
26-Jul-2023,100795,411395,1570,77417,18,2,19102,-17446,40,592893,94574,495270,3049,592893
02-Aug-2023,100684,411746,1613,75746,17,0,16272,-15273,40,590845,93758,494396,2691,590845
09-Aug-2023,100575,414517,1488,71457,333,1,19043,-14780,40,592674,97594,492054,3026,592674
16-Aug-2023,100510,415339,1415,68337,90,0,18482,-16581,40,587632,97476,487549,2607,587632
23-Aug-2023,100545,396155,1537,81730,82,1,19082,-16178,40,582994,98061,481951,2982,582994
30-Aug-2023,100545,391768,1424,84114,121,4,17181,-15353,40,579844,96958,480292,2594,579844
06-Sep-2023,100525,379858,1673,85369,15,4,20838,-15237,40,573085,99454,470769,2862,573085
13-Sep-2023,100556,383496,1393,76240,537,2,21051,-15785,40,567530,100687,464348,2495,567530
20-Sep-2023,100620,375089,1186,79107,202,0,20534,-17234,40,559544,99627,457088,2829,559544
27-Sep-2023,100623,358276,1129,81138,150,1,18989,-18465,40,541881,98091,441180,2610,541881
04-Oct-2023,100619,352746,1531,83201,71,0,16122,-20569,40,533761,95541,435295,2925,533761
11-Oct-2023,100648,362587,898,73894,527,1,15331,-18825,40,535101,94835,437807,2459,535101
18-Oct-2023,100706,366297,1167,70228,162,3,16391,-21053,40,533941,96357,434736,2848,533941
25-Oct-2023,100742,349607,1429,83986,120,2,19003,-22030,40,532899,98346,432023,2530,532899
01-Nov-2023,100768,362566,1183,74065,112,0,13577,-23760,40,528551,95077,430506,2968,528551
08-Nov-2023,100804,365722,1390,68744,1077,1,16488,-20896,40,533370,96555,434425,2390,533370
15-Nov-2023,100823,367788,1662,65279,87,4,16039,-21043,40,530679,95211,432730,2738,530679
22-Nov-2023,101008,352487,1645,77053,31,5,19424,-20153,40,531540,98294,430839,2407,531540
29-Nov-2023,101137,347953,1635,80929,3,2,16341,-19880,40,528160,94631,430720,2809,528160
06-Dec-2023,101317,340438,1736,89127,58,1,16745,-18076,40,531386,96646,432328,2412,531386
13-Dec-2023,101646,347527,1232,83019,398,2,18141,-18436,40,533569,98196,432578,2795,533569
20-Dec-2023,102209,351262,1623,80347,150,5,12204,-17216,40,530624,90683,437512,2429,530624
27-Dec-2023,102369,349963,1715,80817,100,0,13038,-16576,40,531466,90358,438228,2880,531466
