date,D30:ROSI.MAA1.P,D30:ROSI.MAA1.P1,D30:ROSN.MAB2.P1ZZC,D30:ROSN.MAB2.P1ZZD,D30:ROSN.MAB2.P1ZZE,D30:ROSN.MAB2.P1ZZB,D30:ROSN.MAB2.P1ZZP,D30:ROSN.MAB2.P1ZZP7,D30:ROSN.MAB2.P1ZZR,D30:ROSN.MAB2.P1ZZS,D30:ROSN.MAB2.P1ZZT,D30:ROSN.MAB2.P1ZZW,D30:ROSN.MAB2.P1ZZU,D30:ROSN.MAD2.P1ZZA2,D30:ROSN.MAD2.P1ZZW,D30:ROSI.MAA1.P2,D30:ROSN.MAB2.P2ZZC,D30:ROSN.MAB2.P2ZZD,D30:ROSN.MAB2.P2ZZE,D30:ROSN.MAB2.P2ZZB,D30:ROSN.MAB2.P2ZZP,D30:ROSN.MAB2.P2ZZP7,D30:ROSN.MAB2.P2ZZR,D30:ROSN.MAB2.P2ZZS,D30:ROSN.MAB2.P2ZZT,D30:ROSN.MAB2.P2ZZW,D30:ROSN.MAB2.P2ZZU,D30:ROSN.MAD2.P2ZZA2,D30:ROSN.MAD2.P2ZZW,D30:ROSI.MAA1.P4,D30:ROSN.MAB2.P4ZZC,D30:ROSN.MAB2.P4ZZD,D30:ROSN.MAB2.P4ZZE,D30:ROSN.MAB2.P4ZZB,D30:ROSN.MAB2.P4ZZP,D30:ROSN.MAB2.P4ZZP7,D30:ROSN.MAB2.P4ZZR,D30:ROSN.MAB2.P4ZZT,D30:ROSN.MAB2.P4ZZW,D30:ROSN.MAB2.P4ZZU,D30:ROSN.MAD1.P4,D30:ROSI.MAA1.P3,D30:ROSN.MAB2.P3ZZC,D30:ROSN.MAB2.P3ZZB,D30:ROSN.MAB2.P3ZZP,D30:ROSN.MAB2.P3ZZR,D30:ROSN.MAB2.P3ZZS,D30:ROSN.MAB2.P3ZZT,D30:ROSN.MAB2.P3ZZU,D30:ROSI.MAA1.P9,D30:ROSN.MAB2.P9ZZC,D30:ROSN.MAB2.P9ZZE,D30:ROSN.MAB2.P9ZZB,D30:ROSN.MAB2.P9ZZP,D30:ROSN.MAB2.P9ZZR,D30:ROSN.MAB2.P9ZZS,D30:ROSN.MAB2.P9ZZT,D30:ROSN.MAB2.P9ZZW,D30:ROSN.MAB2.P9ZZU,D30:ROSN.MAD1.P9,D30:ROSN.MAF1.P,D30:ROSN.MAF1.P1,D30:ROSN.MAF1.P2,D30:ROSN.MAF1.P4,D30:ROSN.MAF1.P3,D30:ROSN.MAF1.P9,D30:ROSN.MAB2.PZZW,D30:ROSN.MAB2.P1ZZW,D30:ROSN.MAB2.P2ZZW,D30:ROSN.MAB2.P4ZZW,D30:ROSN.MAB2.P9ZZW,D30:ROSN.MAG1.P,D30:ROSN.MAG1.P1,D30:ROSN.MAG1.P2,D30:ROSN.MAG1.P4,D30:ROSN.MAG1.P9
2023-12-31,185071,151664,69910,40809,15602,41,7002,,140,6,693,73869,4,100,746,20583,4849,2640,629,9,10539,,1,1,61,5122,0,215,125,5075,3443,90,3089,13,300,,,16,1303,0,54,159,0,2,,,,156,0,7590,5390,3667,2,970,28,1,204,991,4,-90,141532,110855,17943,4985,159,7590,81284,73869,5122,1303,991,57.4,66.6,28.5,26.1,13.1
2024-01-31,185572,152404,69504,40549,15396,45,7033,,140,6,698,74975,4,291,1277,20503,5016,2485,925,9,10392,,1,1,62,5022,0,34,147,4915,3416,,3166,7,300,,,16,1176,0,61,160,1,2,,,,157,0,7590,5301,3577,2,970,28,1,205,1080,4,,142538,111855,18018,4915,160,7590,82252,74975,5022,1176,1080,57.7,67,27.9,23.9,14.2
2024-02-29,190720,157639,70383,40284,16157,48,6958,,140,6,700,79401,4,0,650,20583,4874,2485,720,9,10255,,1,1,65,5378,0,112,499,4745,3399,,3129,9,280,,,15,1042,0,57,163,1,2,,,,160,0,7590,5298,3567,2,970,28,1,209,1078,4,,147951,117355,18098,4745,163,7590,86900,79401,5378,1042,1078,58.7,67.7,29.7,22,14.2
2024-03-31,192802,159224,70812,40278,16374,47,7174,,140,6,686,80356,4,391,-636,20583,5087,2485,1031,9,9621,,1,1,64,5799,0,110,42,5245,3715,,3427,9,280,,,15,1226,0,59,160,1,2,,,,156,0,7590,5168,3428,2,1100,56,1,209,1050,4,68,150039,118946,18098,5245,160,7590,88431,80356,5799,1226,1050,58.9,67.6,32,23.4,13.8
2024-04-30,199148,165459,73528,40413,18444,49,7706,,140,7,673,83351,4,100,80,20613,5293,2485,1278,9,9499,,1,1,64,5745,0,98,35,5330,3739,,3465,7,280,,,15,1289,0,129,156,1,2,,,,153,0,7590,5189,3345,2,1120,56,1,209,1010,4,68,156250,125046,18128,5330,156,7590,91395,83351,5745,1289,1010,58.5,66.7,31.7,24.2,13.3
2024-05-31,186904,153094,65182,33439,17127,46,8144,,60,7,674,78977,4,75,-1073,20613,5140,2485,1154,9,9598,,1,1,65,5798,0,91,32,5450,3670,0,3338,7,250,,,15,1508,0,14,157,1,2,,,,153,0,7590,5166,3291,2,1120,86,1,209,1003,4,68,150980,119655,18128,5450,157,7590,87286,78977,5798,1508,1003,57.8,66,32,27.7,13.2
2024-06-30,191915,157659,68166,33004,20704,47,7739,,110,7,713,80874,4,430,603,20613,5129,2485,1257,9,9670,,1,1,65,5738,0,75,656,5895,3824,,3514,10,200,,,15,1846,0,82,158,1,2,,,,154,0,7590,5292,3342,2,1040,97,1,173,981,4,68,156426,124655,18128,5895,158,7590,89439,80874,5738,1846,981,57.2,64.9,31.7,31.3,12.9
2024-07-31,194040,159738,70091,32669,22138,54,7917,,110,7,737,80819,4,626,763,20638,5143,2485,1168,1,9742,,1,1,62,5688,0,102,661,5915,3814,,3513,11,150,,,,1940,0,264,159,1,3,,,,155,0,7590,5288,3279,3,995,97,1,164,1038,4,68,158886,127069,18153,5915,159,7590,89485,80819,5688,1940,1038,56.3,63.6,31.3,32.8,13.7
2024-08-31,201228,166973,72723,33025,23792,56,7048,,135,7,725,86275,4,578,1046,20688,4928,2485,897,1,10746,,1,1,60,4952,0,84,622,5815,3661,,3362,10,200,,,,1944,0,67,162,1,3,,,,158,0,7590,5151,3101,3,930,309,1,146,1045,4,71,165718,133948,18203,5815,162,7590,94217,86275,4952,1944,1045,56.9,64.4,27.2,33.4,13.8
2024-09-30,202639,168558,71471,32610,22422,56,6556,,135,7,717,89613,4,290,2161,20738,4946,2485,893,1,10748,,1,1,56,4986,0,83,641,5590,3410,,3083,37,200,,,,1943,0,15,163,1,3,,,,158,0,7590,5110,3078,3,930,333,1,146,1062,4,70,167544,135948,18253,5590,163,7590,97604,89613,4986,1943,1062,58.3,65.9,27.3,34.8,14
2024-10-31,209073,175143,72380,32545,24692,60,7179,,194,7,744,94575,4,869,2574,20788,4710,2485,557,1,10787,,1,1,56,5232,0,87,613,5390,3023,,2721,33,200,,,,2134,0,39,162,1,3,,,,158,0,7590,5159,3152,3,855,333,1,143,1091,4,68,174043,142598,18303,5390,162,7590,103031,94575,5232,2134,1091,59.2,66.3,28.6,39.6,14.4
2024-11-30,210148,176728,72631,32310,25089,55,8729,,214,7,757,94332,4,1117,2864,20438,4798,2485,382,1,10543,,1,1,56,5039,0,84,593,5230,2688,,2374,32,200,,,,2309,0,41,162,1,3,,,,158,0,7590,5207,3176,3,855,333,1,138,1047,4,68,175353,144418,17953,5230,162,7590,102727,94332,5039,2309,1047,58.6,65.3,28.1,44.2,13.8
2024-12-31,210622,177813,72074,32095,24395,53,8812,,214,7,730,95919,4,1148,5341,20238,4609,2485,173,1,10655,,1,1,58,4914,0,75,550,4820,2320,0,2019,32,200,,,,2268,0,442,161,1,3,,,,157,0,7590,5206,3152,3,855,333,1,139,1049,4,68,176042,145718,17753,4820,161,7590,104150,95919,4914,2268,1049,59.2,65.8,27.7,47,13.8
2025-01-31,210646,178398,71905,31754,24444,54,8422,,264,7,753,96990,4,639,3539,20187,4587,2485,179,1,10755,,1,1,58,4784,0,75,533,4310,2119,,1827,32,200,,,,1959,0,698,161,1,3,,,,157,0,7590,5338,3116,3,855,333,1,139,916,4,,176407,146644,17702,4310,161,7590,104649,96990,4784,1959,916,59.3,66.1,27,45.4,12.1
2025-02-28,217408,184983,74056,31339,26736,56,8621,,290,7,786,101164,4,420,3597,20217,4631,2485,173,1,10782,,1,1,58,4744,0,75,552,4460,2544,,2216,32,200,,,,1684,0,222,158,1,2,,,,154,0,7590,5269,3144,3,695,370,1,137,1110,4,45,183584,153644,17732,4460,158,7590,108702,101164,4744,1684,1110,59.2,65.8,26.8,37.8,14.6
2025-03-31,219282,186568,74359,30924,27506,56,8539,,290,8,777,102537,4,759,627,20307,4651,2485,161,1,10823,,1,1,54,4776,0,120,534,4660,2991,,2603,32,200,,,,1437,0,73,157,1,2,,,,154,0,7590,5019,2914,3,695,440,2,135,1291,4,45,185873,155644,17822,4660,157,7590,110041,102537,4776,1437,1291,59.2,65.9,26.8,30.8,17
2025-04-30,210346,177053,65727,22351,26855,43,8429,,359,7,816,101667,4,701,2871,20382,4646,2485,183,1,11020,,1,1,46,4667,0,75,447,5166,3457,,3097,32,200,,,,1477,0,137,155,1,2,,,,152,0,7590,4914,2862,13,745,470,2,124,1317,4,45,185510,154702,17897,5166,155,7590,109128,101667,4667,1477,1317,58.8,65.7,26.1,28.6,17.4
2025-05-31,211685,178438,65095,21936,26563,43,8826,,359,7,868,103235,4,785,3489,20432,4607,2485,138,1,11078,,1,1,47,4697,0,233,497,5066,2321,,1945,32,200,,,,2513,0,6,159,1,2,,,,155,0,7590,4880,2862,13,782,517,2,111,1280,4,,187264,156502,17947,5066,159,7590,111725,103235,4697,2513,1280,59.7,66,26.2,49.6,16.9
2025-06-30,211334,179803,63688,21501,25190,47,9015,,359,7,853,105830,4,896,7036,20507,4649,2485,130,4,11096,,1,1,47,4709,0,84,510,5201,2602,,2362,32,120,,,,2447,0,51,158,1,3,,,,153,0,5665,3917,2400,3,542,402,2,107,689,3,,187348,158302,18022,5201,158,5665,113676,105830,4709,2447,689,60.7,66.9,26.1,47.1,12.2
2025-07-31,218385,187188,65969,21086,27607,45,9055,,404,7,840,110862,5,910,7571,20532,4644,2485,130,4,11096,,1,1,47,4739,0,75,481,4841,2556,,2343,32,120,,,,2133,0,225,159,1,5,,,,152,0,5665,3950,2395,3,493,417,3,117,679,3,,194814,166102,18047,4841,159,5665,118412,110862,4739,2133,679,60.8,66.7,26.3,44.1,12
2025-08-31,219545,188323,67829,20671,29731,45,9674,,404,7,827,109531,5,898,4105,20582,4688,2485,185,4,11111,,1,1,46,4731,0,93,429,4816,2456,,2249,52,120,,,,2188,0,151,159,1,5,,,,152,0,5665,4003,2436,3,443,417,3,117,676,3,,196389,167652,18097,4816,159,5665,117126,109531,4731,2188,676,59.6,65.3,26.1,45.4,11.9
2025-09-30,219721,189438,71633,20256,34066,47,9844,,404,7,789,106708,5,1073,4923,19513,3751,1770,28,0,10961,,1,,36,4765,0,75,477,4946,2638,,2436,60,120,,,,2128,0,52,159,1,5,,,,152,0,5665,3887,2331,3,452,457,3,117,743,3,,197695,169182,17743,4946,159,5665,114343,106708,4765,2128,743,57.8,63.1,26.9,43,13.1
2025-10-31,220761,190417,69798,19860,31989,53,10415,,479,7,790,108865,10,1633,6342,19519,3821,1751,29,0,11036,,1,,36,4626,0,91,433,5001,2617,,2437,45,120,,,,2220,0,99,159,1,5,,,,152,0,5665,3511,1940,3,452,522,3,151,1020,3,0,199150,170557,17768,5001,159,5665,116731,108865,4626,2220,1020,58.6,63.8,26,44.4,18
2025-11-30,226736,197467,73232,20060,34401,63,11231,,492,7,793,111642,5,1723,10983,19154,3568,1336,2,0,11040,,1,,37,4508,0,80,382,4291,2137,,1989,41,120,,,,1993,0,87,159,1,5,,,,152,0,5665,3485,1929,3,447,522,3,151,1051,3,45,205340,177407,17818,4291,159,5665,119194,111642,4508,1993,1051,58,62.9,25.3,46.4,18.5
2025-12-31,227939,198538,74708,20181,35858,94,11233,,492,6,823,111176,5,2314,8870,19043,3443,1200,9,0,11075,,1,,37,4487,0,80,383,4536,2351,,2217,46,120,,,,2019,0,107,157,1,4,,,,152,1,5665,3636,2032,3,390,424,2,196,1011,3,45,206558,178357,17843,4536,157,5665,118693,111176,4487,2019,1011,57.5,62.3,25.1,44.5,17.8
2026-01-31,228449,199423,77631,20240,38216,94,11033,,492,6,793,109369,4,1726,6326,19268,3678,1400,33,0,11095,,1,,37,4457,0,80,384,3936,2297,,2145,41,60,,,,1538,0,54,157,1,4,,,,152,1,5665,3591,1977,3,390,424,2,196,1056,3,,206809,179183,17868,3936,157,5665,116421,109369,4457,1538,1056,56.3,61,24.9,39.1,18.6
2026-02-28,229900,200808,75690,19932,36835,69,11380,,492,6,777,112389,5,1580,8715,19318,3716,1400,58,0,11095,,1,,37,4469,0,80,380,3956,2549,,2401,37,60,,,,1310,0,101,153,1,3,,,,149,1,5665,3544,1870,3,390,449,2,189,1084,3,,208568,180876,17918,3956,153,5665,119253,112389,4469,1310,1084,57.2,62.1,24.9,33.1,19.1
2026-03-31,232129,202643,77130,19517,38131,66,10998,,492,6,786,113160,5,1685,12674,19393,3985,1400,235,0,10888,,1,,37,4482,0,80,347,4276,3152,,3004,37,60,,,,1027,0,60,152,1,3,,,,147,1,5665,3534,1796,2,390,449,2,190,1095,3,,211212,183126,17993,4276,152,5665,119764,113160,4482,1027,1095,56.7,61.8,24.9,24,19.3
2026-04-30,233989,204028,76335,19102,37796,66,11149,,492,6,712,115263,5,1717,14229,19393,4279,1400,542,0,10871,,1,,32,4210,0,80,411,4755,3236,,3084,35,60,,,,1424,0,365,148,1,3,,,,144,1,5665,3593,1853,2,390,519,2,206,949,3,45,213487,184926,17993,4755,148,5665,121846,115263,4210,1424,949,57.1,62.3,23.4,29.9,16.8
2026-05-31,227587,197058,70792,17026,34244,56,10781,,492,7,680,114244,5,1022,13720,19418,4580,1400,674,0,10966,,1,,33,3838,0,80,249,5300,3864,,3638,32,60,,,,1344,0,348,146,1,3,,,,142,1,5665,3585,1784,7,390,519,2,256,902,3,,209161,180032,18018,5300,146,5665,120329,114244,3838,1344,902,57.5,63.5,21.3,25.4,15.9
2026-06-30,229682,198678,75175,16591,39377,56,10949,,492,7,650,111344,5,1060,10784,19443,4203,1400,230,0,11019,,1,,33,4186,0,80,309,5755,3965,0,3720,39,60,,,,1691,0,205,141,1,1,,,,139,1,5665,3587,1728,7,390,519,2,257,899,3,,211691,182087,18043,5755,141,5665,118121,111344,4186,1691,899,55.8,61.1,23.2,29.4,15.9
2026-07-31,236741,206463,75827,16526,39999,64,10978,,492,6,690,118400,5,1599,10955,19468,4198,1400,351,0,11169,,1,,33,4067,0,110,61,5005,3791,0,3550,36,,,,,1179,0,142,140,1,1,,,,138,1,5665,3741,1897,8,325,405,2,276,904,3,,218815,189937,18068,5005,140,5665,124549,118400,4067,1179,904,56.9,62.3,22.5,23.5,16
