tender_date,maturity,coupon,tender_no,offered,bids_n,success_n,bid,accepted,coverage,over_under,low_acc,high_acc,wavg,low_unacc,high_unacc,wavg_unacc
2025-11-13,2030-05-15,0.045,971,250,42,14,915,250,3.66,0,3.2725,3.2875,3.2826,3.2875,3.3425,3.3048
2025-11-13,2034-05-15,0.0425,971,150,43,14,610,150,4.0667,0,4.01,4.0325,4.0257,4.0325,4.115,4.052
2025-11-13,2054-05-15,0.05,971,50,31,20,150,50,3,0,5.035,5.06,5.0497,5.06,5.11,5.073
2025-11-06,2029-04-20,0.03,970,225,54,13,894,225,3.9733,0,3.06,3.0725,3.0673,3.0725,3.1425,3.0974
2025-11-06,2035-05-15,0.045,970,175,55,23,673,175,3.8457,0,4.115,4.1375,4.1287,4.1375,4.19,4.156
2025-11-06,2054-05-15,0.05,970,50,35,18,162,50,3.24,0,5.005,5.03,5.02,5.03,5.085,5.0485
2025-10-30,2030-05-15,0.045,969,250,52,12,945,250,3.78,0,3.2925,3.305,3.2981,3.305,3.3875,3.3366
2025-10-30,2034-05-15,0.0425,969,150,51,4,1007,150,6.7133,0,3.9975,4,3.9997,4,4.085,4.0248
2025-10-30,2054-05-15,0.05,969,50,36,10,223,50,4.46,0,4.995,5.005,4.9993,5.005,5.07,5.0309
2025-10-23,2030-05-15,0.045,968,225,55,12,950,225,4.2222,0,3.12,3.13,3.125,3.13,3.195,3.1529
2025-10-23,2036-05-15,0.0425,968,175,52,19,590,175,3.3714,0,4.055,4.0725,4.065,4.0725,4.1325,4.0958
2025-10-23,2054-05-15,0.05,968,50,47,10,237,50,4.74,0,4.86,4.875,4.8678,4.875,4.92,4.9025
2025-10-16,2032-05-15,0.02,967,225,41,9,904,225,4.0178,0,3.5925,3.605,3.5982,3.605,3.675,3.6192
2025-10-16,2035-05-15,0.045,967,200,50,13,840,200,4.2,0,3.985,3.995,3.9923,3.995,4.0625,4.0155
2025-10-16,2054-05-15,0.05,967,25,21,1,146,25,5.84,0,4.9075,4.9075,4.9075,4.9125,4.96,4.9288
2025-10-09,2031-05-15,0.015,966,275,41,12,858,275,3.12,0,3.5125,3.5225,3.5168,3.5225,3.6025,3.5432
2025-10-09,2034-05-15,0.0425,966,175,43,5,1090,175,6.2286,0,3.985,3.995,3.9889,3.995,4.0375,4.0127
2025-10-02,2030-05-15,0.045,965,250,50,22,917,250,3.668,0,3.325,3.35,3.3388,3.35,3.44,3.3736
2025-10-02,2035-05-15,0.045,965,200,54,16,770,200,3.85,0,4.1725,4.1875,4.1817,4.1875,4.265,4.2151
2025-09-25,2030-05-15,0.045,964,250,54,15,1140,250,4.56,0,3.395,3.4025,3.4,3.4025,3.4375,3.4158
2025-09-25,2033-04-14,0.035,964,200,58,18,901,200,4.505,0,3.9725,3.985,3.9823,3.985,4.0275,3.9996
2025-09-18,2030-05-15,0.045,963,225,60,18,768,225,3.4133,0,3.4175,3.43,3.4232,3.43,3.545,3.448
2025-09-18,2034-05-15,0.0425,963,225,64,23,725,225,3.2222,0,4.12,4.14,4.1284,4.14,4.25,4.1618
2025-09-04,2030-05-15,0.045,962,225,52,11,986,225,4.3822,0,3.6025,3.61,3.6058,3.61,3.7075,3.6282
2025-09-04,2035-05-15,0.045,962,225,53,20,667,225,2.9644,0,4.4175,4.43,4.4241,4.43,4.5175,4.4558
2025-08-28,2030-05-15,0.045,961,250,48,11,1475,250,5.9,0,3.57,3.58,3.576,3.58,3.6425,3.5955
2025-08-28,2035-05-15,0.045,961,200,42,9,920,200,4.6,0,4.33,4.3375,4.3334,4.3375,4.41,4.3606
2025-08-21,2030-05-15,0.045,960,225,60,13,900,225,4,0,3.5975,3.61,3.6061,3.61,3.74,3.6449
2025-08-21,2035-05-15,0.045,960,175,45,23,545,175,3.1143,0,4.34,4.37,4.3565,4.37,4.4575,4.4006
2025-08-21,2041-05-15,0.0175,960,50,26,11,167,50,3.34,0,4.8775,4.885,4.8811,4.885,4.945,4.9105
2025-08-14,2029-04-20,0.03,959,200,54,14,989,200,4.945,0,3.4625,3.4775,3.4731,3.4775,3.5525,3.4966
2025-08-14,2037-04-15,0.0275,959,250,62,20,788,250,3.152,0,4.5925,4.61,4.605,4.61,4.6875,4.6328
2025-08-07,2030-05-15,0.045,958,225,56,13,1177,225,5.2311,0,3.715,3.73,3.7231,3.73,3.7825,3.7453
2025-08-07,2035-05-15,0.045,958,175,43,13,548,175,3.1314,0,4.4175,4.4375,4.4281,4.4375,4.5075,4.4635
2025-08-07,2041-05-15,0.0175,958,50,44,6,333,50,6.66,0,4.9175,4.925,4.9232,4.925,4.9875,4.9467
2025-07-31,2030-05-15,0.045,957,275,69,27,1347,275,4.8982,0,3.79,3.8175,3.8083,3.8175,3.8625,3.8307
