date,zirepo:H0
2025-09-22,-0.037221
2025-09-23,-0.039628
2025-09-24,-0.037953
2025-09-25,-0.037927
2025-09-26,-0.036879
2025-09-29,-0.038113
2025-09-30,-0.045082
2025-10-01,-0.036786
2025-10-02,-0.03865
2025-10-03,-0.037898
2025-10-06,-0.037328
2025-10-07,-0.037945
2025-10-08,-0.038211
2025-10-09,-0.038433
2025-10-10,-0.038677
2025-10-13,-0.038964
2025-10-14,-0.044224
2025-10-15,-0.042611
2025-10-16,-0.043009
2025-10-17,-0.04254
2025-10-20,-0.040244
2025-10-21,-0.04793
2025-10-22,-0.046418
2025-10-23,-0.048658
2025-10-24,-0.047845
2025-10-27,-0.048692
2025-10-28,-0.047815
2025-10-29,-0.047717
2025-10-30,-0.047563
2025-10-31,-0.049317
2025-11-03,-0.04908
2025-11-04,-0.048782
2025-11-05,-0.045329
2025-11-06,-0.042479
2025-11-07,-0.038365
2025-11-10,-0.038816
2025-11-11,-0.038556
2025-11-12,-0.038518
2025-11-13,-0.038366
2025-11-14,-0.041087
2025-11-17,-0.04305
2025-11-18,-0.038909
2025-11-19,-0.039961
2025-11-20,-0.040024
2025-11-21,-0.038424
2025-11-24,-0.038381
2025-11-25,-0.039192
2025-11-26,-0.0378
2025-11-27,-0.037776
2025-11-28,-0.053351
2025-12-01,-0.038394
2025-12-02,-0.037964
2025-12-03,-0.038376
2025-12-04,-0.039324
2025-12-05,-0.038628
2025-12-08,-0.041302
2025-12-09,-0.03934
2025-12-10,-0.041458
2025-12-11,-0.044505
2025-12-12,-0.039373
2025-12-15,-0.039588
2025-12-16,-0.039542
2025-12-17,-0.038896
2025-12-18,-0.03891
2025-12-19,-0.040359
2025-12-22,-0.038447
2025-12-23,-0.039217
2025-12-24,-0.040478
2025-12-29,-0.038812
2025-12-30,-0.038256
2025-12-31,-0.079228
2026-01-05,-0.048324
2026-01-06,-0.070199
2026-01-07,-0.081254
2026-01-08,-0.081456
2026-01-09,-0.075135
2026-01-12,-0.070075
2026-01-13,-0.066481
2026-01-14,-0.059365
2026-01-15,-0.052886
2026-01-16,-0.046309
2026-01-19,-0.045282
2026-01-20,-0.045117
2026-01-21,-0.043835
2026-01-22,-0.04534
2026-01-23,-0.044772
2026-01-26,-0.045614
2026-01-27,-0.045662
2026-01-28,-0.060037
2026-01-29,-0.059212
2026-01-30,-0.074428
2026-02-02,-0.049041
2026-02-03,-0.045096
2026-02-04,-0.041571
2026-02-05,-0.040318
2026-02-06,-0.036124
2026-02-09,-0.03926
2026-02-10,-0.039648
2026-02-11,-0.040265
2026-02-12,-0.043303
2026-02-13,-0.042012
2026-02-16,-0.042883
2026-02-17,-0.043954
2026-02-18,-0.047274
