date,tender,maturity,coupon,offered,allotted,bids,coverage,wa_yield,low_yield,high_yield,highest_bid_yield,tail_bp
1993-02-18,TB71,1996-07-15,13,400000000.0,397000000.0,1297200000.0,3.27,7.555,7.54,7.57,7.77,1.5
1993-02-18,TB71,1998-08-15,7,300000000.0,299450000.0,824450000.0,2.75,8.124,8.09,8.14,8.3,1.6
1993-02-18,TB71,2003-08-15,9.5,300000000.0,297487000.0,2203397000.0,7.41,8.464,8.45,8.47,8.73,0.6
1993-03-04,TB72,1998-08-15,7,300000000.0,296350000.0,804350000.0,2.71,7.419,7.39,7.43,7.6,1.1
1993-03-04,TB72,2003-08-15,9.5,400000000.0,399417000.0,1959417000.0,4.91,7.875,7.85,7.89,8.25,1.5
1993-03-04,TB72,1997-09-15,12.5,400000000.0,397475000.0,851475000.0,2.14,7.136,7.1,7.16,7.39,2.4
1993-03-25,TB73,1999-07-15,12,300000000.0,301000000.0,957950000.0,3.18,7.369,7.35,7.38,7.6,1.1
1993-03-25,TB73,2004-09-15,9,500000000.0,500000000.0,2206970000.0,4.41,7.81,7.81,7.81,8.16,0.0
1993-04-15,TB74,2000-04-15,7,500000000.0,695500000.0,1339000000.0,2.7,7.271,7.23,7.29,7.43,1.9
1993-04-15,TB74,2004-09-15,9,200000000.0,198500000.0,727500000.0,3.66,7.534,7.52,7.55,7.76,1.6
1993-04-29,TB75,2000-04-15,7,500000000.0,498000000.0,1497000000.0,3.01,7.296,7.27,7.31,7.5,1.4
1993-04-29,TB75,2004-09-15,9,300000000.0,308000000.0,1196000000.0,3.88,7.604,7.59,7.61,7.78,0.6
1993-05-20,TB76,1998-08-15,7,400000000.0,401245000.0,1414245000.0,3.52,6.95,6.93,6.96,7.25,1.0
1993-05-20,TB76,2000-04-15,7,400000000.0,399700000.0,1764700000.0,4.42,7.351,7.34,7.36,7.7,0.9
1993-06-03,TB77,2000-04-15,7,400000000.0,400000000.0,1681000000.0,4.2,7.409,7.4,7.43,7.7,2.1
1993-06-03,TB77,2004-09-15,9,300000000.0,303077000.0,1245077000.0,4.11,7.753,7.72,7.76,8.33,0.7
1993-06-17,TB78,1998-08-15,7,200000000.0,198039000.0,781039000.0,3.94,7.008,6.99,7.02,7.1,1.2
1993-06-17,TB78,2000-04-15,7,300000000.0,300000000.0,815000000.0,2.72,7.362,7.35,7.37,7.44,0.8
1993-06-17,TB78,2004-09-15,9,200000000.0,204000000.0,1343530000.0,6.59,7.7,7.36,7.72,7.83,2.0
1993-07-01,TB79,1996-07-15,13,300000000.0,300000000.0,2381490000.0,7.94,6.12,6.12,6.12,6.5,0.0
1993-07-01,TB79,2000-04-15,7,500000000.0,500500000.0,1513500000.0,3.02,7.154,7.14,7.17,7.31,1.6
1993-07-15,TB80,1998-01-15,12.5,200000000.0,201000000.0,979000000.0,4.87,6.488,6.47,6.5,6.7,1.2
1993-07-15,TB80,2005-07-15,7.5,600000000.0,800950000.0,2364950000.0,3.94,7.213,7.19,7.24,7.6,2.7
1993-08-05,TB81,1997-03-15,12.5,300000000.0,298467000.0,1708467000.0,5.72,5.994,5.98,6.0,6.2,0.6
1993-08-05,TB81,2005-07-15,7.5,600000000.0,598000000.0,1808336000.0,3.02,7.04,7.02,7.06,7.44,2.0
1993-08-26,TB82,1997-03-15,12.5,300000000.0,300000000.0,1469000000.0,4.9,6.037,6.03,6.04,6.16,0.3
