date,GFG,D,RIWF,IZ,W,IG,FI,WSF,UA,T0,N,GB,VB,GBI,US,UT,SP,RE,T1,FRGSF,VRGSF,VF,GD,FRGUSD,GSGSF,ES,DS,AIWFS
2003-07,26390.66715141,59286.92389091,2734.31543253,103.39216896,352.27327782,,8.91183167,7629.21365896,1323.10974426,125029.28677791,36018.584755,5632.38398099,9379.68974256,272.86898256,196.28614066,0,291.87916931,70467.39819861,125029.28677791,27200.47962139,0,2770.19580822,,,,,,
2003-08,26052.8380399,58415.33404023,2734.41543253,144.53098317,352.27327782,,8.40293092,7659.27864593,1340.61828798,123536.17125987,35703.53374,6145.82922128,8790.08770004,242.256159,201.5756568,0,287.82485888,70734.12311431,123536.17125987,26828.47962139,0,1430.94080956,,,,,,
2003-09,27847.58336658,56167.11477921,2785.15723413,107.11103853,349.06773866,,11.98105717,7605.7485378,1495.23464634,122774.35751173,35948.358265,7015.95363658,7227.09309283,236.91569649,201.98890205,0,92.95129674,71416.64658923,122774.35751173,26405.35911331,0,634.45003281,,,,,,
2003-10,27445.98518204,56777.94578477,2710.85387906,44.92369618,349.06768503,,3.91389172,7690.71305519,1507.62860374,117888.39089104,35910.103895,5118.50716928,3927.43675172,400.60007732,207.44147252,0,91.42754102,71636.80280616,117888.39089104,21357.35911331,0,596.07117802,,,,,,
2003-11,27171.90824543,58224.81862038,2696.77641728,54.56244155,343.83056213,,3.76990402,7725.04031911,1515.27344242,120836.33906563,36337.275925,6064.99078462,4424.70499368,288.14896135,205.61089822,0,94.93740301,71921.92681576,120836.33906563,23100.35911331,0,1498.74328399,,,,,,
2003-12,27128.03288242,56311.72971353,2561.88866342,45.83658314,327.21452941,,36.8281612,7657.86474905,1630.59477715,122797.65010814,40543.9896,7186.6215681,2853.06872999,485.97381806,153.41942247,0,174.77561407,71269.32866667,122797.65010814,27097.66004882,0,130.47268878,,,,,,
2004-01,26729.39252827,58661.64622273,2561.88866342,35.46250914,327.21452941,,5.9103043,7674.56988132,1667.12561993,119317.87030734,36993.366525,6440.06404186,1097.36594044,245.00913536,194.41623848,0,2975.08484069,68769.97360899,119317.87030734,21654.66004882,0,2602.58997652,,,,,,
2004-02,26401.39127625,58004.24687979,2529.71850251,157.45544609,329.92771274,,0.80508953,7704.67615238,1654.55622884,118282.43733695,36610.014925,5770.03570124,1448.63332773,310.45777647,211.63962885,0,2974.79116488,69144.14868088,118282.43733695,21499.66004882,0,1812.7161319,,,,,,
2004-03,27092.39294593,60401.51845466,2478.63553145,71.38339388,330.73110985,,4.14090553,7836.0366995,1221.76947375,122934.99037651,36805.28932,6930.41438534,1772.90924064,278.31390891,203.127972,0,3113.71128235,71689.00188357,122934.99037651,23498.38186196,0,2142.2223837,,,,,,
2004-04,26776.20435164,60521.1737825,2478.73553145,43.06629888,325.53558071,,2.82321173,7900.29843996,1229.01216307,121282.2312219,36611.035885,5644.03578688,1317.86989927,461.24866529,200.83841753,0,3109.66809275,72015.4020178,121282.2312219,22005.38186196,0,1922.13245738,0,,,,,
2004-05,26411.60339227,59985.40975533,2478.83553145,16.40106288,325.53548415,,-2.55098397,7871.02098294,1197.36923968,122563.00632669,36637.289285,6909.6049535,5212.44635902,328.17575265,201.78842943,0,304.11759877,72084.37243362,122563.00632669,24279.38186196,0,885.2115147,0,,,,,
2004-06,23877.84293181,57274.6032775,2428.76440689,2.25334286,320.00393139,,2.43140743,7591.0459613,1275.17958919,118574.88908091,36748.708255,6416.92681349,6949.72354156,299.57349424,222.88585186,0,144.22457316,67792.06808045,118574.88908091,25802.76423254,0,0.77847115,0,,,,,
2004-07,23434.3021571,57172.84678638,2314.35171175,4.01238499,309.92901664,,0.26306608,7517.642583,957.68357503,116310.03128097,36143.561605,5470.83201553,7328.48794219,264.23639226,206.61531094,0,5.98235125,66884.41436248,116310.03128097,24599,0,5.90130132,0,,,,,
2004-08,23085.57371081,58154.8732085,2335.40791407,13.04871852,315.66956666,,0.31759443,7445.20406026,946.17839051,116758.27316376,35986.27211,4875.70998387,7819.95587411,302.50765374,215.99351009,0,1.80054034,67167.01273224,116758.27316376,24462,0,389.02075937,0,,,,,
2004-09,23771.64548415,60798.36968068,2305.21320375,66.75601895,316.63186023,,4.75862208,7479.37158387,1028.36887547,122075.43906918,36367.517565,5398.99780378,8608.76815712,400.82914034,207.60158865,0,210.93691125,70880.40055393,122075.43906918,26304.32374,0,0.38734911,0,,,,,
2004-10,23336.17909095,60467.20339607,2228.58297438,23.17973795,311.69054131,,-2.47120537,7307.63360647,958.30613285,118130.30427461,36354.18761,7306.72478118,3903.03059273,310.69765327,214.18071831,0,6.26184989,70034.97463651,118130.30427461,23500,0,0.24643272,0,,,,,
