issuer,kind,isin,auction,settlement,maturity,nominal,cash,cover,yield,source
FR,bill,FR0101208488,1999-12-27,1999-12-29,2000-03-30,511.0,511.0,4.52,3.093,aft_hist_btf
FR,bill,FR0101208967,2000-01-03,2000-01-06,2000-06-29,504.0,504.0,4.28,3.417,aft_hist_btf
FR,bill,FR0101659656,2000-01-03,2000-01-06,2000-04-06,806.0,806.0,3.16,3.097,aft_hist_btf
DE,bond,DE0001135135,2000-01-05,2000-01-07,2010-01-04,5881.0,5823.366,1.5,5.5,finanzagentur
FR,bond,FR0000186199,2000-01-06,2000-01-13,2009-10-25,3053.0,2675.649,2.13,5.68,aft_hist_mlt
FR,bond,FR0000571218,2000-01-06,2000-01-13,2029-04-25,894.0,816.758,2.53,6.14,aft_hist_mlt
FR,bill,FR0101659664,2000-01-10,2000-01-13,2000-04-13,1118.0,1118.0,3.57,3.079,aft_hist_btf
FR,bill,FR0101659755,2000-01-10,2000-01-13,2001-01-11,828.0,828.0,3.77,3.758,aft_hist_btf
DE,bill,DE0001114338,2000-01-12,2000-01-14,2000-07-14,4811.0,4729.405,1.7,3.4124,finanzagentur
FR,bill,FR0101659672,2000-01-17,2000-01-20,2000-04-20,1183.0,1183.0,3.82,3.098,aft_hist_btf
FR,bill,FR0101659755,2000-01-17,2000-01-20,2001-01-11,701.0,701.0,3.11,3.77,aft_hist_btf
DE,bond,DE0001135143,2000-01-19,2000-01-21,2030-01-04,2567.0,2568.54,1.5,6.24,finanzagentur
FR,bill,FR0100662511,2000-01-24,2000-01-27,2000-04-27,610.0,610.0,5.74,3.118,aft_hist_btf
FR,bill,FR0101659763,2000-01-24,2000-01-27,2000-08-17,802.0,802.0,2.56,3.466,aft_hist_btf
FR,bond,FR0101659813,2000-01-20,2000-01-27,2005-07-12,4017.0,3984.462,3.0,5.17,aft_hist_mlt
FR,bill,FR0101659680,2000-01-31,2000-02-03,2000-05-04,1016.0,1016.0,3.48,3.28,aft_hist_btf
FR,bill,FR0101659755,2000-01-31,2000-02-03,2001-01-11,636.0,636.0,3.88,3.917,aft_hist_btf
FR,bond,FR0000186603,2000-02-03,2000-02-08,2010-04-25,4164.0,4124.442,2.73,5.62,aft_hist_mlt
FR,bond,FR0000571424,2000-02-03,2000-02-08,2009-07-25,629.0,586.983,3.25,3.85,aft_hist_mlt
FR,bill,FR0101659698,2000-02-07,2000-02-10,2000-05-11,1075.0,1075.0,4.07,3.28,aft_hist_btf
