issuer,kind,isin,auction,settlement,maturity,nominal,cash,cover,yield,source
EU,bill,EU000A3L7AS4,2025-04-02,2025-04-04,2025-07-04,1369.0,1369.0,1.35,2.254,eu_news:results-02-04-2025-auction-eu-bills-2025-04-02_en
EU,bill,EU000A4D85M6,2025-04-02,2025-04-04,2025-10-03,1228.0,1228.0,1.42,2.22,eu_news:results-02-04-2025-auction-eu-bills-2025-04-02_en
EU,bill,EU000A4D85N4,2025-04-02,2025-04-04,2026-04-10,1326.0,1326.0,2.28,2.141,eu_news:results-02-04-2025-auction-eu-bills-2025-04-02_en
EU,bill,EU000A3L7AS4,2025-04-16,2025-04-22,2025-07-04,1092.0,1092.0,1.72,2.158,eu_news:results-16-04-2025-auction-eu-bills-2025-04-16_en
EU,bill,EU000A4D85M6,2025-04-16,2025-04-22,2025-10-03,1062.0,1062.0,1.69,2.117,eu_news:results-16-04-2025-auction-eu-bills-2025-04-16_en
EU,bill,EU000A4D85N4,2025-04-16,2025-04-22,2026-04-10,797.0,797.0,2.54,1.956,eu_news:results-16-04-2025-auction-eu-bills-2025-04-16_en
EU,bill,EU000A4D5544,2025-05-07,2025-05-09,2025-08-08,788.0,788.0,3.3,2.029,eu_news:results-07-05-2025-auction-eu-bills-2025-05-07_en
EU,bill,EU000A4EAKN8,2025-05-07,2025-05-09,2025-11-07,1181.0,1181.0,2.19,1.962,eu_news:results-07-05-2025-auction-eu-bills-2025-05-07_en
EU,bill,EU000A4EAKP3,2025-05-07,2025-05-09,2026-05-08,1197.0,1197.0,1.73,1.868,eu_news:results-07-05-2025-auction-eu-bills-2025-05-07_en
EU,bill,EU000A4D5544,2025-05-21,2025-05-23,2025-08-08,749.0,749.0,2.37,2.01,eu_news:results-21-05-2025-auction-eu-bills-2025-05-21_en
EU,bill,EU000A4EAKN8,2025-05-21,2025-05-23,2025-11-07,752.0,752.0,2.87,2.002,eu_news:results-21-05-2025-auction-eu-bills-2025-05-21_en
EU,bill,EU000A4EAKP3,2025-05-21,2025-05-23,2026-05-08,956.0,956.0,2.44,1.963,eu_news:results-21-05-2025-auction-eu-bills-2025-05-21_en
EU,bill,EU000A4D7LA8,2025-06-04,2025-06-06,2025-09-05,847.0,847.0,3.18,1.942,eu_news:results-04-06-2025-auction-eu-bills-2025-06-04_en
EU,bill,EU000A4EB329,2025-06-04,2025-06-06,2025-12-05,1248.0,1248.0,2.09,1.943,eu_news:results-04-06-2025-auction-eu-bills-2025-06-04_en
EU,bill,EU000A4EB337,2025-06-04,2025-06-06,2026-06-05,1217.0,1217.0,2.22,1.899,eu_news:results-04-06-2025-auction-eu-bills-2025-06-04_en
EU,bill,EU000A4D7LA8,2025-06-18,2025-06-20,2025-09-05,853.0,853.0,1.44,1.935,eu_news:results-18-06-2025-auction-eu-bills-2025-06-18_en
EU,bill,EU000A4EB329,2025-06-18,2025-06-20,2025-12-05,862.0,862.0,1.51,1.956,eu_news:results-18-06-2025-auction-eu-bills-2025-06-18_en
EU,bill,EU000A4EB337,2025-06-18,2025-06-20,2026-06-05,914.0,914.0,1.72,1.951,eu_news:results-18-06-2025-auction-eu-bills-2025-06-18_en
EU,bill,EU000A3L7AT2,2025-07-02,2025-07-04,2026-01-09,997.0,997.0,2.6,1.93,eu_news:results-02-07-2025-auction-eu-bills-2025-07-02_en
EU,bill,EU000A4D85M6,2025-07-02,2025-07-04,2025-10-03,841.0,841.0,1.74,1.922,eu_news:results-02-07-2025-auction-eu-bills-2025-07-02_en
EU,bill,EU000A4EDCQ2,2025-07-02,2025-07-04,2026-07-03,1398.0,1398.0,2.92,1.92,eu_news:results-02-07-2025-auction-eu-bills-2025-07-02_en
EU,bill,EU000A3L7AT2,2025-07-16,2025-07-18,2026-01-09,934.0,934.0,2.02,1.928,eu_news:results-16-07-2025-auction-eu-bills-2025-07-16_en
