month,date,line,amount,source
2023-11,2023-11-30,"OAT 6,00% 25/10/2025",698.0,1123_op%C3%A9rations%20mensuelles_UK.pdf
2023-11,2023-11-30,"OAT€i 0,25% 25/07/2024",600.0,1123_op%C3%A9rations%20mensuelles_UK.pdf
2023-12,2023-12-29,"OAT 0,00% 25/02/2025",1616.0,1223_op%C3%A9rations%20mensuelles_UK.pdf
2023-12,2023-12-29,"OAT 0,00% 25/03/2025",100.0,1223_op%C3%A9rations%20mensuelles_UK.pdf
2023-12,2023-12-29,"OAT 0,50% 25/05/2025",50.0,1223_op%C3%A9rations%20mensuelles_UK.pdf
2023-12,2023-12-29,"OAT 1,00% 25/11/2025",200.0,1223_op%C3%A9rations%20mensuelles_UK.pdf
2024-01,2024-01-31,OAT 0.00% 25/02/2025,480.0,0124_op%C3%A9rations%20mensuelles_UK.pdf
2024-02,2024-02-29,OAT 0.00% 25/02/2024,840.0,0224_op%C3%A9rations%20mensuelles_UK.pdf
2024-02,2024-02-29,OAT 0.00% 25/02/2025,1095.0,0224_op%C3%A9rations%20mensuelles_UK.pdf
2024-02,2024-02-29,OAT 0.00% 25/03/2025,825.0,0224_op%C3%A9rations%20mensuelles_UK.pdf
2024-02,2024-02-29,OATi 0.10% 01/03/2025,100.0,0224_op%C3%A9rations%20mensuelles_UK.pdf
2024-03,2024-03-29,OAT 0.00% 25/02/2025,450.0,0324_op%C3%A9rations%20mensuelles_UK.pdf
2024-03,2024-03-29,OAT 0.00% 25/03/2025,590.0,0324_op%C3%A9rations%20mensuelles_UK.pdf
2024-03,2024-03-29,OATi 0.10% 01/03/2025,960.0,0324_op%C3%A9rations%20mensuelles_UK.pdf
2024-04,2024-04-30,OAT 0.00% 25/03/2025,720.0,0424_op%C3%A9rations%20mensuelles_UK.pdf
2024-04,2024-04-30,OATi 0.10% 01/03/2025,280.0,0424_op%C3%A9rations%20mensuelles_UK.pdf
2024-05,2024-05-31,"OAT 0,00% 25/03/2025",950.0,0524_op%C3%A9rations%20mensuelles_UK.pdf
2024-05,2024-05-31,"OAT 0,50% 25/05/2025",50.0,0524_op%C3%A9rations%20mensuelles_UK.pdf
2024-06,2024-06-28,,0.0,0624_op%C3%A9rations%20mensuelles_UK.pdf
2024-07,2024-07-31,OAT 0.00% 25/03/2025,615.0,0724_op%C3%A9rations%20mensuelles_UK.pdf
2024-07,2024-07-31,OAT 0.50% 25/05/2025,50.0,0724_op%C3%A9rations%20mensuelles_UK.pdf
2024-08,2024-08-30,"OAT 0,00% 25/02/2025",50.0,0824_op%C3%A9rations%20mensuelles_UK.pdf
2024-09,2024-09-30,"OAT 0,00% 25/02/2025",670.0,0924%20op%C3%A9rations%20mensuelles_UK.pdf
2024-09,2024-09-30,"OAT 0,00% 25/02/2026",1330.0,0924%20op%C3%A9rations%20mensuelles_UK.pdf
2024-09,2024-09-30,"OAT 0,00% 25/03/2025",2310.0,0924%20op%C3%A9rations%20mensuelles_UK.pdf
2024-09,2024-09-30,"OAT 0,50% 25/05/2025",1405.0,0924%20op%C3%A9rations%20mensuelles_UK.pdf
2024-09,2024-09-30,"OAT 0,50% 25/05/2026",1670.0,0924%20op%C3%A9rations%20mensuelles_UK.pdf
2024-09,2024-09-30,"OAT 1,00% 25/11/2025",10.0,0924%20op%C3%A9rations%20mensuelles_UK.pdf
2024-09,2024-09-30,"OAT 6,00% 25/10/2025",1100.0,0924%20op%C3%A9rations%20mensuelles_UK.pdf
2024-10,2024-10-31,OAT 0.00% 25/02/2025,860.0,1024_op%C3%A9rations%20mensuelles_UK.pdf
2024-10,2024-10-31,OAT 0.00% 25/02/2026,3151.0,1024_op%C3%A9rations%20mensuelles_UK.pdf
2024-10,2024-10-31,OAT 0.00% 25/03/2025,840.0,1024_op%C3%A9rations%20mensuelles_UK.pdf
2024-10,2024-10-31,OAT 0.50% 25/05/2025,1380.0,1024_op%C3%A9rations%20mensuelles_UK.pdf
2024-10,2024-10-31,OAT 0.50% 25/05/2026,3160.0,1024_op%C3%A9rations%20mensuelles_UK.pdf
2024-10,2024-10-31,OAT 1.00% 25/11/2025,250.0,1024_op%C3%A9rations%20mensuelles_UK.pdf
2024-10,2024-10-31,OAT 2.50% 24/09/2026,5350.0,1024_op%C3%A9rations%20mensuelles_UK.pdf
2024-10,2024-10-31,OAT 3.50 % 25/04/2026,2815.0,1024_op%C3%A9rations%20mensuelles_UK.pdf
2024-10,2024-10-31,OAT 6.00% 25/10/2025,900.0,1024_op%C3%A9rations%20mensuelles_UK.pdf
2024-10,2024-10-31,OATi 0.10% 01/03/2025,950.0,1024_op%C3%A9rations%20mensuelles_UK.pdf
2024-11,2024-11-29,OAT 0.00% 25/02/2025,575.0,1124_op%C3%A9rations%20mensuelles_UK.pdf
2024-11,2024-11-29,OAT 0.00% 25/02/2026,2192.0,1124_op%C3%A9rations%20mensuelles_UK.pdf
2024-11,2024-11-29,OAT 0.00% 25/03/2025,240.0,1124_op%C3%A9rations%20mensuelles_UK.pdf
2024-11,2024-11-29,OAT 0.50% 25/05/2025,255.0,1124_op%C3%A9rations%20mensuelles_UK.pdf
2024-11,2024-11-29,OAT 0.50% 25/05/2026,3020.0,1124_op%C3%A9rations%20mensuelles_UK.pdf
2024-11,2024-11-29,OAT 2.50% 24/09/2026,1000.0,1124_op%C3%A9rations%20mensuelles_UK.pdf
2024-11,2024-11-29,OAT 3.50 % 25/04/2026,1070.0,1124_op%C3%A9rations%20mensuelles_UK.pdf
2024-11,2024-11-29,OAT 6.00% 25/10/2025,150.0,1124_op%C3%A9rations%20mensuelles_UK.pdf
2024-12,2024-12-31,OAT 0.00% 25/02/2026,172.0,1224_op%C3%A9rations%20mensuelles_UK.pdf
2024-12,2024-12-31,OAT 0.00% 25/03/2025,168.0,1224_op%C3%A9rations%20mensuelles_UK.pdf
2024-12,2024-12-31,OAT 0.25% 25/11/2026,180.0,1224_op%C3%A9rations%20mensuelles_UK.pdf
